DateTime,Entries,UniqueIPs
1477717359,2,2
1477731762,1,1
1477764166,2,2
1477767763,1,1
1477774963,2,2
1477782166,1,1
1477800154,2,2
1477814557,1,1
1477836162,2,2
1477861351,1,1
1477879333,0,0
1477886564,1,1
1477890155,2,2
1477900958,1,1
1477926161,2,2
1477940558,1,1
1477958575,2,2
1477973362,1,1
1477984021,1,1
1477991150,2,2
1477998159,1,1
1478012593,2,2
1478027213,1,1
1478037933,2,2
1478059550,1,1
1478092404,2,2
1478095484,1,1
1478099378,2,2
1478149345,1,1
1478188921,0,0
1478214146,1,1
1478228522,0,0
1478293359,1,1
1478307724,0,0
1478354555,1,1
1478383325,0,0
1478404954,1,1
1478419320,0,0
1478473350,1,1
1478487721,0,0
1478494954,1,1
1478512924,0,0
1478556152,1,1
1478570538,0,0
1478577768,1,1
1478592154,0,0
1478620969,1,1
1478660536,0,0
1478721757,1,1
1478736133,0,0
1478764963,1,1
1478779336,0,0
1478790165,1,1
1478804531,0,0
1478844175,1,1
1478865736,0,0
1478869376,1,1
1478887342,0,0
1478901768,1,1
1478926937,0,0
1478962969,1,1
1479006143,0,0
1479013363,1,1
1479052936,0,0
1479060161,1,1
1479074535,0,0
1479117766,1,1
1479139382,0,0
1479160990,1,1
1479175333,0,0
1479186167,1,1
1479211333,0,0
1479236615,1,1
1479254521,0,0
1479337349,1,1
1479351718,0,0
1479358945,1,1
1479387719,0,0
1479409361,1,1
1479427450,0,0
1479452556,1,1
1479499333,0,0
1479531758,1,1
1479546128,0,0
1479549760,1,1
1479585727,0,0
1479621751,1,1
1479636124,0,0
1479650557,1,1
1479664925,0,0
1479672162,1,1
1479686523,0,0
1479740562,1,1
1479754931,0,0
1479794553,1,1
1479808924,0,0
1479870145,1,1
1479884529,0,0
1479891755,1,1
1479906120,0,0
1479960151,1,1
1479996117,0,0
1480050155,1,1
1480064522,0,0
1480068153,1,1
1480082525,0,0
1480096951,1,1
1480122124,0,0
1480140152,1,1
1480154523,0,0
1480158151,1,1
1480172525,0,0
1480183356,1,1
1480197724,0,0
1480201354,1,1
1480215725,0,0
1480222950,1,1
1480237321,0,0
1480258953,1,1
1480276924,0,0
1480327360,1,1
1480341734,0,0
1480370563,1,1
1480388529,0,0
1480417365,1,1
1480446271,0,0
1480467758,1,1
1480510923,0,0
1480514599,1,1
1480525823,2,2
1480554158,1,1
1480572161,2,2
1480600955,1,1
1480618927,0,0
1480622554,1,1
1480636924,0,0
1480672970,1,1
1480687329,0,0
1480726948,1,1
1480752122,0,0
1480795362,1,1
1480827722,0,0
1480834955,1,1
1480852920,0,0
1480863751,1,1
1480888933,0,0
1480917754,1,1
1480932123,0,0
1480950155,1,1
1480964522,0,0
1480968155,1,1
1480982521,0,0
1481008048,1,1
1481022635,0,0
1481043766,1,1
1481065566,0,0
1481079755,1,1
1481094120,0,0
1481101604,1,1
1481115854,0,0
1481137355,1,1
1481166122,0,0
1481169757,1,1
1481184127,0,0
1481220355,1,1
1481252526,0,0
1481270552,1,1
1481284921,0,0
1481342550,1,1
1481356923,0,0
1481360551,1,1
1481389320,0,0
1481468557,1,1
1481483005,0,0
1481500974,1,1
1481515323,0,0
1481544176,1,1
1481558653,0,0
1481587474,1,1
1481601721,0,0
1481609033,1,1
1481623584,0,0
1481630593,1,1
1481659592,0,0
1481835760,1,1
1481889990,0,0
1481983358,1,1
1481997725,0,0
1482004959,1,1
1482019330,0,0
1482033761,1,1
1482051735,0,0
1482055364,1,1
1482069754,0,0
1482073366,1,1
1482087737,0,0
1482091367,1,1
1482105747,0,0
1482123764,1,1
1482138135,0,0
1482166966,1,1
1482181335,0,0
1482210168,1,1
1482224535,0,0
1482235365,1,1
1482249729,0,0
1482332603,1,1
1482350538,0,0
1482357766,1,1
1482372135,0,0
1482400963,1,1
1482415341,0,0
1482440823,1,1
1482469326,0,0
1482501756,1,1
1482526926,0,0
1482555758,1,1
1482584526,0,0
1482591758,1,1
1482606124,0,0
1482667370,1,1
1482688932,0,0
1482724959,1,1
1482742929,0,0
1482807768,1,1
1482822138,0,0
1482861768,1,1
1482879740,0,0
1482919370,1,1
1482933730,0,0
1482962562,1,1
1482976944,0,0
1483012977,1,1
1483045341,0,0
1483048969,1,1
1483063335,0,0
1483102973,1,1
1483135341,0,0
1483178567,1,1
1483192935,0,0
1483203776,1,1
1483232541,0,0
1483257770,1,1
1483272138,0,0
1483344165,1,1
1483358537,0,0
1483365764,1,1
1483398138,0,0
1483416159,1,1
1483430524,0,0
1483538629,1,1
1483563754,0,0
1483592566,1,1
1483614688,0,0
1483639366,1,1
1483653731,0,0
1483657364,1,1
1483700669,0,0
1483711378,1,1
1483725873,0,0
1483754569,1,1
1483768985,0,0
1483779880,1,1
1483794358,0,0
1483797768,1,1
1483812134,0,0
1483830166,1,1
1483844538,0,0
1484067775,1,1
1484089371,0,0
1484100164,1,1
1484103775,2,2
1484139843,1,1
1484161389,2,2
1484190168,1,1
1484229767,2,2
1484254966,1,1
1484283766,2,2
1484330563,1,1
1484334164,2,2
1484337763,3,3
1484348563,2,2
1484380969,1,1
1484391729,0,0
1484406158,1,1
1484431458,0,0
1484434974,1,1
1484456532,0,0
1484460166,1,1
1484521715,0,0
1484539353,1,1
1484564524,0,0
1484582558,1,1
1484596926,0,0
1484604158,1,1
1484618527,0,0
1484643756,1,1
1484701341,0,0
1484726577,1,1
1484748140,0,0
1484766167,1,1
1484780679,0,0
1484787764,1,1
1484812933,0,0
1484816562,1,1
1484838134,0,0
1484877764,1,1
1484892134,0,0
1484902966,1,1
1484956943,0,0
1484985784,1,1
1485000140,0,0
1485014564,1,1
1485039740,0,0
1485046971,1,1
1485075734,0,0
1485104561,1,1
1485118932,0,0
1485126156,1,1
1485226924,0,0
1485241431,1,1
1485385330,0,0
1485399762,1,1
1485450132,0,0
1485457362,1,1
1485482581,0,0
1485547394,1,1
1485561771,0,0
1485615791,1,1
1485662550,0,0
1485673381,1,1
1485687743,0,0
1485716570,1,1
1485730944,0,0
1485748968,1,1
1485763339,0,0
1485770566,1,1
1485784931,0,0
1485803281,1,1
1485824945,0,0
1485860562,1,1
1485874934,0,0
1485914568,1,1
1485950535,0,0
1485964966,1,1
1485997373,0,0
1486018967,1,1
1486033336,0,0
1486040565,1,1
1486054993,0,0
1486069370,1,1
1486094525,0,0
1486112551,1,1
1486159361,0,0
1486170351,1,1
1486191735,0,0
1486216965,1,1
1486231332,0,0
1486242162,1,1
1486274531,0,0
1486346567,1,1
1486371731,0,0
1486450967,1,1
1486472531,0,0
1486486967,1,1
1486522939,0,0
1486537365,1,1
1486587735,0,0
1486591365,1,1
1486605739,0,0
1486612954,1,1
1486627328,0,0
1486670612,1,1
1486684953,0,0
1486688563,1,1
1486706529,0,0
1486713752,1,1
1486742531,0,0
1486746161,1,1
1486764123,0,0
1486782167,1,1
1486796537,0,0
1486843360,1,1
1486886536,0,0
1486972962,1,1
1486987335,0,0
1487019833,1,1
1487034132,0,0
1487071940,1,1
1487084533,0,0
1487160169,1,1
1487192530,0,0
1487217757,1,1
1487246525,0,0
1487329358,1,1
1487361729,0,0
1487365353,1,1
1487379735,0,0
1487401374,1,1
1487415734,0,0
1487426568,1,1
1487448133,0,0
1487473362,1,1
1487487736,0,0
1487512962,1,1
1487538137,0,0
1487566963,1,1
1487581332,0,0
1487602965,1,1
1487617337,0,0
1487620962,1,1
1487635333,0,0
1487656967,1,1
1487671335,0,0
1487718162,1,1
1487732531,0,0
1487743364,1,1
1487793740,0,0
1487797368,1,1
1487815327,0,0
1487826156,1,1
1487858528,0,0
1487876554,1,1
1487890930,0,0
1487905359,1,1
1487919727,0,0
1487926955,1,1
1487941327,0,0
1487944954,1,1
1487959326,0,0
1488020564,1,1
1488034936,0,0
1488049358,1,1
1488070943,0,0
1488081768,1,1
1488110533,0,0
1488121363,1,1
1488160941,0,0
1488168168,1,1
1488200538,0,0
1488232972,1,1
1488247335,0,0
1488258172,1,1
1488294141,0,0
1488322970,1,1
1488337341,0,0
1488344577,1,1
1488358948,0,0
1488369766,1,1
1488384142,0,0
1488445362,1,1
1488481337,0,0
1488484962,1,1
1488499337,0,0
1488520958,1,1
1488535328,0,0
1488560560,1,1
1488574925,0,0
1488600160,1,1
1488614535,0,0
1488657759,1,1
1488672135,0,0
1488679362,1,1
1488722529,0,0
1488729763,1,1
1488744135,0,0
1488747765,1,1
1488791219,0,0
1488798293,1,1
1488845296,0,0
1488849007,1,1
1488927858,0,0
1488967623,1,1
1488985421,0,0
1489000139,1,1
1489017791,0,0
1489032445,1,1
1489064752,0,0
1489068440,1,1
1489111686,0,0
1489115283,1,1
1489676649,2,2
1489809818,1,1
1491811367,0,0
1504692176,1,1
1505844219,0,0
