DateTime,AddedIPs,RemovedIPs
1521353608,7,9
1521357220,11,5
1521360845,3,6
1521364445,4,5
1521368051,17,8
1521371671,4,20
1521375238,25,6
1521378854,2,3
1521382455,5,26
1521386022,14,2
1521389622,6,29
1521393224,18,5
1521396835,16,3
1521400454,13,11
1521404037,5,4
1521407638,4,6
1521411255,1,17
1521414828,19,23
1521418484,43,7
1521422022,7,4
1521425648,5,7
1521429270,6,25
1521432879,3,61
1521436442,13,27
1521439987,45,14
1521443644,33,8
1521447267,1,6
1521450872,7,9
1521454425,17,7
1521458062,10,13
1521461637,17,2
1521465286,3,7
1521468817,19,6
1521472448,3,8
1521476061,7,12
1521479630,8,6
1521483217,11,8
1521487062,10,2
1521490439,10,6
1521494076,3,8
1521497659,2,9
1521501280,4,9
1521504913,36,74
1521508478,10,7
1521515620,83,9
1521519262,5,23
1521522850,1,6
1521526433,9,16
1521530081,3,41
1521533651,11,8
1521537241,32,6
1521540868,6,11
1521544473,7,7
1521548032,18,3
1521551694,9,11
1521555222,7,6
1521558874,1,5
1521562498,3,36
1521566041,17,12
1521569622,10,17
1521573297,6,11
1521576806,20,6
1521580460,4,33
1521584030,6,18
1521587687,14,10
1521591327,29,31
1521594853,72,9
1521598450,14,5
1521602028,19,21
1521605670,7,4
1521609262,9,20
1521612819,26,5
1521616457,2,14
1521620031,13,9
1521623648,9,6
1521627261,6,20
1521630828,15,1
1521634480,6,11
1521637991,17,1
1521641646,6,5
1521645281,5,24
1521648833,11,20
1521652443,3,27
1521656034,25,19
1521659673,9,10
1521663274,13,21
1521666845,18,8
1521670444,18,17
1521674039,13,11
1521677688,25,16
1521681255,12,8
1521684867,6,13
1521688434,1,49
1521692066,12,17
1521695631,30,13
1521699263,9,11
1521702814,31,3
1521706434,2,5
1521710044,21,8
1521713636,14,6
1521717237,10,13
1521720863,6,6
1521724499,10,22
1521728097,10,16
1521731645,16,8
1521735217,18,5
1521738841,16,16
1521742449,27,4
1521746075,5,4
1521749652,4,13
1521753240,5,24
1521756842,14,33
1521760435,20,5
1521764063,22,6
1521767634,38,3
1521771228,6,13
1521774848,5,38
1521778417,17,4
1521782007,8,9
1521785610,9,5
1521789219,6,2
1521792861,1,9
1521796385,11,6
1521799998,5,19
1521803616,3,20
1521807208,19,3
1521810868,4,11
1521814407,18,5
1521818025,10,1
1521821648,4,3
1521825202,4,4
1521828868,0,9
1521832397,10,28
1521836040,3,4
1521839645,9,46
1521843207,16,1
1521846812,40,28
1521850406,41,5
1521853990,21,4
1521857629,5,7
1521861204,5,26
1521864856,6,11
1521868433,5,32
1521872046,8,6
1521875599,12,26
1521879219,14,29
1521882809,25,6
1521886405,21,5
1521890011,13,3
1521893599,16,2
1521897205,10,4
1521900857,3,12
1521904430,9,13
1521908060,2,12
1521911595,21,11
1521915207,7,1
1521918785,11,9
1521922408,15,6
1521926012,3,9
1521929649,3,5
1521933211,3,13
1521936878,32,28
1521940448,7,16
1521944058,26,6
1521947649,16,17
1521951206,14,5
1521954863,4,1
1521958465,2,10
1521962039,6,17
1521965646,15,35
1521969246,9,6
1521972827,13,8
1521976413,10,18
1521980007,23,10
1521983630,20,7
1521987210,14,5
1521990842,11,5
1521994454,5,13
1521998015,14,12
1522001631,13,10
1522005199,6,15
1522008867,7,6
1522012425,15,17
1522016052,7,12
1522019684,3,14
1522023230,27,7
1522026879,6,44
1522030467,7,16
1522034003,27,17
1522037618,13,31
1522041234,9,10
1522044795,18,3
1522048425,30,10
1522052056,25,4
1522055700,1,3
1522059216,15,5
1522062840,7,4
1522066426,6,11
1522070070,4,1
1522073624,10,22
1522077252,5,25
1522080819,19,11
1522084448,23,8
1522088053,13,10
1522091621,6,8
1522095264,2,17
1522098797,17,16
1522102451,5,13
1522106030,7,19
1522109641,51,2
1522113240,14,10
1522116826,4,5
1522120490,3,26
1522124045,5,61
1522127672,14,28
1522131196,23,13
1522134874,8,5
1522138422,41,6
1522142096,8,8
1522145717,5,20
1522149274,14,6
1522152870,17,41
1522156482,9,5
1522160045,37,4
1522163660,24,9
1522167249,7,6
1522170832,7,3
1522174446,5,6
1522178077,6,19
1522181667,7,32
