DateTime,Entries,UniqueIPs
1477461679,1,1
1477479676,0,0
1477519277,1,1
1477526476,3,3
1477558876,2,2
1477562479,3,3
1477580477,2,2
1477584077,3,3
1477587680,4,4
1477598477,3,3
1477616476,4,4
1477630889,2,2
1477645278,3,3
1477684879,2,2
1477692077,3,3
1477724481,2,2
1477731685,3,3
1477771282,4,4
1477785680,3,3
1477789278,4,4
1477803679,3,3
1477807278,2,2
1477810880,3,3
1477828879,2,2
1477846878,3,3
1477861277,2,2
1477868475,3,3
1477926077,2,2
1477947677,4,4
1477962076,3,3
1478012512,2,2
1478016125,3,3
1478142077,2,2
1478228477,0,0
1479081689,1,1
1479168095,3,3
1479600046,4,4
1479783678,3,3
1480204879,4,4
1480302082,3,3
1480474878,1,1
1480514503,2,2
1480532475,1,1
1480550480,2,2
1480809678,4,4
1480906879,3,3
1481241679,5,5
1481252473,4,4
1481511678,2,2
1481846488,3,3
1481943681,1,1
1482364889,3,3
1482548485,2,2
1483066888,0,0
1483315290,1,1
1483747291,2,2
1484017281,1,1
1484352091,3,3
1484449288,2,2
1484697683,3,3
1485043291,4,4
1485054088,2,2
1485129690,3,3
1485399688,2,2
1485745291,1,1
1485831688,0,0
1486857689,1,1
1486944089,2,2
1487030491,4,4
1487289685,6,6
1487376081,7,7
1487559689,6,6
1487646090,5,5
1487732489,3,3
1487808092,5,5
1487991689,3,3
1488078095,2,2
1488153694,4,4
1488168095,3,3
1488240097,4,4
1488326492,5,5
1488330097,6,6
1488344499,5,5
1488499289,6,6
1488502883,7,7
1488510083,5,5
1488517281,4,4
1488679291,5,5
1488693688,4,4
1488772978,3,3
1488790893,4,4
1488805423,3,3
1488844988,4,4
1488848617,5,5
1488855814,4,4
1488866750,3,3
1488920617,4,4
1488938533,3,3
1488942217,2,2
1488974491,3,3
1489007008,2,2
1489028529,1,1
1489046516,2,2
1489060910,1,1
1489107836,2,2
1489201298,1,1
1489449703,3,3
1489536103,4,4
1489546905,3,3
1489622503,4,4
1489712530,3,3
1489716075,4,4
1489752066,3,3
1489755670,4,4
1489795290,3,3
1489798905,4,4
1489881710,5,5
1489979044,4,4
1489982656,5,5
1490079708,4,4
1490083309,5,5
1490097711,4,4
1490101310,5,5
1490140919,6,6
1490151705,4,4
1490238100,3,3
1490295904,2,2
1490299524,3,3
1490324498,2,2
1490583708,1,1
1490659310,2,2
1490842913,1,1
1491004906,3,3
1491361308,2,2
1491706892,0,0
1492387303,1,1
1492473707,2,2
1492488113,1,1
1492491709,2,2
1492646512,2,2
1492650107,3,3
1492675308,2,2
1492678905,3,3
1492790506,1,1
1492794108,3,3
1492819310,4,4
1492880511,3,3
1492884103,4,4
1492930899,3,3
1492934499,4,4
1492966904,3,3
1492970499,4,4
1492995701,1,1
1492999309,4,4
1493078504,5,5
1493089312,4,4
1493164913,6,6
1493175708,5,5
1493323311,3,3
1493326908,5,5
1493337708,6,6
1493344907,5,5
1493438511,3,3
1493442108,5,5
1493517706,4,4
1493589708,3,3
1493593310,4,4
1493640111,3,3
1493643707,4,4
1493733708,3,3
1493737307,4,4
1493766109,3,3
1493769709,4,4
1493866911,2,2
1494028912,3,3
1494039709,2,2
1494471708,1,1
1494730899,0,0
1495152113,1,1
1495238506,2,2
1495843309,3,3
1495854102,2,2
1495940509,1,1
1496016111,2,2
1496545303,1,1
1496620914,2,2
1496718108,1,1
1497052907,2,2
1497139305,3,3
1497312116,4,4
1497322907,3,3
1497398511,4,4
1497571308,5,5
1497657697,6,6
1497754911,5,5
1497841307,4,4
1498014112,3,3
1498100511,2,2
1498273300,1,1
1498359703,0,0
1499212914,1,1
1499731307,2,2
1499914910,1,1
1499986901,0,0
1500037306,1,1
1500339702,0,0
1500346910,1,1
1500433300,0,0
1501027313,1,1
1501084899,0,0
1501088511,1,1
1501113709,2,2
1501200109,3,3
1501286508,5,5
1501394505,6,6
1501408904,5,5
1501470106,0,0
1501516907,5,5
1501520502,0,0
1501545633,5,5
1501556434,0,0
1501635714,7,7
1501642908,8,8
1501653707,7,7
1501714908,8,8
1501718512,9,9
1501725698,9,9
1501729303,8,8
1501736497,7,7
1501740097,6,6
1501815707,5,5
1501902105,4,4
1501988502,2,2
1502150507,3,3
1502247700,2,2
1502334104,1,1
1502496110,3,3
1502852504,2,2
1502928102,3,3
1503187309,4,4
1503198112,2,2
1503446512,3,3
1503532904,4,4
1503619301,5,5
1503630105,4,4
1503889305,3,3
1504137707,4,4
1504148508,3,3
1504234906,2,2
1504310506,3,3
1504321306,2,2
1504742515,3,3
1504839714,2,2
1504915307,3,3
1505012498,2,2
1505088103,3,3
1505174513,4,4
1505444510,3,3
1505617305,2,2
1505790109,1,1
1505847694,0,0
1505944906,4,4
1505952101,6,6
1506038502,7,7
1506297700,8,8
1506567708,4,4
1506654115,2,2
1506740508,1,1
1506999692,0,0
1507334506,1,1
1507680102,2,2
1507852907,3,3
1508036505,2,2
1508382110,1,1
1508554897,0,0
1509408108,2,2
1510110096,0,0
1510358500,1,1
1510704106,2,2
1510790507,3,3
1511060504,2,2
1511406099,1,1
1511492492,0,0
1511654510,1,1
1511827309,4,4
1511913705,5,5
1511917304,6,6
1511928104,7,7
1511931703,7,7
1511938902,6,6
1511942505,7,7
1511946104,8,8
1511949711,7,7
1511953302,8,8
1511956906,8,8
1511960504,7,7
1511967706,7,7
1511971301,6,6
1511974906,7,7
1511978505,6,6
1511982103,7,7
1511985703,6,6
1511996511,7,7
1512003702,6,6
1512007306,7,7
1512014504,7,7
1512018098,8,8
1512021704,7,7
1512025302,7,7
1512028912,8,8
1512032504,7,7
1512039702,7,7
1512050503,6,6
1512054103,7,7
1512061300,8,8
1512064901,7,7
1512068500,7,7
1512072103,7,7
1512075704,8,8
1512079307,8,8
1512086506,7,7
1512090101,6,6
1512097301,7,7
1512100900,6,6
1512104501,7,7
1512108101,8,8
1512111697,8,8
1512115299,7,7
1512118902,6,6
1512122499,7,7
1512129709,7,7
1512133302,7,7
1512140499,8,8
1512144098,7,7
1512147702,8,8
1512151309,8,8
1512154907,7,7
1512158508,6,6
1512169307,6,6
1512172908,8,8
1512176507,9,9
1512180108,8,8
1512187305,9,9
1512194506,8,8
1512198105,8,8
1512201705,7,7
1512219708,8,8
1512223308,9,9
1512226906,8,8
1512234104,7,7
1512237705,7,7
1512244906,8,8
1512248507,7,7
1512259308,8,8
1512262896,9,9
1512266497,8,8
1512270097,7,7
1512277296,8,8
1512280892,9,9
1512284497,9,9
1512295296,8,8
1512298899,8,8
1512302500,7,7
1512306100,8,8
1512309696,7,7
1512313298,8,8
1512320498,8,8
1512324098,9,9
1512327698,8,8
1512331302,8,8
1512334898,7,7
1512338498,8,8
1512342099,8,8
1512349308,7,7
1512352906,8,8
1512356502,8,8
1512360104,7,7
1512363707,8,8
1512367306,7,7
1512378104,7,7
1512381706,8,8
1512385308,7,7
1512392504,7,7
1512406903,7,7
1512410505,7,7
1512414112,8,8
1512417713,8,8
1512428506,8,8
1512432111,8,8
1512439306,8,8
1512442906,8,8
1512446509,8,8
1512450100,8,8
1512453707,7,7
1512457307,7,7
1512460906,7,7
1512464506,8,8
1512468105,7,7
1512471707,8,8
1512475312,8,8
1512478906,8,8
1512482506,7,7
1512489709,7,7
1512493309,7,7
1512500508,7,7
1512504105,7,7
1512522108,7,7
1512529307,4,4
1512532905,3,3
1512536510,4,4
1512540104,4,4
1512547306,4,4
1512550910,3,3
1512554507,4,4
1512568905,4,4
1512572508,3,3
1512576108,4,4
1512579704,4,4
1512583309,5,5
1512586905,4,4
1512590512,5,5
1512601308,4,4
1512604905,3,3
1512612110,2,2
1512615707,1,1
1512691308,2,2
1512874901,1,1
1513382509,2,2
1513393302,1,1
1514084491,0,0
1515715299,1,1
1515762094,0,0
1515942102,1,1
1516017694,0,0
1516089663,1,1
1516233698,2,2
1516417296,1,1
1516492907,3,3
1516924902,4,4
1516935701,3,3
1517194901,1,1
1517356906,2,2
1517641295,1,1
1517706094,2,2
1517734907,1,1
1517803299,2,2
1517846516,1,1
1518019295,0,0
1518094895,1,1
1518130906,0,0
1518145302,1,1
1518174130,0,0
1518274891,1,1
1518296485,0,0
1518300104,1,1
1518307292,3,3
1518321697,2,2
1518393705,3,3
1518480106,4,4
1518566540,5,5
1518714093,6,6
1518728491,5,5
1518739317,6,6
1518912059,7,7
1519009291,5,5
1519095703,4,4
1519182101,3,3
1519250505,4,4
1519261292,3,3
1519268492,2,2
1519430491,3,3
1519441288,2,2
1519603299,3,3
1519614107,2,2
1520132500,1,1
1520305304,0,0
1520388095,1,1
1520434888,0,0
1520467310,1,1
1520470886,2,2
1520528499,1,1
1520560893,2,2
1520650890,1,1
1521169291,0,0
1521244860,1,1
1521504096,2,2
1521550905,3,3
