DateTime,AddedIPs,RemovedIPs
1442448089,1,0
1442971878,0,1
1443227487,1,0
1443657686,1,0
1444181481,0,1
1444867295,1,0
1445391095,0,1
1446076888,1,0
1446082291,0,1
1446600680,0,1
1447286511,1,0
1447311870,0,1
1447815691,0,1
1448496356,1,0
1449025475,0,1
1449705829,1,0
1450234889,0,1
1450915443,1,0
1451444529,0,1
1452124945,1,0
1452654217,0,1
1453334559,1,0
1453863822,0,1
1453986185,1,0
1454544158,1,0
1455073296,0,1
1455753830,1,0
1456282901,0,1
1456801406,0,1
1456963556,1,0
1457492980,0,1
1458173017,1,0
1458702106,0,1
1459382551,1,0
1459911677,0,1
1460592153,1,0
1461121342,0,1
1461801735,1,0
1462330885,0,1
1463011300,1,0
1463540507,0,1
1464220902,1,0
1464750081,0,1
1465430498,1,0
1465959719,0,1
1466640157,1,0
1467169292,0,1
1467849702,1,0
1468378879,0,1
1475298231,1,0
1475312988,0,1
1475370242,1,0
1475384874,0,1
1481760087,1,0
1482289288,0,1
1489676574,1,0
1489741265,0,1
1489744886,1,0
1489809712,0,1
1501286521,1,0
1501365719,0,0
1501470114,0,1
1501545636,1,0
1501556434,0,1
1501635730,1,0
1501815707,0,1
1505426507,0,0
1505430107,0,0
1508803318,1,0
1509332506,0,1
1509732105,1,0
1512615707,0,1
