DateTime,AddedIPs,RemovedIPs
1518315059,1,0
1518372542,0,1
1518376147,1,0
1518383411,0,1
1518386972,1,0
1518394187,0,1
1518397795,1,0
1518419333,0,2
1518423002,1,0
1518426538,0,1
1518430168,1,0
1518437361,1,0
1518462611,0,1
1518466183,0,1
1518469778,2,0
1518473344,0,1
1518487764,1,0
1518502187,0,1
1518505732,1,0
1518624534,0,2
1518639021,1,0
1518653412,1,0
1518664148,1,0
1518692916,0,1
1518696580,1,0
1518700129,0,1
1518703737,1,0
1518707323,0,1
1518710954,1,1
1518714545,0,1
1518721722,1,0
1518728928,1,0
1518739783,1,1
1518754124,0,1
1518775819,2,0
1518790286,0,1
1518800977,1,0
1518829744,0,1
1518908927,0,1
1518916140,1,0
1518941347,0,1
1518948555,1,1
1518952144,1,0
1518962991,0,1
1518970157,1,0
1518995384,0,2
1518999004,1,0
1519009730,1,0
1519042198,0,1
1519045756,1,0
1519060138,0,1
1519063740,0,1
1519067351,1,0
1519074589,0,1
1519085389,1,0
1519092542,1,0
1519096193,0,1
1519110565,0,1
1519114136,0,1
1519121341,2,0
1519139349,0,1
1519160949,1,0
1519168166,0,1
1519171800,1,0
1519182558,0,1
1519186136,1,1
1519189771,1,0
1519200536,0,1
1519207774,1,0
1519229375,0,2
1519232964,1,0
1519251005,1,0
1519265364,0,1
1519279755,1,0
1519283384,0,1
1519294161,1,0
1519340947,0,1
1519344558,2,0
1519358975,0,1
1519362533,1,0
1519366143,0,1
1519373333,1,0
1519387721,0,1
1519391343,1,1
1519402166,1,0
1519409363,0,1
1519412929,0,1
1519416523,2,0
1519420130,0,1
1519427329,1,0
1519430937,1,0
1519445313,0,1
1519448940,1,0
1519463330,0,1
1519470531,1,0
1519474142,0,1
1519477722,1,0
1519488542,0,2
1519499338,1,0
1519510157,1,0
1519517349,4,1
1519524544,1,0
1519538934,0,1
1519546191,0,1
1519549778,1,0
1519553383,0,1
1519564149,2,0
1519589337,0,1
1519592974,1,1
1519603762,1,0
1519607375,0,1
1519610994,1,0
1519693770,0,1
1519697367,0,1
1519700978,1,1
1519704560,1,0
1519722594,0,1
1519726158,2,0
1519740592,0,2
1519747803,1,0
1519758565,1,0
1519772977,0,1
1519776599,1,0
1519787390,0,2
1519794588,1,1
1519801795,2,0
1519816183,0,1
1519819777,1,0
1519834154,0,1
1519837749,1,0
1519844966,0,1
1519852207,0,1
1519863002,2,0
1519873753,0,1
1519877387,0,1
1519888159,1,0
1519902615,0,2
1519906171,1,0
1519909794,1,0
1519942183,0,1
1519945791,0,1
1519949334,2,0
1519952986,0,5
1519956581,3,0
1519992539,0,1
1520017774,1,1
1520021361,1,0
1520024991,0,2
1520028542,2,0
1520042958,0,2
1520046553,2,0
1520082533,0,1
1520089740,1,0
1520107714,0,2
1520111330,1,1
1520114933,1,0
1520122129,3,1
1520125726,0,1
1520129371,1,0
1520132969,0,1
1520136524,1,0
1520143767,1,0
1520150925,0,1
1520154575,0,1
1520158134,1,0
