DateTime,AddedIPs,RemovedIPs
1493467679,0,1
1493489321,1,0
1493518097,0,1
1493536093,1,0
1493550472,0,1
1493564920,1,0
1493579286,0,1
1493626148,1,0
1493640472,0,1
1493683791,1,0
1494292099,0,1
1494295718,1,0
1494486485,0,1
1494490123,1,0
1494518880,0,1
1494774502,1,0
1495073286,0,1
1495080516,1,0
1495170494,0,1
1495188491,1,0
1495228062,0,1
1495231707,1,0
1495267669,0,1
1495271308,1,0
1495318094,0,1
1495325380,1,0
1495339709,0,1
1495357732,1,0
1495375688,0,1
1495390136,1,0
1495415440,0,1
1495433310,1,0
1495447707,0,1
1495480126,1,0
1495494476,0,1
1495512501,1,0
1495530442,0,1
1495537712,1,0
1495555663,0,1
1495624084,1,0
1495638539,0,1
1495670959,1,0
1495689387,0,1
1495696469,1,0
1495732067,0,1
1495768095,1,0
1495782456,0,1
1495919290,1,0
1495944453,0,1
1495951708,1,0
1495966058,0,1
1495973305,1,0
1495994864,0,1
1496002087,1,0
1496030876,0,1
1496034517,1,0
1496059685,0,1
1496070517,1,0
1496084879,0,1
1496092122,1,0
1496106482,0,1
1496138932,1,0
1496153278,0,1
1496164114,1,0
1496192877,0,1
1496228900,1,0
1496243301,0,1
1496282925,1,0
1496308107,0,1
1496333320,1,0
1496347686,0,1
1496387313,1,0
1496401710,0,1
1496448538,1,0
1496491658,0,1
1496588899,1,0
1496603263,0,1
1496610505,1,0
1496635700,0,1
1496675297,1,0
1496689679,0,1
1496855308,1,0
1496869677,0,1
1496887734,1,0
1496902061,0,1
1496930915,1,0
1496963280,0,1
1498806519,1,0
1498846094,0,1
1498849713,1,0
1498975681,0,1
1498990112,1,0
1499004508,0,1
1499008126,1,0
1499054864,0,1
1499069283,1,0
1499116045,0,1
1499123281,1,0
1499202473,0,1
1499213359,1,0
1499227703,0,1
1499256518,1,0
1499292471,0,1
1499321296,1,0
1499339262,0,1
1499357315,1,0
1499371685,0,1
1499393307,1,0
1499432864,0,1
1499458110,1,0
1499486891,0,1
1499497720,1,0
1499512069,0,1
1499519325,1,0
1499533705,0,1
1499537305,1,0
1499551678,0,1
1499584108,1,0
1499598486,0,1
1499602099,1,0
1499620084,0,1
1499627322,1,0
1499641673,0,1
1499663295,1,0
1499677684,0,1
1499684918,1,0
1499699278,0,1
1499731767,1,0
1499746092,0,1
1499756928,1,0
1499771279,0,1
1499778520,1,0
1499814489,0,1
1499890111,1,0
1499904520,0,1
1499962099,1,0
1499976492,0,1
1500037704,1,0
1500070056,0,1
1500080914,1,0
1500106081,0,1
1500203283,1,0
1500239267,0,1
1500246490,1,0
1500275269,0,1
1500293319,1,0
1500311241,0,1
1500379736,1,0
1500394075,0,1
1500401315,1,0
1500415692,0,1
1500426499,1,0
1500440880,0,1
1500484131,1,0
1500502093,0,1
1500505701,1,0
1500520089,0,1
1500527324,1,0
1500541679,0,1
1500563303,1,0
1500577666,0,1
1500584906,1,0
1500599295,0,1
1500617344,1,0
1500631707,0,1
1500685715,1,0
1500700072,0,1
1500772094,1,0
1501056471,0,1
1501060099,1,0
1501092465,0,1
1501099696,1,0
1501160861,0,1
1501168113,1,0
1501366130,0,0
1501474117,0,1
1501549598,1,0
1501560411,0,1
1501614413,1,0
1502132888,0,1
1502136499,1,0
1502150924,0,1
1502176118,1,0
1502208501,0,1
1502212130,1,0
1502230086,0,1
1502233721,1,0
1502316497,0,1
1502320112,1,0
1502420890,0,1
1502424521,1,0
1502460484,0,1
1502467711,1,0
1502489277,0,1
1502518107,1,0
1502579291,0,1
1502593712,1,0
1502611692,0,1
1502618909,1,0
1502690861,0,1
1502701690,1,0
1502737667,0,1
1502755725,1,0
1502791676,0,1
1502795290,1,0
1502824056,0,1
1502827694,1,0
1502860065,0,1
1502870885,1,0
1502892459,0,1
1502914103,1,0
1502996863,0,1
1503004110,1,0
1503036471,0,1
1503040119,1,0
1503054492,0,1
1503061717,1,0
1503076098,0,1
1503079742,1,0
1503094070,0,1
1503101355,1,0
1503140882,0,1
1503162517,1,0
1503176895,0,1
1503187758,1,0
1503202118,0,1
1503205723,1,0
1503220071,0,1
1503270526,1,0
1503295701,0,1
1503328134,1,0
1503342497,0,1
1503346117,1,0
1503360537,0,1
1503432513,1,0
1503461274,0,1
1503475691,1,0
1503497263,0,1
1503511709,1,0
1503526077,0,1
1503662916,1,0
1503684469,0,1
1503702513,1,0
1503716857,0,1
1503749318,1,0
1503763672,0,1
1503835710,1,0
1503860857,0,1
1503925715,1,0
1503950885,0,1
1503968940,1,0
1503997697,0,1
1504040919,1,0
1504055293,0,1
1504141707,1,0
1504166885,0,1
1504188541,1,0
1504202888,0,1
1504310963,1,0
1505034505,0,1
1505038109,1,0
1505056083,0,1
1505275715,1,0
1505401679,0,1
1505408921,1,0
1505426910,0,0
1505430519,0,0
1505693284,0,1
1505700525,1,0
1505801293,0,1
1505819318,1,0
1505848093,0,1
1505966880,1,0
1506125306,0,1
1506128907,1,0
