DateTime,Entries,UniqueIPs
1493402907,1,1
1493417292,0,0
1493453311,1,1
1493467679,0,0
1493489321,1,1
1493518097,0,0
1493536093,1,1
1493550472,0,0
1493564920,1,1
1493579286,0,0
1493626148,1,1
1493640472,0,0
1493683791,1,1
1494292099,0,0
1494295718,1,1
1494486485,0,0
1494490123,1,1
1494518880,0,0
1494774502,1,1
1495073286,0,0
1495080516,1,1
1495170494,0,0
1495188491,1,1
1495228062,0,0
1495231707,1,1
1495267669,0,0
1495271308,1,1
1495318094,0,0
1495325380,1,1
1495339709,0,0
1495357732,1,1
1495375688,0,0
1495390136,1,1
1495415440,0,0
1495433310,1,1
1495447707,0,0
1495480126,1,1
1495494476,0,0
1495512501,1,1
1495530442,0,0
1495537712,1,1
1495555663,0,0
1495624084,1,1
1495638539,0,0
1495670959,1,1
1495689387,0,0
1495696469,1,1
1495732067,0,0
1495768095,1,1
1495782456,0,0
1495919290,1,1
1495944453,0,0
1495951708,1,1
1495966058,0,0
1495973305,1,1
1495994864,0,0
1496002087,1,1
1496030876,0,0
1496034517,1,1
1496059685,0,0
1496070517,1,1
1496084879,0,0
1496092122,1,1
1496106482,0,0
1496138932,1,1
1496153278,0,0
1496164114,1,1
1496192877,0,0
1496228900,1,1
1496243301,0,0
1496282925,1,1
1496308107,0,0
1496333320,1,1
1496347686,0,0
1496387313,1,1
1496401710,0,0
1496448538,1,1
1496491658,0,0
1496588899,1,1
1496603263,0,0
1496610505,1,1
1496635700,0,0
1496675297,1,1
1496689679,0,0
1496855308,1,1
1496869677,0,0
1496887734,1,1
1496902061,0,0
1496930915,1,1
1496963280,0,0
1498806519,1,1
1498846094,0,0
1498849713,1,1
1498975681,0,0
1498990112,1,1
1499004508,0,0
1499008126,1,1
1499054864,0,0
1499069283,1,1
1499116045,0,0
1499123281,1,1
1499202473,0,0
1499213359,1,1
1499227703,0,0
1499256518,1,1
1499292471,0,0
1499321296,1,1
1499339262,0,0
1499357315,1,1
1499371685,0,0
1499393307,1,1
1499432864,0,0
1499458110,1,1
1499486891,0,0
1499497720,1,1
1499512069,0,0
1499519325,1,1
1499533705,0,0
1499537305,1,1
1499551678,0,0
1499584108,1,1
1499598486,0,0
1499602099,1,1
1499620084,0,0
1499627322,1,1
1499641673,0,0
1499663295,1,1
1499677684,0,0
1499684918,1,1
1499699278,0,0
1499731767,1,1
1499746092,0,0
1499756928,1,1
1499771279,0,0
1499778520,1,1
1499814489,0,0
1499890111,1,1
1499904520,0,0
1499962099,1,1
1499976492,0,0
1500037704,1,1
1500070056,0,0
1500080914,1,1
1500106081,0,0
1500203283,1,1
1500239267,0,0
1500246490,1,1
1500275269,0,0
1500293319,1,1
1500311241,0,0
1500379736,1,1
1500394075,0,0
1500401315,1,1
1500415692,0,0
1500426499,1,1
1500440880,0,0
1500484131,1,1
1500502093,0,0
1500505701,1,1
1500520089,0,0
1500527324,1,1
1500541679,0,0
1500563303,1,1
1500577666,0,0
1500584906,1,1
1500599295,0,0
1500617344,1,1
1500631707,0,0
1500685715,1,1
1500700072,0,0
1500772094,1,1
1501056471,0,0
1501060099,1,1
1501092465,0,0
1501099696,1,1
1501160861,0,0
1501168113,1,1
1501474117,0,0
1501549598,1,1
1501560411,0,0
1501614413,1,1
1502132888,0,0
1502136499,1,1
1502150924,0,0
1502176118,1,1
1502208501,0,0
1502212130,1,1
1502230086,0,0
1502233721,1,1
1502316497,0,0
1502320112,1,1
1502420890,0,0
1502424521,1,1
1502460484,0,0
1502467711,1,1
1502489277,0,0
1502518107,1,1
1502579291,0,0
1502593712,1,1
1502611692,0,0
1502618909,1,1
1502690861,0,0
1502701690,1,1
1502737667,0,0
1502755725,1,1
1502791676,0,0
1502795290,1,1
1502824056,0,0
1502827694,1,1
1502860065,0,0
1502870885,1,1
1502892459,0,0
1502914103,1,1
1502996863,0,0
1503004110,1,1
1503036471,0,0
1503040119,1,1
1503054492,0,0
1503061717,1,1
1503076098,0,0
1503079742,1,1
1503094070,0,0
1503101355,1,1
1503140882,0,0
1503162517,1,1
1503176895,0,0
1503187758,1,1
1503202118,0,0
1503205723,1,1
1503220071,0,0
1503270526,1,1
1503295701,0,0
1503328134,1,1
1503342497,0,0
1503346117,1,1
1503360537,0,0
1503432513,1,1
1503461274,0,0
1503475691,1,1
1503497263,0,0
1503511709,1,1
1503526077,0,0
1503662916,1,1
1503684469,0,0
1503702513,1,1
1503716857,0,0
1503749318,1,1
1503763672,0,0
1503835710,1,1
1503860857,0,0
1503925715,1,1
1503950885,0,0
1503968940,1,1
1503997697,0,0
1504040919,1,1
1504055293,0,0
1504141707,1,1
1504166885,0,0
1504188541,1,1
1504202888,0,0
1504310963,1,1
1505034505,0,0
1505038109,1,1
1505056083,0,0
1505275715,1,1
1505401679,0,0
1505408921,1,1
1505693284,0,0
1505700525,1,1
1505801293,0,0
1505819318,1,1
1505848093,0,0
1505966880,1,1
1506125306,0,0
1506128907,1,1
1506143256,0,0
1506150499,1,1
1506164859,0,0
1506168488,1,1
1506197250,0,0
1506200890,1,1
1506226082,0,0
1506236880,1,1
1506251274,0,0
1506262083,1,1
1506290867,0,0
1506323295,1,1
1506352078,0,0
1506366502,1,1
1506402488,0,0
1506424092,1,1
1506452863,0,0
1506470946,1,1
1506503296,0,0
1506550102,1,1
1506564516,0,0
1506593328,1,1
1506607696,0,0
1506625729,1,1
1506640100,0,0
1506650923,1,1
1506672492,0,0
1506676131,1,1
1506701299,0,0
1506722938,1,1
1506758896,0,0
1506766115,1,1
1506780491,0,0
1506791325,1,1
1506805695,0,0
1506812914,1,1
1506827307,0,0
1506845326,1,1
1506863307,0,0
1506924526,1,1
1506938882,0,0
1506949731,1,1
1506974904,0,0
1506992893,1,1
1507007289,0,0
1507036110,1,1
1507050472,0,0
1507064915,1,1
1507090097,0,0
1507097302,1,1
1507111692,0,0
1507122532,1,1
1507151268,0,0
1507172938,1,1
1507187282,0,0
1507219718,1,1
1507252068,0,0
1507291724,1,1
1507306101,0,0
1507399705,1,1
1507414083,0,0
1507468149,1,1
1507482486,0,0
1507522152,1,1
1507540116,0,0
1511968141,1,1
1511993281,0,0
1512011316,1,1
1512043693,0,0
1512050907,1,1
1512209277,0,0
1512212938,1,1
1512292052,0,0
1512299301,1,1
1512338864,0,0
1512360514,1,1
1512374873,0,0
1512378514,1,1
1512421687,0,0
1512464919,1,1
1512482891,0,0
1512500925,1,1
1512515293,0,0
1512554913,1,1
1512583678,0,0
1512587311,1,1
1512608870,0,0
1512724129,1,1
1512738505,0,0
1512760121,1,1
1512770928,2,2
1512778161,1,1
1512785325,0,0
1512788946,1,1
1512803288,0,0
1512821336,1,1
1512832116,2,2
1512835741,1,1
1512839333,2,2
1512846539,1,1
1512853684,0,0
1512857312,1,1
1512871843,2,2
1512886073,0,0
1512893297,2,2
1512907673,0,0
1512918503,2,2
1512932894,0,0
1512947321,2,2
1512972529,1,1
1512976098,0,0
1512979748,2,2
1512994106,0,0
1512997734,1,1
1513001347,2,2
1513015696,0,0
1513033731,1,1
1513048100,0,0
1513055329,2,2
1513073332,1,1
1513084109,0,0
1513098527,2,2
1513112917,1,1
1513127290,0,0
1513152504,1,1
1513166892,0,0
1513170513,1,1
1513184920,2,2
1513199330,1,1
1513202935,2,2
1513217284,0,0
1513267703,1,1
1513282149,0,0
1513285736,1,1
1513300087,0,0
1513307325,2,2
1513321729,1,1
1513328883,0,0
1513372113,1,1
1513386474,0,0
1513418955,1,1
1513433263,0,0
1513508913,2,2
1513523280,0,0
1513541314,1,1
1513555704,0,0
1513573721,1,1
1513584523,2,2
1513609688,0,0
1513613342,1,1
1513634899,0,0
1513663717,1,1
1513667343,2,2
1513678123,1,1
1513681704,0,0
1513685311,1,1
1513699730,2,2
1513714116,1,1
1513717676,0,0
1513728580,1,1
1513742908,0,0
1513775315,1,1
1513786118,2,2
1513800554,1,1
1513811350,2,2
1513836550,1,1
1513840134,2,2
1513843741,1,1
1513854512,0,0
1513883330,1,1
1513890532,2,2
1513897751,1,1
1513904897,0,0
1513908543,1,1
1513922896,0,0
1513937340,1,1
1513958896,0,0
1514009322,1,1
1514030867,0,0
1518502122,1,1
1518534484,0,0
1518548860,1,1
1518588461,0,0
1518710876,1,1
1518728828,0,0
1518775752,1,1
1518804421,0,0
1518908862,1,1
1518930453,0,0
1518952081,1,1
1518966457,0,0
1518970092,1,1
1518984490,0,0
1519020468,1,1
1519034881,0,0
1519070871,1,1
1519085293,0,0
1519135674,1,1
1519150058,0,0
1519268870,1,1
1519283286,0,0
1519308869,1,1
1519322867,0,0
1519330078,1,1
1519351621,0,0
1519481275,1,1
1519495629,0,0
1519535273,1,1
1519549672,0,0
1519556873,1,1
1519571233,0,0
1519592909,1,1
1519607280,0,0
1519621712,1,1
1519636087,0,0
1519650492,1,1
1519664894,0,0
1519686498,1,1
1519700876,0,0
1519841315,1,1
1519859252,0,0
