DateTime,AddedIPs,RemovedIPs
1521342527,1,8
1521346116,2,8
1521349703,17,6
1521353301,4,8
1521356892,10,0
1521360547,0,3
1521364138,2,2
1521367729,14,0
1521371351,1,11
1521374918,8,3
1521378533,0,2
1521382132,2,22
1521385717,9,1
1521389304,4,20
1521392906,13,2
1521396510,15,2
1521400130,8,10
1521403736,3,2
1521407310,3,2
1521410944,1,14
1521414508,13,17
1521418157,22,6
1521421747,5,1
1521425331,2,2
1521428944,1,3
1521432555,0,30
1521436141,3,21
1521439689,24,11
1521443307,19,6
1521446931,1,2
1521450538,3,3
1521454123,14,5
1521457733,6,5
1521461324,14,1
1521464956,1,2
1521468498,8,3
1521472136,0,4
1521475722,2,9
1521479307,7,0
1521482906,6,4
1521486760,2,0
1521490117,8,2
1521493740,0,5
1521497336,1,3
1521500943,1,2
1521504565,0,51
1521508138,9,2
1521511737,27,6
1521515288,29,1
1521518944,1,1
1521522533,0,2
1521526110,2,3
1521529765,1,33
1521533341,5,2
1521536933,20,3
1521540545,2,5
1521544153,0,5
1521547715,12,0
1521551347,3,8
1521554908,3,2
1521558547,1,0
1521562164,0,21
1521565725,13,5
1521569321,3,6
1521572967,2,2
1521576501,4,2
1521580131,2,34
1521583720,3,5
1521587363,6,6
1521590980,5,11
1521594536,52,3
1521598113,4,1
1521601715,4,2
1521605337,3,0
1521608944,6,15
1521612509,14,1
1521616147,0,7
1521619717,11,4
1521623325,2,3
1521626936,2,12
1521630524,7,0
1521634139,2,7
1521637706,12,0
1521641316,2,1
1521644962,3,15
1521648535,4,7
1521652129,1,25
1521655725,15,11
1521659355,4,5
1521662953,6,8
1521666515,14,1
1521670135,6,10
1521673717,7,7
1521677363,4,7
1521680942,7,8
1521684553,2,6
1521688136,0,16
1521691744,4,5
1521695318,8,6
1521698957,5,8
1521702506,24,0
1521706130,0,3
1521709719,17,5
1521713311,4,4
1521716919,6,10
1521720537,3,0
1521724157,7,18
1521727767,6,5
1521731343,11,4
1521734899,12,2
1521738516,12,10
1521742120,20,0
1521745757,1,2
1521749348,0,8
1521752921,3,19
1521756517,2,20
1521760115,7,4
1521763735,8,1
1521767310,25,1
1521770897,4,9
1521774521,2,7
1521778101,17,1
1521781698,5,4
1521785289,9,1
1521792536,0,2
1521796083,3,2
1521799691,2,19
1521803302,3,9
1521806906,14,1
1521810539,0,3
1521814099,14,1
1521817696,2,0
1521821319,1,1
1521828543,0,9
1521832104,7,15
1521835731,2,1
1521839314,3,25
1521842901,2,0
1521846495,20,19
1521850092,12,4
1521853694,18,3
1521857317,2,0
1521860903,5,3
1521864530,0,2
1521868114,3,27
1521871723,4,3
1521875308,11,12
1521878895,7,14
1521882494,16,5
1521886091,12,2
1521889702,7,2
1521893285,11,0
1521896900,2,3
1521900535,1,11
1521904103,2,7
1521907733,0,6
1521911285,13,7
1521914904,5,0
1521918488,6,2
1521922093,12,0
1521925703,0,3
1521929329,0,1
1521932910,0,10
1521936541,3,21
1521940127,5,7
1521943726,17,2
1521947321,9,1
1521950910,9,1
1521954532,1,1
1521958136,0,6
1521961708,4,8
1521965318,3,24
1521968915,6,5
1521972519,10,3
1521976115,3,16
1521979692,10,5
1521983302,16,3
1521986903,9,1
1521990522,4,0
1521994138,0,5
1521997708,5,6
1522001314,6,7
1522004882,2,6
1522008536,2,3
1522012106,12,4
1522015732,3,2
1522019354,0,5
1522022912,6,0
1522026543,1,38
1522030134,2,9
1522033701,11,0
1522037297,9,18
1522040897,1,3
1522044498,10,1
1522048091,25,4
1522051703,22,0
1522055345,0,1
1522058892,4,0
1522062506,1,2
1522066105,1,3
1522069735,1,0
1522073301,1,19
1522076914,5,12
1522080504,7,4
1522084113,12,2
1522087718,4,8
1522091307,5,0
1522094936,2,3
1522098490,7,13
1522102134,2,7
1522105718,3,15
1522109297,29,0
1522112904,5,3
1522116497,0,1
1522120146,0,4
1522123720,1,51
1522127334,10,9
1522130895,10,5
1522134531,4,2
1522138095,24,4
1522141763,2,2
1522145372,2,14
1522148954,7,1
1522152537,8,25
1522156141,5,1
1522159715,26,2
1522163324,19,5
1522166919,3,3
1522170504,5,1
1522174107,2,5
1522177749,0,10
1522181343,2,23
1522184909,20,13
1522188532,1,3
1522192132,16,0
1522195748,5,7
1522199351,0,7
1522202921,11,1
1522206523,18,8
1522210130,1,7
1522213723,7,1
1522217325,4,1
1522220930,2,9
1522224531,2,1
1522228109,18,1
1522231716,0,5
1522235316,5,2
1522238909,1,2
1522242518,2,3
1522246134,0,1
1522249737,2,5
1522253332,4,4
1522256926,2,20
1522260527,3,2
