DateTime,AddedIPs,RemovedIPs
1520946609,0,1
1520957413,0,1
1520968188,1,0
1520986190,10,0
1520989770,0,1
1520993385,1,0
1520997011,0,14
1521007798,0,1
1521058190,1,0
1521072571,15,1
1521083361,0,16
1521119386,1,0
1521133771,0,1
1521158997,11,0
1521169807,0,10
1521173381,0,1
1521245400,16,0
1521248980,1,1
1521252596,1,0
1521256199,1,11
1521270564,1,0
1521274154,1,1
1521277788,0,1
1521281424,1,1
1521284963,1,0
1521288563,0,2
1521292189,0,1
1521295817,2,0
1521299380,1,0
1521302973,0,1
1521306581,1,1
1521317420,1,0
1521320974,1,1
1521324581,0,1
1521328175,1,1
1521331788,13,0
1521335403,1,0
1521338991,0,1
1521342617,0,15
1521346193,1,1
1521349783,1,0
1521353377,1,0
1521356976,0,1
1521360628,0,1
1521364214,1,0
1521367814,0,1
1521371427,1,0
1521374993,1,0
1521382214,0,1
1521389386,1,1
1521392984,1,0
1521400212,0,1
1521403812,1,0
1521407386,1,1
1521414593,0,1
1521418233,6,1
1521421829,1,0
1521425408,0,1
1521429028,1,10
1521432636,1,1
1521450621,0,1
1521457819,1,0
1521465039,1,1
1521468583,1,1
1521472222,1,0
1521475818,0,1
1521482986,0,1
1521486846,1,0
1521497416,0,1
1521501026,1,0
1521504658,28,0
1521508224,1,1
1521515374,1,1
1521519029,1,16
1521522617,0,2
1521526193,1,1
1521529842,0,1
1521533425,1,1
1521537008,1,0
1521540625,1,1
1521544237,1,1
1521547798,0,1
1521551440,1,1
1521554985,1,1
1521565810,1,1
1521576581,1,1
1521583803,1,1
1521591069,21,0
1521594618,0,1
1521598199,1,0
1521601795,2,16
1521609022,1,0
1521612590,1,2
1521616231,1,2
1521619799,0,1
1521623407,2,0
1521630601,2,1
1521634230,1,1
1521637782,1,1
1521641397,2,1
1521645041,1,1
1521648617,1,1
1521652204,1,2
1521655801,2,1
1521659431,1,1
1521663036,1,2
1521666596,1,1
1521670217,1,1
1521673803,0,1
1521677447,16,1
1521684633,1,1
1521688218,1,6
1521691832,0,3
1521699036,2,1
1521702587,1,0
1521706209,1,0
1521709804,1,1
1521713394,1,1
1521717000,1,1
1521720622,1,2
1521724242,1,1
1521727853,1,1
1521731422,1,1
1521734976,0,1
1521738598,1,2
1521742208,2,1
1521745836,2,0
1521749433,1,1
1521753002,1,1
1521756610,1,1
1521760199,0,2
1521763805,11,0
1521767394,2,1
1521770984,1,1
1521774599,1,27
1521778179,1,1
1521781775,1,3
1521785364,1,0
1521788975,1,0
1521796158,2,2
1521803383,1,1
1521806983,2,1
1521810622,1,2
1521817784,2,1
1521821399,3,2
1521824966,0,1
1521828625,0,1
1521832182,1,0
1521835809,1,2
1521839394,2,0
1521846574,2,2
1521850166,20,0
1521853769,1,1
1521857393,1,2
1521860978,1,21
1521864613,1,1
1521868190,1,1
1521871805,1,2
1521875382,1,1
1521878972,2,0
1521882577,0,1
1521886162,0,1
1521889778,0,1
1521893361,2,1
1521896969,2,0
1521900612,0,1
1521904184,1,2
1521911359,1,1
1521918569,1,2
1521922171,2,2
1521925778,1,0
1521929408,1,1
1521932990,1,0
1521936621,18,2
1521943807,1,1
1521947405,0,9
1521950988,2,1
1521954621,2,0
1521958219,1,1
1521965398,2,2
1521968997,0,1
1521972598,1,1
1521976194,1,1
1521979774,2,0
1521983383,0,1
1521986983,0,1
1521990599,1,0
1521994216,2,0
1521997784,0,1
1522001394,0,1
1522004960,1,1
1522008614,0,1
1522012185,2,1
1522015811,1,2
1522019441,1,0
1522022989,10,2
1522026634,2,0
1522030220,2,2
1522033786,1,13
1522037379,0,1
1522040992,2,2
1522044587,1,1
1522048176,1,0
1522051798,0,1
1522058973,1,1
1522062585,2,1
1522066192,1,2
1522069820,1,1
1522073384,1,0
1522076999,0,1
1522080587,1,1
1522084198,2,1
1522087809,1,1
1522091389,1,2
1522095018,0,2
1522098569,1,1
1522102223,1,0
1522105798,1,1
1522109384,19,0
1522112990,2,1
1522116579,2,2
1522120234,1,20
1522123801,0,1
1522127418,1,2
1522130981,1,1
1522134624,2,1
1522138180,2,1
1522141850,2,2
1522145454,1,2
1522149025,2,0
1522152625,0,3
1522156226,2,1
1522163403,0,1
1522167000,0,1
1522170586,1,1
1522174190,1,1
1522177836,2,1
1522181423,2,1
1522184989,3,2
1522192217,2,2
1522195825,10,1
1522199447,1,3
1522203000,2,0
1522206609,2,21
1522210215,2,2
1522213815,1,4
1522221012,1,1
1522224616,1,1
1522228192,1,1
1522231795,2,2
1522235388,1,1
1522238989,3,1
1522242599,1,0
1522246219,1,1
1522249820,2,2
1522253413,2,2
1522257006,2,1
1522260611,1,3
1522264231,0,2
1522267820,2,1
1522271430,2,0
1522275031,1,3
1522278582,2,0
1522282258,12,1
1522285829,2,2
1522289449,1,3
1522293044,3,10
1522296638,2,2
1522300231,2,2
1522303868,2,2
1522307446,2,1
1522311057,1,2
1522314631,1,2
1522318237,3,0
1522321837,2,3
1522325447,0,2
1522329066,2,2
1522332671,2,0
1522336268,3,2
1522339847,1,3
1522343463,3,3
1522347048,2,3
1522350646,1,1
1522354258,3,2
1522357828,2,2
1522361438,2,1
1522365038,2,2
1522368662,18,2
1522372223,0,1
1522375834,1,3
1522379439,1,18
1522383028,0,2
1522386689,2,1
1522390259,1,1
1522393816,1,1
1522397408,1,1
1522401062,2,1
1522404661,1,1
1522411892,0,1
1522415396,2,3
1522419055,0,1
1522422600,6,1
1522426229,1,1
1522429839,2,2
1522433396,1,0
1522437019,0,1
1522440602,2,0
1522444228,2,2
1522447798,1,2
1522451421,1,1
1522455081,25,2
1522458650,2,1
1522462204,2,1
1522465820,2,16
1522469456,2,2
1522472986,1,3
1522476598,2,2
1522483847,1,2
1522487427,4,0
1522490991,3,1
1522494652,0,3
1522498217,1,1
1522501804,3,1
1522505453,2,2
1522509016,1,2
1522512612,2,3
1522516245,1,1
1522519793,2,2
1522523430,2,3
1522527031,1,2
1522530617,2,2
1522534246,4,2
1522537839,1,1
1522541440,22,1
1522545038,1,1
1522548599,1,3
1522552216,2,11
1522555836,1,2
1522559408,1,2
1522563023,2,2
1522566623,1,0
1522570230,1,1
1522573852,2,1
1522577422,0,3
1522581017,1,1
1522584621,1,1
1522588251,2,0
1522591818,0,2
1522595411,1,1
1522599019,1,2
1522602609,2,1
1522606206,2,1
1522609843,0,1
1522613404,2,1
1522617026,1,1
1522620590,2,2
1522624264,2,2
1522627845,12,2
1522631426,1,1
1522635040,2,1
1522638622,1,12
1522645810,0,1
1522653032,0,1
1522656622,1,0
1522660224,1,0
1522663851,1,1
1522667449,1,1
1522671040,1,2
1522674630,1,1
1522678221,0,1
1522681845,1,1
1522685431,3,0
1522688994,1,1
1522692597,0,1
1522696240,2,1
1522699826,1,3
1522703413,2,1
1522710611,0,1
1522714243,14,1
1522717798,2,1
1522721379,1,1
1522724985,2,23
1522728618,1,2
1522732160,1,0
1522735767,2,1
1522739419,0,2
1522742988,2,1
1522746589,1,3
1522750187,1,0
1522753806,0,1
1522757434,2,1
1522761003,1,1
1522764593,2,1
1522768201,1,1
1522771774,1,2
1522775418,2,2
1522778980,1,0
1522782583,1,1
1522786180,2,2
1522789790,1,1
1522793410,2,1
1522797022,1,0
1522800586,15,2
1522804188,1,2
1522807781,1,1
1522811425,1,22
1522815015,1,1
1522818593,1,1
1522825811,1,1
1522829410,2,1
1522832968,1,1
1522836611,0,2
1522840161,2,2
1522843813,1,1
1522847452,0,1
1522851007,2,1
1522858192,1,1
1522861810,2,1
1522865413,2,1
1522869004,2,1
1522872634,2,2
1522876167,0,2
1522879831,2,1
1522883370,2,2
1522887014,14,1
1522890619,3,2
1522894219,3,1
1522897794,2,17
1522901422,2,2
1522904986,1,2
1522908580,2,1
1522912231,1,3
1522915801,1,1
1522919395,1,1
1522922995,2,2
1522926627,2,2
1522930203,2,3
1522933815,1,2
1522937412,2,1
1522940980,1,0
1522944584,2,3
1522948192,2,2
1522951796,4,1
1522955403,1,1
1522959025,3,3
1522962616,2,3
1522966183,2,3
1522969788,1,2
1522973412,10,1
1522976983,2,1
1522980627,1,2
1522984192,2,18
1522987821,0,1
1522991409,2,2
1522994962,3,2
1522998631,2,1
1523002242,2,2
1523005777,3,2
1523009378,1,2
1523013017,3,1
1523016596,0,2
1523020229,3,2
1523023835,2,0
1523027372,1,3
1523030982,1,1
1523034602,1,3
1523038221,0,3
1523045434,1,0
1523049013,2,0
1523052607,1,2
1523056219,3,1
1523059827,13,1
1523063419,4,2
1523067012,2,0
1523070607,3,18
1523074181,1,1
1523077824,2,3
1523081412,3,1
1523084977,1,2
1523088591,0,1
1523092188,1,3
1523095807,2,3
1523099411,3,0
1523102993,2,0
1523106599,0,2
1523110230,1,3
1523113822,3,0
1523117386,2,1
1523121022,1,2
1523124634,0,2
1523128190,1,2
1523131819,1,0
1523135391,2,0
1523139027,1,1
1523142586,1,2
1523146224,12,4
1523149794,1,0
1523153435,0,2
1523157007,0,15
1523160600,1,1
