DateTime,AddedIPs,RemovedIPs
1447312301,0,1
1448402950,0,1
1448413818,1,0
1448461128,0,1
1448489889,1,0
1448554613,0,1
1448558248,1,0
1448641015,0,1
1448644663,1,0
1448702216,0,1
1448705798,1,0
1449047785,0,1
1449054978,1,0
1452813054,1,0
1452834634,0,1
1459807790,0,1
1472504973,1,0
1472512130,1,0
1476112106,0,2
1478524120,1,0
1478538529,0,1
1482541714,1,0
1482552521,0,1
1484500127,1,0
1486087722,0,1
1487956121,0,1
1489677073,1,0
1489810182,0,1
1501366199,0,0
1505426988,0,0
1505430595,0,0
1510215018,1,0
1512007787,0,1
