DateTime,Entries,UniqueIPs
1475739328,3614,3614
1475826352,3690,3690
1475913375,3771,3771
1476000399,3861,3861
1476087422,3981,3981
1476174445,4073,4073
1476261468,4193,4193
1476348490,4291,4291
1476435510,4391,4391
1476522532,4453,4453
1476609554,4537,4537
1476696576,4625,4625
1476783594,4725,4725
1476870616,4828,4828
1476957636,4898,4898
1477044658,4969,4969
1477131680,5061,5061
1477218700,5125,5125
1477305721,5215,5215
1477392442,5299,5299
1477479464,5393,5393
1477566486,5474,5474
1477653506,5545,5545
1477740525,1254,1254
1477827545,1396,1396
1477914567,1526,1526
1478001588,1664,1664
1478088610,1800,1800
1478175632,1931,1931
1478262653,2056,2056
1478349675,2200,2200
1478436696,2305,2305
1478523717,2413,2413
1478610740,2527,2527
1478697761,2633,2633
1478784782,2774,2774
1478871804,2881,2881
1478958825,2988,2988
1479045847,3114,3114
1479132868,3210,3210
1479219891,3311,3311
1479306913,3425,3425
1479393934,3541,3541
1479480955,3642,3642
1479567977,3749,3749
1479654697,3839,3839
1479742019,3949,3949
1479829041,4142,4142
1479916064,4239,4239
1480003085,4351,4351
1480090106,4424,4424
1480177128,4509,4509
1480264149,4616,4616
1480351169,4711,4711
1480438189,4802,4802
1480525211,4886,4886
1480612230,4985,4985
1480698952,5092,5092
1480785974,5168,5168
1480872996,5243,5243
1480960018,5317,5317
1481047040,5418,5418
1481134062,5505,5505
1481221084,5609,5609
1481307806,5700,5700
1481394825,5790,5790
1481481846,5891,5891
1481568867,5969,5969
1481655887,6035,6035
1481742909,6113,6113
1481830230,6196,6196
1481917252,6288,6288
1482004274,6367,6367
1482090996,6438,6438
1482178018,6505,6505
1482265039,6586,6586
1482352058,6652,6652
1482439080,6721,6721
1482526100,6797,6797
1482613120,6870,6870
1482700140,6945,6945
1482787161,7058,7058
1482874183,7145,7145
1482961203,7257,7257
1483048224,7390,7390
1483135246,7508,7508
1483222266,7594,7594
1483309288,7682,7682
1483396309,7778,7778
1483483330,7883,7883
1483570052,7997,7997
1483657074,8081,8081
1483744094,8191,8191
1483831116,1386,1386
1483918137,1560,1560
1484005157,1731,1731
1484092178,1926,1926
1484179198,2098,2098
1484266219,2280,2280
1484353240,2429,2429
1484440261,2565,2565
1484527280,2703,2703
1484614301,2854,2854
1484701453,3061,3061
1484788473,3206,3206
1484875194,3323,3323
1484962212,3398,3398
1485048932,3477,3477
1485135953,3556,3556
1485222974,3628,3628
1485309996,3717,3717
1485397017,3818,3818
1485484038,3923,3923
1485571059,4036,4036
1485658081,4132,4132
1485745102,4232,4232
1485831821,4336,4336
1485919142,4424,4424
1486006163,4519,4519
1486093185,4618,4618
1486180206,4696,4696
1486267226,4761,4761
1486354247,4841,4841
1486441268,4915,4915
1486528289,4990,4990
1486615311,5074,5074
1486702332,5181,5181
1486789354,5279,5279
1486876376,5351,5351
1486963397,5429,5429
1487050416,5507,5507
1487137439,5594,5594
1487224459,5669,5669
1487311179,5728,5728
1487398201,5811,5811
1487485221,5890,5890
1487572241,5967,5967
1487659261,6053,6053
1487746282,6122,6122
1487833303,6182,6182
1487920324,6248,6248
1488007345,6340,6340
1488094065,6439,6439
1488181085,6554,6554
1488267805,6666,6666
1488354828,6776,6776
1488441849,6893,6893
1488528871,7017,7017
1488615892,7118,7118
1488702914,7242,7242
1488789936,7361,7361
1488876957,7489,7489
1488963979,7596,7596
1489050700,7704,7704
1489137720,7810,7810
1489224740,7915,7915
1489311760,8015,8015
1489398780,8110,8110
1489485802,8244,8244
1489572822,8381,8381
1489659842,8479,8479
1489746864,8565,8565
1489833886,8664,8664
1489920907,8771,8771
1490007928,8871,8871
1490094950,8989,8989
1490181971,9112,9112
1490268992,9216,9216
1490356013,9328,9328
1490443035,9433,9433
1490530057,9543,9543
1490617078,9653,9653
1490704100,49,49
1490791120,1649,1649
1490878140,1773,1773
1490918371,5574,5574
1494489606,1654,1654
1494576005,1833,1833
1494662406,2057,2057
1494748807,2275,2275
1494835205,2461,2461
1494921605,2657,2657
