DateTime,Entries,UniqueIPs
1478544495,8411,8411
1478631681,8285,8285
1478718771,8096,8096
1478805871,7920,7920
1478892986,7704,7704
1478980141,7552,7552
1479067272,7467,7467
1479154360,7369,7369
1479241481,9545,9545
1479328594,9519,9519
1479415725,10150,10150
1479502871,11509,11509
1479589962,11559,11559
1479677059,11512,11512
1479764183,10747,10747
1479851309,10919,10919
1479938480,10865,10865
1480025562,10793,10793
1480112668,10609,10609
1480199791,10480,10480
1480286908,10425,10425
1480374094,10390,10390
1480461144,10366,10366
1480548260,10309,10309
1480635402,10284,10284
1480722503,10241,10241
1480809707,10160,10160
1480896753,10084,10084
1480984265,10065,10065
1481071616,10036,10036
1481158733,10070,10070
1481245970,10066,10066
1481333054,10073,10073
1481420193,9918,9918
1481507294,9958,9958
1481594495,10092,10092
1481681557,10882,10882
1481768671,10974,10974
1481855792,10703,10703
1481942908,9610,9610
1482030088,9568,9568
1482117149,9546,9546
1482204275,9452,9452
1482291393,9456,9456
1482378517,9518,9518
1482465735,9492,9492
1482552775,9482,9482
1482639857,9468,9468
1482726983,9459,9459
1482814122,9427,9427
1482901317,9424,9424
1482988353,9124,9124
1483075451,9106,9106
1483162607,9084,9084
1483249717,9050,9050
1483336896,9020,9020
1483423957,9006,9006
1483511052,9080,9080
1483598186,9082,9082
1483685303,9071,9071
1483772512,9061,9061
1483859784,9028,9028
1483946905,8967,8967
1484034039,9780,9780
1484121152,9950,9950
1484208537,9737,9737
1484295629,9605,9605
1484382766,9451,9451
1484469861,9360,9360
1484556998,9292,9292
1484644122,9280,9280
1484731488,8470,8470
1484818576,8432,8432
1484905705,8404,8404
1484992906,8267,8267
1485080316,8245,8245
1485167336,8217,8217
1485254475,8200,8200
1485341582,8177,8177
1485428929,8170,8170
1485516039,8157,8157
1485603139,8152,8152
1485690264,7415,7415
1485777393,7403,7403
1485864542,7400,7400
1485951671,7397,7397
1486038781,7382,7382
1486125862,7333,7333
1486212988,7318,7318
1486300145,7242,7242
1486387477,7234,7234
1486474594,7231,7231
1486561705,7197,7197
1486648885,7156,7156
1486735969,7145,7145
1486823095,6865,6865
1486910190,6771,6771
1486997479,6751,6751
1487084528,6752,6752
1487171553,6762,6762
1487258674,5830,5830
1487345798,5859,5859
1487433085,5827,5827
1487520111,6150,6150
1487607167,6134,6134
1487694256,6227,6227
1487781388,6845,6845
1487868496,6841,6841
1487955590,6621,6621
1488042769,6612,6612
1488129859,6591,6591
1488217028,7498,7498
1488304098,7503,7503
1488391315,7485,7485
1488478358,7483,7483
1488565479,7471,7471
1488696287,7446,7446
1488783401,7450,7450
1488870527,7481,7481
1488957625,7499,7499
1489044747,7528,7528
1489131877,7563,7563
1489218986,7583,7583
1489306110,7583,7583
1489393229,7567,7567
1489480355,7682,7682
1489567472,7695,7695
1489654592,7698,7698
1489741706,7701,7701
1489828835,7695,7695
1489915984,7658,7658
1490003053,8785,8785
1490090233,8808,8808
1490177312,8587,8587
1490264432,7540,7540
1490351555,6697,6697
1490438662,6742,6742
1490525818,6735,6735
1490612920,6874,6874
1490700048,7974,7974
1490787137,7972,7972
1490874265,7601,7601
1490961399,7599,7599
1491048544,7598,7598
1491135631,7567,7567
1491222765,7569,7569
1491309859,7435,7435
1491396987,7471,7471
1491484138,7461,7461
1491571289,7455,7455
1491658633,7430,7430
1491745728,7414,7414
1491833031,7403,7403
1491920196,7671,7671
1492007315,7732,7732
1492094431,8328,8328
1492181555,8290,8290
1492268968,8299,8299
1492356044,8295,8295
1492443161,8701,8701
1492530269,8713,8713
1492617390,7221,7221
1492704505,7194,7194
1492791641,7190,7190
1492878754,7150,7150
1492965875,7054,7054
1493052999,7092,7092
1493140121,7111,7111
1493227261,7106,7106
1493314755,7058,7058
1493401952,6750,6750
1493489079,6608,6608
1493576186,6599,6599
1493663322,6814,6814
1493750407,6821,6821
1493837575,6810,6810
1493924687,7306,7306
1494011785,7226,7226
1494098903,7215,7215
