DateTime,AddedIPs,RemovedIPs
1511425722,12,4
1511447564,11,4
1511469611,7,16
1511491470,7,5
1511513565,10,7
1511535661,8,8
1511557726,11,67
1511579572,4,6
1511601615,4,3
1511623485,21,8
1511645555,2,5
1511667629,3,4
1511689475,5,42
1511711686,14,3
1511733874,84,9
1511755719,5,6
1511777560,8,4
1511799629,2,4
1511821725,4,6
1511843806,4,8
1511865876,8,4
1511887953,4,1
1511909992,4,15
1511932115,9,3
1511953962,10,19
1511976034,8,3
1511998706,76,13
1512020692,3,12
1512042789,4,16
1512075913,5,10
1512098200,432,9
1512120251,4,12
1512142205,2,7
1512164241,5,5
1512186279,6,4
1512208341,2,14
1512241630,8,10
1512263539,6,4
1512285437,3,3
1512307347,19,2
1512330378,4,41
1512352353,5,2
1512374196,5,3
1512396136,10,7
1512418125,6,2
1512440182,6,7
1512462024,2,5
1512484068,4,9
1512506210,6,5
1512528516,4,7
1512550589,3,6
1512584986,15,10
1512606974,2,103
1512629058,1,6
1512650922,2,6
1512673101,5,8
1512695328,5,4
1512717389,5,423
1512739379,5,5
1512761308,5,4
1512783167,11,3
1512805311,0,3
1512827326,3,2
1512849390,856,4
1512871493,2,5
1512893556,3,5
1512915680,1,4
1512937964,2,21
1512959812,2,9
1512981860,5,2
1513003952,9,18
1513026253,34,14
1513048143,36,2
1513070180,51,3
1513092258,10,1
1513114124,5,5
1513136200,2,5
1513158272,6,2
1513180113,5,17
1513202201,4,1
1513224273,15,2
1513257626,8,5
1513279469,1,2
1513301564,6,7
1513323617,5,5
1513345704,4,2
1513367827,4,4
1513389876,3,2
1513411986,7,2
1513434049,0,2
1513456115,5,862
1513477992,5,6
1513500015,4,1
1513521867,8,4
1513543952,11,3
1513565802,23,6
1513588142,12,5
1513610002,8,5
1513632038,8,33
1513654099,3,42
1513675960,4,2
1513697871,5,4
1513719894,2,2
1513741962,4,2
1513775422,4,14
1513808618,5,4
1513830506,3,14
1513852604,7,6
1513874660,4,3
1513897343,6,23
1513919304,4,0
1513941415,3,4
1513963537,5,3
1513985810,0,10
1514007879,4,10
1514029928,1,6
1514051839,4,9
1514073715,3,3
1514095960,7,4
1514117883,1,4
1514139863,8,6
1514161723,9,5
1514183892,5,6
1514205850,4,13
1514227959,22,42
1514249914,3,36
1514271879,5,4
1514293728,3,3
1514315797,1,7
1514337765,2,11
1514359749,31,8
1514382035,17,23
1514404123,5,7
1514425977,2,1
1514448081,1,4
1514469945,6,6
1514491954,2,5
1514514022,4,6
1514535869,3,2
1514557779,7,2
1514579795,3,3
1514602003,6,3
1514623954,5,1
1514646156,5,4
1514668033,6,4
1514689972,6,2
1514712095,4,3
1514734283,4,2
1514756232,13,10
1514778280,11,3
1514800211,1,6
1514822203,1101,20
1514844305,1,1
1514866368,3,5
1514888462,1,5
1514910500,4,2
1514932466,19,3
1514954346,6,8
1514976368,3,21
1514998598,2,8
1515154179,139,26
1515176221,2100,6
1515198261,14,7
1515220525,3,3
1515242654,56,3
1515264498,1024,3
1515286586,59,3
1515308461,0,4
1515330500,4,8
1515352603,21,11
1515374802,67,4
1515396761,3,4
1515418720,1,537
1515440661,1,1
1515463091,1,2
1515485052,4,5
1515507170,1,3
1515529054,2158,4
1515551064,658,6
1515573168,2,1
1515595225,2,2
1515617268,1,2
1515639164,8,34
1515661272,3,2
1515683299,0,4
1515705425,3,3
1515727709,10,1
1515749802,1,4
1515771869,0,1521
1515793951,3,5
1515816138,4,6
1515838389,1,48
1515860448,211,1093
1515882819,22,2
1515904950,46,63
1515927157,22,0
1515949325,10,6
1515971646,4,61
1515994007,7,5
1516015980,5,2
1516038022,64,2
1516059890,7,2
1516081968,1,3
1516103815,7,2
1516125903,4,923
1516148054,3,1
1516170191,2,2
1516192116,12,4
1516214108,7,1
1516236331,5,2
1516258300,2,7
1516280166,4,2
1516302280,1063,4
1516324562,98,1
1516346685,6,2
1516368525,3,0
1516390368,127,3
1516412438,6,23
1516434507,0,2
1516456368,1,142
1516478212,2,10
1516500264,2,16
1516522374,2,5
1516544443,1,8
1516566506,5,7
1516588840,6,10
1516610925,3,2
1516632978,3,6
1516665872,9,64
1516687727,3,4
1516709800,5,6
1516731859,6,11
1516753941,8,4
1516775804,1,3
1516797863,2,14
1516819722,1,5
1516841799,3,5
1516874677,4,6
