DateTime,AddedIPs,RemovedIPs
1517565457,0,4
1517567298,0,1
1517577630,0,2
1517589422,0,1
1517602830,1,0
1517604737,0,1
1517616738,0,1
1517641937,1,0
1517645790,9,0
1517660677,1,0
1517664520,1,0
1517678340,1,0
1517690183,0,1
1517698360,1,0
1517728124,0,1
1517731962,0,6
1517733879,0,3
1517741776,1,0
1517745678,0,1
1517762926,0,1
1517765056,0,1
1517776035,2,0
1517783662,0,1
1517805645,1,0
1517825973,3,0
1517828040,0,1
1517850272,1,0
1517862754,0,1
1517864664,1,0
1517868503,1,0
1517887574,1,0
1517893298,0,1
1517899090,1,0
1517910650,1,0
1517912650,0,3
1517921554,1,0
1517936484,0,1
1517944355,1,0
1517946269,2,0
1517950114,0,1
1517955864,0,1
1517973145,1,0
1517975082,0,1
1517984662,0,1
1517997143,0,1
1518007704,0,1
1518026908,1,0
1518031003,0,2
1518032904,0,1
1518042494,4,0
1518059073,0,1
1518064776,1,0
1518099314,1,0
1518109282,1,0
1518111186,1,0
1518113075,0,1
1518114982,1,0
1518128922,1,4
1518144971,1,0
1518151024,0,1
1518171385,1,0
1518179342,1,0
1518186471,1,1
1518195366,0,1
1518197562,0,1
1518199488,1,0
1518201676,0,1
1518215297,0,1
1518219643,1,0
1518229474,1,0
1518231383,0,1
1518244357,1,0
1518258022,0,1
1518265701,0,1
1518271723,0,1
1518287840,0,1
1518295491,1,0
1518297399,1,0
1518305995,0,1
1518315904,0,1
1518317801,7,0
1518329805,0,1
1518355969,1,0
1518367715,2,0
1518373773,0,1
1518375678,1,0
1518379955,1,0
1518382134,0,1
1518384038,0,1
1518391312,1,0
1518403468,0,3
1518405394,1,4
1518443076,0,1
1518455066,1,2
1518460947,0,1
1518466593,0,1
1518477412,1,1
1518489618,1,0
1518491560,1,1
1518501130,1,0
1518503074,1,0
1518509915,1,0
1518530342,1,0
1518542212,0,1
1518553715,1,0
1518557795,1,0
1518559706,1,0
1518563796,0,1
1518573395,1,0
1518575354,0,1
1518577826,0,1
1518581757,1,0
1518583689,1,0
1518587559,2,1
1518589418,0,1
1518591681,4,0
1518595694,0,1
1518607464,1,0
1518616643,0,1
1518636198,1,0
1518640178,0,1
1518644159,0,1
1518646356,0,1
1518650918,1,0
1518655018,2,0
1518659080,0,1
1518667272,0,1
1518671324,0,1
1518673489,41,1
1518675403,2,1
1518677569,0,4
1518693163,0,1
1518722656,0,1
1518724607,1,0
1518735389,0,1
