DateTime,Entries,UniqueIPs
1517565457,6,6
1517567298,5,5
1517577630,3,3
1517589422,2,2
1517602830,3,3
1517604737,2,2
1517616738,1,1
1517641937,2,2
1517645790,11,11
1517660677,12,12
1517664520,13,13
1517678340,14,14
1517690183,13,13
1517698360,14,14
1517728124,13,13
1517731962,7,7
1517733879,4,4
1517741776,5,5
1517745678,4,4
1517762926,3,3
1517765056,2,2
1517776035,4,4
1517783662,3,3
1517805645,4,4
1517825973,7,7
1517828040,6,6
1517850272,7,7
1517862754,6,6
1517864664,7,7
1517868503,8,8
1517887574,9,9
1517893298,8,8
1517899090,9,9
1517910650,10,10
1517912650,7,7
1517921554,8,8
1517936484,7,7
1517944355,8,8
1517946269,10,10
1517950114,9,9
1517955864,8,8
1517973145,9,9
1517975082,8,8
1517984662,7,7
1517997143,6,6
1518007704,5,5
1518026908,6,6
1518031003,4,4
1518032904,3,3
1518042494,7,7
1518059073,6,6
1518064776,7,7
1518099314,8,8
1518109282,9,9
1518111186,10,10
1518113075,9,9
1518114982,10,10
1518128922,7,7
1518144971,8,8
1518151024,7,7
1518171385,8,8
1518179342,9,9
1518186471,9,9
1518195366,8,8
1518197562,7,7
1518199488,8,8
1518201676,7,7
1518215297,6,6
1518219643,7,7
1518229474,8,8
1518231383,7,7
1518244357,8,8
1518258022,7,7
1518265701,6,6
1518271723,5,5
1518287840,4,4
1518295491,5,5
1518297399,6,6
1518305995,5,5
1518315904,4,4
1518317801,11,11
1518329805,10,10
1518355969,11,11
1518367715,13,13
1518373773,12,12
1518375678,13,13
1518379955,14,14
1518382134,13,13
1518384038,12,12
1518391312,13,13
1518403468,10,10
1518405394,7,7
1518443076,6,6
1518455066,5,5
1518460947,4,4
1518466593,3,3
1518477412,3,3
1518489618,4,4
1518491560,4,4
1518501130,5,5
1518503074,6,6
1518509915,7,7
1518530342,8,8
1518542212,7,7
1518553715,8,8
1518557795,9,9
1518559706,10,10
1518563796,9,9
1518573395,10,10
1518575354,9,9
1518577826,8,8
1518581757,9,9
1518583689,10,10
1518587559,11,11
1518589418,10,10
1518591681,14,14
1518595694,13,13
1518607464,14,14
1518616643,13,13
1518636198,14,14
1518640178,13,13
1518644159,12,12
1518646356,11,11
1518650918,12,12
1518655018,14,14
1518659080,13,13
1518667272,12,12
1518671324,11,11
1518673489,51,51
1518675403,52,52
1518677569,48,48
1518693163,47,47
1518722656,46,46
1518724607,47,47
1518735389,46,46
1518739903,45,45
1518741863,44,44
1518754126,45,45
1518760123,3,3
1518762038,2,2
1518781698,4,4
1518798751,5,5
1518810983,4,4
1518833340,5,5
1518835253,6,6
1518839351,5,5
1518841352,6,6
1518868434,4,4
1518872683,5,5
1518874580,6,6
1518886073,5,5
1518888010,6,6
1518904126,7,7
1518918764,6,6
1518920654,7,7
1518923810,6,6
1518957623,7,7
1518959556,5,5
1518962563,5,5
1518974442,4,4
1518982601,6,6
1518984497,10,10
1518990287,9,9
1518998679,10,10
1519006355,10,10
1519029390,11,11
1519035393,12,12
1519042949,11,11
1519047407,10,10
1519069259,8,8
1519078263,7,7
1519084355,8,8
1519086528,8,8
1519094199,9,9
1519100199,10,10
1519125316,4,4
1519144648,5,5
1519171298,4,4
1519173178,3,3
1519177033,5,5
1519192996,6,6
1519201248,7,7
1519231644,6,6
1519244922,7,7
1519250664,6,6
1519262191,5,5
1519264053,6,6
1519266008,8,8
1519273934,9,9
1519279923,8,8
1519284053,9,9
1519291322,10,10
1519295192,11,11
1519301125,45,45
1519313079,46,46
1519331377,45,45
1519339561,46,46
1519345468,45,45
1519349344,46,46
1519352183,44,44
1519354123,43,43
1519359859,42,42
1519377643,41,41
1519381479,40,40
1519387270,8,8
1519389367,5,5
1519391291,6,6
1519397069,7,7
1519398972,6,6
1519410998,7,7
1519426290,6,6
1519434277,5,5
1519436200,6,6
1519455880,5,5
1519465946,6,6
1519476036,5,5
1519484172,4,4
1519490910,5,5
1519496560,4,4
1519521287,5,5
1519523298,4,4
1519529306,3,3
1519550667,2,2
1519558569,3,3
1519564226,4,4
1519576030,3,3
1519607310,2,2
1519617141,3,3
1519620977,4,4
1519625794,5,5
1519644019,4,4
1519649777,3,3
1519652013,4,4
1519687463,5,5
1519695387,6,6
1519703065,7,7
1519706896,8,8
1519708841,7,7
1519712656,6,6
1519734038,7,7
1519737877,6,6
1519751191,5,5
1519774332,4,4
1519776526,5,5
1519778436,6,6
1519780358,6,6
1519786127,7,7
1519788038,6,6
1519793798,5,5
1519797671,6,6
1519801726,7,7
1519820896,6,6
1519834595,7,7
1519851404,8,8
1519862103,7,7
1519864118,6,6
1519867038,5,5
1519872754,4,4
1519880910,5,5
1519882826,4,4
1519888586,3,3
1519921265,2,2
1519938749,1,1
1519946435,2,2
1519948366,3,3
1519965880,2,2
1519983388,3,3
1519997790,4,4
1520001852,5,5
1520017265,7,7
1520019162,9,9
1520021066,10,10
