DateTime,Entries,UniqueIPs
1519242747,20,20
1519244922,18,18
1519248748,18,18
1519250665,17,17
1519254742,19,19
1519256925,18,18
1519262192,17,17
1519264054,18,18
1519266009,17,17
1519273934,18,18
1519288103,20,20
1519291322,20,20
1519296994,20,20
1519301126,21,21
1519302979,22,22
1519309009,23,23
1519311172,23,23
1519315310,24,24
1519317336,23,23
1519327474,22,22
1519333300,23,23
1519347400,24,24
1519349344,23,23
1519352184,24,24
1519356016,25,25
1519357962,26,26
1519362096,25,25
1519367783,17,17
1519369727,18,18
1519375697,15,15
1519387273,14,14
1519389368,13,13
1519391292,14,14
1519398973,15,15
1519400962,14,14
1519410999,13,13
1519421086,11,11
1519426291,10,10
1519434277,8,8
1519443860,6,6
1519455881,5,5
1519478204,4,4
1519484172,6,6
1519486445,5,5
1519496561,6,6
1519498577,5,5
1519515369,4,4
1519517458,5,5
1519562410,6,6
1519570089,4,4
1519573712,6,6
1519578081,7,7
1519581965,7,7
1519584038,8,8
1519586204,10,10
1519588125,9,9
1519594087,10,10
1519601083,12,12
1519613298,13,13
1519624868,14,14
1519640187,15,15
1519642099,16,16
1519647860,17,17
1519649777,16,16
1519653863,17,17
1519660091,16,16
1519669928,14,14
1519671854,11,11
1519680426,10,10
1519687463,9,9
1519697312,8,8
1519699215,71,71
1519701155,70,70
1519717705,71,71
1519725675,70,70
1519727918,70,70
1519729734,69,69
1519735872,68,68
1519741719,68,68
1519748850,69,69
1519756829,70,70
1519762591,71,71
1519772105,72,72
1519784204,73,73
1519786127,10,10
1519789960,9,9
1519795718,11,11
1519797671,12,12
1519799788,15,15
1519803636,14,14
1519815147,13,13
1519817066,14,14
1519828590,13,13
1519834595,14,14
1519840347,15,15
1519842511,14,14
1519847591,13,13
1519860137,14,14
1519872754,13,13
1519876616,14,14
1519880910,13,13
1519882826,11,11
1519884744,12,12
1519886675,10,10
1519888586,12,12
1519898184,13,13
1519902075,12,12
1519903950,13,13
1519917408,13,13
1519923218,12,12
1519926969,12,12
1519934902,13,13
1519938749,13,13
1519946435,11,11
1519963944,10,10
1519965880,11,11
1519971645,10,10
1519973540,9,9
1519975460,9,9
1519979548,10,10
1519983388,10,10
1519993958,11,11
1519999855,13,13
1520003769,13,13
1520013380,12,12
1520015310,11,11
1520021067,10,10
1520022973,11,11
1520024924,10,10
1520049392,11,11
1520053295,12,12
1520060922,13,13
1520064794,12,12
1520070557,11,11
1520080424,10,10
1520082324,11,11
1520086181,10,10
1520088035,10,10
1520089960,9,9
1520094051,10,10
1520099795,11,11
1520107481,12,12
1520111323,13,13
1520119001,14,14
1520129797,15,15
1520135553,14,14
1520139393,13,13
1520147297,11,11
1520151160,12,12
1520168467,11,11
1520170357,10,10
1520172292,9,9
1520174200,8,8
1520180211,7,7
1520193883,6,6
1520197705,5,5
1520206361,4,4
1520214324,5,5
1520216222,4,4
1520221967,5,5
1520225834,6,6
1520227733,7,7
1520235666,8,8
1520237611,7,7
1520254887,6,6
1520264698,7,7
1520296572,9,9
1520300476,8,8
1520308164,7,7
1520311992,6,6
1520319769,7,7
1520323962,6,6
1520325872,8,8
1520333557,7,7
1520339324,7,7
1520341281,8,8
1520343162,9,9
1520349151,10,10
1520351082,9,9
1520383471,8,8
1520405550,7,7
1520407463,8,8
1520411305,7,7
1520413276,7,7
1520424996,8,8
1520428826,7,7
1520436505,6,6
1520463861,5,5
1520469942,7,7
1520472073,6,6
1520489418,7,7
1520491294,8,8
1520493297,7,7
1520495310,8,8
1520499462,7,7
1520503885,8,8
1520505862,10,10
1520509951,11,11
1520511877,10,10
1520533942,11,11
1520549306,13,13
1520551232,14,14
1520555076,12,12
1520567689,14,14
1520575309,13,13
1520579135,12,12
1520590891,11,11
1520594785,12,12
1520596623,12,12
1520617233,11,11
1520621084,10,10
1520624900,11,11
1520630666,12,12
1520632595,14,14
1520635551,13,13
1520639434,12,12
1520653208,11,11
1520661154,12,12
1520688991,15,15
1520696675,14,14
1520700506,15,15
1520704344,17,17
1520711307,16,16
1520717060,15,15
1520718885,13,13
1520720696,12,12
1520722634,13,13
1520726916,15,15
1520736998,16,16
1520740877,15,15
1520746584,14,14
1520754502,15,15
1520764106,16,16
1520768189,17,17
1520770123,18,18
1520773961,17,17
1520776227,16,16
1520785967,15,15
1520791730,13,13
1520796040,14,14
1520809472,13,13
1520813558,12,12
1520823158,11,11
1520849326,10,10
1520851266,10,10
1520855154,8,8
1520859078,9,9
1520861062,8,8
1520865211,9,9
1520877397,9,9
1520881453,8,8
1520885292,9,9
1520889872,8,8
1520892099,9,9
1520893960,10,10
1520900190,11,11
1520905965,12,12
1520910078,13,13
1520916024,14,14
1520921782,13,13
1520929492,14,14
1520933299,13,13
1520937148,13,13
1520944825,14,14
1520946747,13,13
1520952518,12,12
1520964062,11,11
1520966030,13,13
1520968126,14,14
1520970267,15,15
1520974355,16,16
1520976271,18,18
1520978178,18,18
1520982081,17,17
1520993548,16,16
1520995456,16,16
1520997383,17,17
1520999297,18,18
1521001223,18,18
1521015863,16,16
1521022718,17,17
1521024523,16,16
1521047483,17,17
1521053304,15,15
1521056982,13,13
1521058917,15,15
1521060756,14,14
1521062821,12,12
1521064877,11,11
1521078740,12,12
1521080690,12,12
1521082558,11,11
1521086359,9,9
1521088333,8,8
1521097856,9,9
1521109458,8,8
1521116509,9,9
1521118593,8,8
1521120959,9,9
1521125005,10,10
1521144745,8,8
1521150501,9,9
1521161555,8,8
1521163454,7,7
1521167287,6,6
1521176907,8,8
1521182664,7,7
1521190572,8,8
1521199471,10,10
1521201475,9,9
1521205266,8,8
1521212895,7,7
1521218907,6,6
1521224673,8,8
1521226589,9,9
1521234277,10,10
1521236197,9,9
1521238124,10,10
1521247490,11,11
1521261300,12,12
1521263290,10,10
1521272733,11,11
1521276556,10,10
1521278429,11,11
1521286093,10,10
1521311186,9,9
1521313113,9,9
1521315036,10,10
1521316970,11,11
1521318884,12,12
1521325002,11,11
1521334570,10,10
1521348284,9,9
1521350183,10,10
1521356071,11,11
1521360266,12,12
1521364120,11,11
1521367944,10,10
1521369868,11,11
1521371785,10,10
1521377573,11,11
1521381374,13,13
1521383306,14,14
1521398676,15,15
1521400602,14,14
1521402739,13,13
1521406577,12,12
1521413730,13,13
1521423631,14,14
1521429392,15,15
1521431417,16,16
1521443077,15,15
1521446901,14,14
1521450990,13,13
1521452918,14,14
1521462500,15,15
1521464491,15,15
1521468282,13,13
1521483898,12,12
1521485782,11,11
1521487746,12,12
1521500505,11,11
1521508337,12,12
1521510265,11,11
1521516489,8,8
1521526234,7,7
1521532096,8,8
1521533921,9,9
1521539767,8,8
1521547728,7,7
1521549639,5,5
1521551564,4,4
1521573275,4,4
1521589252,5,5
1521595376,4,4
1521603399,6,6
1521607139,7,7
1521618593,7,7
1521620438,7,7
1521626369,8,8
1521641651,9,9
1521658984,8,8
1521662889,9,9
1521675578,8,8
1521689568,8,8
1521691474,9,9
1521693621,8,8
1521703630,8,8
1521713780,7,7
1521719787,8,8
1521723685,9,9
1521727483,8,8
1521733238,9,9
1521746916,7,7
1521750139,6,6
1521760088,8,8
1521766105,10,10
1521768026,11,11
1521775703,11,11
1521777701,10,10
1521785401,11,11
1521789233,10,10
1521793138,11,11
1521801870,12,12
1521803772,13,13
1521807881,12,12
1521809784,11,11
1521821079,10,10
1521836668,11,11
1521845707,11,11
1521851779,10,10
1521853704,9,9
1521855861,8,8
1521861608,8,8
1521871467,7,7
1521879381,7,7
1521888983,8,8
1521890902,7,7
1521892917,8,8
1521894743,9,9
1521908197,10,10
1521910105,11,11
1521918979,12,12
1521920900,13,13
1521923443,13,13
1521926200,15,15
1521928324,14,14
1521930262,13,13
1521933394,13,13
1521947925,12,12
1521962905,13,13
1521967716,13,13
1521976347,12,12
1521984804,11,11
1521986835,12,12
1521990574,11,11
1521994409,12,12
1521996253,11,11
1522005719,10,10
1522008763,9,9
1522011671,7,7
1522013843,8,8
1522017904,7,7
1522023631,9,9
1522031312,12,12
1522046919,11,11
1522054588,11,11
1522056547,12,12
1522065140,13,13
1522068929,15,15
1522080858,13,13
1522084600,12,12
1522086518,13,13
1522088421,14,14
1522090356,15,15
1522094198,16,16
1522096105,15,15
1522100290,14,14
1522104525,15,15
1522112238,15,15
1522116279,14,14
1522118173,13,13
1522125878,12,12
1522127800,13,13
1522131854,12,12
1522141471,13,13
1522143397,11,11
1522147938,12,12
1522152115,12,12
1522154150,12,12
1522156089,12,12
1522166210,16,16
1522170089,17,17
1522171950,16,16
1522175784,16,16
1522177721,17,17
1522179629,18,18
1522181560,19,19
1522185395,20,20
1522192676,21,21
1522196780,20,20
1522198586,21,21
1522203629,22,22
1522215488,22,22
1522219703,23,23
1522226692,24,24
1522237246,25,25
1522244675,24,24
1522247820,23,23
1522251620,22,22
1522253617,19,19
1522276482,11,11
1522278328,10,10
1522282516,9,9
1522286688,8,8
1522292433,7,7
1522303953,6,6
1522315472,4,4
1522319305,1,1
1522321172,0,0
