DateTime,AddedIPs,RemovedIPs
1516123470,1,0
1516171722,0,1
1516203524,1,0
1516207651,1,1
1516209631,0,1
1516290742,0,1
1516292987,0,1
1516299205,1,0
1516362296,1,0
1516373496,1,0
1516386999,0,1
1516416746,1,0
1516447156,0,1
1516459022,0,1
1516476284,1,0
1516494984,1,0
1516502668,0,1
1516551180,1,0
1516554994,1,0
1516562688,0,1
1516570355,1,0
1516582597,0,1
1516590278,1,0
1516592193,1,0
1516596016,2,0
1516599877,2,0
1516609472,2,0
1516611387,5,0
1516615279,1,0
1516619232,1,0
1516621210,1,0
1516624838,1,0
1516626736,1,0
1516632528,1,0
1516634418,4,0
1516636363,0,1
1516638527,2,0
1516640480,0,1
1516644268,1,0
1516648129,2,0
1516653874,1,0
1516656609,1,1
1516660364,1,0
1516675704,0,1
1516677655,0,1
1516679539,1,0
1516681473,0,2
1516685304,0,1
1516687294,0,1
1516696821,0,4
1516698751,0,3
1516700687,0,1
1516706431,0,1
1516708341,0,1
1516712172,0,2
1516720108,0,1
1516722034,0,3
1516723959,0,1
1516725884,0,1
1516730754,0,1
1516734765,0,2
1516740530,0,1
1516742488,0,1
1516746300,0,1
1516754676,0,1
1516764277,0,1
1516776974,1,0
1516791398,1,0
1516810846,1,0
1516830265,1,0
1516865096,1,1
1516878508,0,1
1516882358,1,0
1516893861,1,0
1516897704,0,1
1516915018,0,1
1516921702,1,0
1516931642,1,0
1516952894,0,1
1516962375,1,0
1516968279,0,1
1516980027,0,1
1517008034,0,1
1517018200,0,1
1517048479,1,1
1517052259,1,0
1517127646,1,0
1517134508,0,1
1517140330,0,1
1517154282,1,0
1517185461,1,0
1517195073,1,0
1517214267,0,1
1517218368,1,0
1517220931,1,0
1517226761,1,0
1517234483,1,0
1517240200,0,1
1517248120,1,0
1517270916,0,1
1517280496,0,1
1517306340,0,2
1517314336,0,1
1517320109,0,1
1517331864,1,0
1517333924,0,1
1517386350,1,0
1517407739,1,0
1517417557,0,1
1517433402,1,0
1517441377,1,0
1517474183,0,1
1517499607,0,1
1517518975,0,1
1517526986,0,1
1517550507,1,0
1517558185,2,0
1517638124,0,1
1517643885,1,0
1517645791,0,1
1517659497,1,0
1517679164,1,0
1517681070,1,1
1517712023,1,0
1517719716,1,0
1517721640,4,0
1517723557,1,0
1517729303,1,0
1517746834,1,2
1517766505,0,2
1517772159,1,0
1517797966,0,1
1517805646,0,1
1517807565,0,3
1517809466,0,2
1517813331,1,0
1517815468,1,1
1517832690,0,1
1517846179,1,0
1517858651,0,1
1517876105,1,0
1517897288,1,0
1517900924,0,1
1517910651,0,1
1517929287,1,0
1517931143,1,1
1517934981,1,0
1517946760,1,0
1517957329,1,0
1517963077,0,1
1517982490,0,1
1518015891,0,1
1518017774,0,1
1518021643,0,1
1518033373,0,1
1518044282,1,1
1518069134,1,0
1518101314,1,0
1518118778,2,0
1518126723,1,0
1518130967,0,1
1518155096,0,1
1518157050,1,0
1518173298,1,0
1518175231,1,0
1518188924,0,1
1518195163,1,0
1518205004,0,2
1518212977,0,1
1518221094,2,0
1518226842,1,0
1518230929,1,0
1518233054,1,0
1518242926,0,1
1518254440,1,0
1518258527,0,1
1518261398,1,1
1518279885,0,1
1518281780,1,0
1518308000,0,2
1518313725,0,1
1518315905,1,0
1518317801,0,1
1518319734,0,1
1518339916,0,1
1518343754,1,0
1518347578,0,1
1518367716,0,1
1518385949,1,0
1518393523,1,0
1518403468,0,1
1518429378,0,1
1518433469,1,0
1518445011,1,0
1518462764,1,0
1518469509,3,0
1518471646,0,1
1518479572,0,1
1518483686,2,0
1518509915,1,0
1518519689,0,1
1518532147,0,1
1518536425,1,0
1518547952,0,1
1518551802,1,0
1518553715,0,2
1518555691,0,1
1518563796,1,0
1518571499,0,2
1518593812,0,1
1518597888,1,0
1518601732,1,0
1518611298,1,0
1518623059,0,1
1518632926,1,0
1518638928,0,1
1518650919,0,1
1518671325,1,0
1518677570,1,0
1518683293,0,1
1518689333,0,1
1518697408,0,1
1518703474,1,0
1518719344,0,1
1518758202,0,1
1518760124,2,0
1518764199,0,1
1518789679,0,1
1518812218,1,0
1518816297,1,0
1518834317,1,0
1518846020,0,1
1518847947,0,1
1518875878,1,0
1518898055,0,1
1518902213,0,1
1518918764,1,0
1518920655,0,1
1518941037,1,0
1518949701,3,0
1518953562,1,0
1518962564,0,1
1518996636,1,0
1519004431,0,1
1519027471,0,1
1519035394,0,2
1519037318,0,1
1519039213,1,1
1519051239,1,0
1519053142,2,0
1519057010,1,0
1519059159,2,0
1519078264,1,0
1519080521,1,0
1519082439,0,1
1519086528,2,0
1519090361,2,0
1519100200,1,0
1519104029,1,0
1519115541,2,0
1519119381,1,0
1519125317,1,0
1519127297,0,1
1519136899,0,1
1519138876,0,1
1519140774,0,1
1519144648,0,2
1519146526,0,1
1519163554,0,1
1519165541,0,1
1519167378,1,0
1519173179,0,2
1519175074,0,1
1519177034,0,1
1519185191,2,1
1519189076,0,1
1519197089,1,0
1519199323,2,0
1519201249,0,1
1519203138,0,1
1519205321,0,1
1519213223,2,1
1519215415,1,0
1519221682,1,0
1519229552,1,0
1519239678,1,0
1519253805,1,0
1519271959,0,1
1519284054,0,1
1519285963,0,1
1519292181,0,1
1519301126,1,1
1519302980,0,1
1519315310,0,1
1519319553,1,1
1519321469,0,2
1519335446,1,0
1519347401,0,1
1519349345,0,1
1519352184,0,1
1519387276,0,1
1519395133,1,0
1519405294,0,1
1519428252,0,1
1519469790,1,0
1519480120,0,1
1519554731,0,1
1519587567,1,0
