DateTime,AddedIPs,RemovedIPs
1520616273,1,0
1520618193,1,0
1520620102,1,0
1520623952,2,0
1520625876,1,0
1520627782,1,0
1520631872,0,1
1520635552,1,0
1520639435,1,0
1520641278,1,0
1520643153,1,0
1520645141,0,1
1520647328,0,1
1520651304,0,1
1520653209,0,2
1520655433,1,2
1520659257,0,1
1520661154,1,1
1520663078,1,0
1520679396,2,0
1520683270,0,1
1520690906,0,2
1520694748,1,0
1520696675,1,1
1520698588,0,2
1520700506,0,1
1520702427,0,1
1520704344,0,1
1520706251,0,1
1520709386,0,2
1520711308,1,0
1520713219,0,2
1520715179,1,0
1520717061,3,0
1520722635,1,1
1520724843,0,1
1520728810,0,2
1520733011,2,0
1520734824,2,0
1520736998,2,0
1520738909,1,0
1520740878,2,1
1520748511,0,2
1520766108,0,2
1520768190,1,0
1520770124,1,0
1520780198,1,0
1520782102,2,1
1520784128,1,1
1520789793,3,0
1520793870,1,0
1520797942,2,1
1520799890,3,0
1520801787,1,2
1520803738,2,2
1520805671,1,0
1520807556,2,0
1520809473,2,1
1520815475,1,0
1520817401,1,0
1520819325,0,2
1520821252,1,2
1520823158,2,2
1520825084,0,1
1520827003,0,2
1520828926,1,0
1520852202,1,0
1520854098,0,1
1520856071,1,1
1520857952,2,0
1520859874,1,0
1520861795,2,0
1520865638,3,1
1520867794,1,1
1520869713,3,1
1520871648,3,1
1520873781,1,0
1520876649,2,3
1520878739,4,0
1520880746,2,1
1520882675,3,1
1520884579,3,1
1520887857,2,3
1520889873,0,2
1520892100,0,1
1520893960,0,2
1520896152,1,2
1520898013,2,0
1520900191,1,0
1520902100,1,1
1520904016,0,1
1520905966,1,0
1520908006,1,1
1520910093,2,2
1520911935,2,0
1520916025,0,1
1520917955,1,0
1520933300,1,0
1520935292,1,0
1520937148,1,1
1520939076,2,0
1520940999,0,1
1520942905,0,2
1520944826,2,1
1520948686,0,2
1520950594,0,2
1520952518,1,2
1520954421,0,2
1520956338,1,1
1520958266,2,3
1520960209,1,1
1520962105,1,0
1520964069,0,5
1520966030,0,2
1520968127,1,3
1520970267,1,3
1520972430,3,3
1520974356,1,0
1520978179,1,0
1520980093,1,0
1520982107,1,1
1520983965,2,2
1520985873,2,1
1520989713,0,1
1520993549,2,2
1520995457,1,2
1520997383,2,2
1521003154,2,0
1521005064,0,1
1521014666,1,0
1521018522,0,2
1521020438,1,1
1521024523,0,2
1521026434,0,1
1521030262,2,2
1521036179,2,0
1521038171,2,1
1521041793,0,1
1521043621,2,1
1521045472,1,1
1521047484,1,2
1521049452,2,0
1521051268,1,0
1521053305,1,1
1521055109,1,1
1521056982,2,1
1521058918,1,2
1521060757,0,1
1521062822,1,0
1521064883,3,1
1521066737,1,1
1521068539,1,1
1521071082,2,3
1521076813,1,0
1521078741,0,1
1521080691,2,1
1521082559,3,1
1521084496,0,2
1521090238,0,2
1521101668,0,1
1521103476,1,0
1521107552,0,1
1521109459,1,0
1521116510,4,2
1521118594,4,0
1521120959,2,1
1521122927,1,1
1521125005,2,2
1521127228,2,0
1521129173,2,2
1521131069,0,1
1521133319,0,2
1521135154,1,1
1521137104,1,2
1521138989,0,1
1521140915,1,1
1521142820,0,1
1521144746,1,1
1521146671,1,0
1521148591,3,1
1521150502,0,2
1521152430,0,1
1521154350,1,2
1521156427,1,2
1521160632,2,0
1521162682,1,1
1521166826,2,2
1521168789,1,3
1521172638,1,0
1521189871,0,1
1521195698,0,1
1521199471,1,0
1521201475,0,3
1521203320,1,4
1521205276,0,2
1521207150,1,2
1521209059,0,1
1521210990,1,1
1521212895,0,2
1521215070,0,3
1521218908,1,0
1521220827,0,1
1521222754,1,1
1521226590,1,0
1521228508,0,1
1521230487,0,1
1521232356,0,1
1521234278,1,2
1521236197,1,1
1521240027,2,0
1521241900,0,1
1521243851,0,1
1521247491,0,2
1521249433,0,1
1521251316,1,0
1521253437,0,2
1521255370,0,1
1521259320,0,1
1521276556,1,0
1521286093,1,1
1521288128,1,0
1521289958,1,1
1521291986,1,0
1521293791,0,1
1521295828,2,1
1521299691,1,0
1521301586,1,0
1521305426,0,1
1521307354,1,0
1521309280,1,1
1521311187,1,0
1521313114,1,1
1521320921,0,1
1521323062,1,1
1521326941,0,2
1521328888,2,0
1521332656,1,0
1521334571,1,0
1521336490,1,0
1521338484,0,1
1521342270,1,0
1521344425,1,0
1521362193,0,1
1521371786,1,1
1521375631,0,1
1521377574,1,1
1521379471,1,0
1521383307,0,2
1521385276,0,1
1521387144,2,1
1521389070,1,0
1521390990,1,0
1521392945,0,1
1521394836,0,1
1521396747,1,0
1521398676,1,1
1521400603,0,1
1521408493,1,0
1521410482,2,1
1521413731,4,0
1521415691,1,2
1521417591,1,0
1521419542,0,2
1521421437,0,1
1521425553,1,0
1521427479,1,1
1521431418,0,1
1521433479,1,0
1521443078,1,0
1521454823,1,0
1521458664,1,2
1521460589,1,0
1521462501,2,0
1521464493,0,1
1521466347,0,1
1521472118,0,1
1521474030,0,2
1521477881,1,1
1521481945,0,1
1521485783,1,1
1521490709,1,0
1521492820,1,0
1521494671,0,1
1521496572,2,1
1521498490,2,3
1521500532,0,3
1521502365,1,0
1521504512,0,1
1521508338,1,0
1521510266,2,1
1521512467,1,0
1521514487,1,1
1521516490,1,0
1521518301,0,1
1521528038,0,1
1521541586,0,1
1521545466,0,1
1521547728,1,3
1521549640,1,0
1521551564,1,0
1521555390,2,0
1521557329,1,0
1521561170,2,0
1521564994,0,1
1521568888,1,0
1521570986,2,0
1521573276,1,1
1521577464,0,1
1521579402,1,1
1521581558,0,1
1521583482,1,1
1521585395,2,1
1521587323,1,0
1521589253,1,1
1521593321,1,1
1521597369,1,2
1521599256,1,1
1521601325,2,1
1521603399,0,1
1521607140,1,0
1521610969,2,0
1521614782,1,0
1521620438,1,0
1521632170,1,1
1521634028,1,0
1521636010,1,1
1521637857,0,1
1521639774,0,1
1521641652,1,2
1521643461,0,1
1521645492,1,0
1521647294,1,2
1521649341,2,0
1521654988,1,1
1521657035,0,1
1521658985,2,1
1521660925,1,1
1521662889,1,0
1521666734,1,1
1521668857,0,1
1521670875,0,1
1521672810,1,1
1521675579,1,2
1521679472,1,0
1521682428,1,2
1521685712,1,1
1521687754,0,2
1521693622,0,1
1521697455,0,2
1521701566,0,1
1521705870,0,1
1521713781,1,0
1521717863,0,1
1521719788,2,1
1521723687,1,1
1521725545,1,0
1521729400,0,1
1521731329,1,1
1521733239,2,1
1521735483,2,2
1521737310,1,0
1521739218,1,0
1521741156,1,1
1521744973,2,1
1521746917,0,1
1521748867,0,1
1521750997,1,1
1521752920,1,0
1521754834,2,1
1521758921,0,1
1521762756,1,1
1521764670,0,1
1521768511,0,1
1521770508,0,1
1521776199,1,0
1521797308,1,0
1521799833,0,1
1521801871,1,0
