DateTime,AddedIPs,RemovedIPs
1521201476,0,1
1521203321,3,2
1521205278,1,0
1521207150,1,112
1521209060,0,2
1521210991,4,1
1521212896,0,1
1521215070,1,3
1521216988,2,1
1521218909,1,0
1521220830,1,70
1521222755,3,1
1521224674,0,11
1521226591,2,2
1521228509,127,1
1521230491,1,1
1521234279,4,2
1521236198,0,49
1521238125,2,174
1521240028,2,0
1521241901,2,5
1521243852,3,0
1521245684,2,13
1521247492,2,2
1521249434,2,1
1521251317,2,0
1521253437,2,1
1521255371,3,2
1521257358,2,2
1521259321,4,4
1521263291,1,0
1521265094,24,28
1521266922,76,74
1521268873,3,0
1521270754,0,3
1521272734,5,1
1521274575,0,3
1521276557,3,2
1521278430,4,1
1521280389,4,1
1521282268,1,1311
1521284268,0,1
1521286094,311,0
1521288129,4,1
1521289960,2,3
1521291986,4,2
1521293792,127,1
1521295828,0,3
1521297634,4,2
1521299692,1,0
1521301586,1,0
1521303519,1,2
1521305426,2,1
1521307355,2,2
1521309281,4,2
1521313114,1,2
1521315038,45,199
1521316971,2,0
1521318886,5,2
1521320921,7,4
1521323063,12,2
1521325003,2,25
1521326943,2,3
1521328889,3,1
1521330748,1,3
1521332657,32,1
1521334572,2,2
1521336491,4,1
1521338485,0,135
1521340333,2,0
1521342271,2,1
1521344426,2,3
1521346347,4,3
1521348286,0,1
1521352100,263,98
1521354017,12,6
1521356073,421,0
1521358362,177,4
1521362194,52,1
1521364121,2,0
1521366039,1,3
1521367945,2,1
1521369870,1,0
1521371787,1,1
1521373696,2,288
1521375632,3,2
1521377574,5,1
1521379471,2,1
1521381375,85,1
1521383308,1,0
1521385277,0,1
1521387145,3,1
1521389071,1,0
1521392946,1,0
1521394837,2,1
1521396747,3,1
1521398677,0,1
1521400604,1,0
1521402741,1,1
1521404658,0,3
1521406578,1,2
1521408493,2,2
1521410484,0,2
1521413732,25,3
1521415691,11,1
1521417592,0,2
1521419543,5,5
1521421438,1,2
1521423633,1,2
1521425554,1,0
1521427479,1,2
1521429393,0,2
1521431419,0,1
1521433480,2,3
1521435393,3,0
1521437317,3,49
1521439302,96,93
1521441147,2,299
1521443079,1,16
1521444995,2,2
1521446903,132,1
1521449084,1,56
1521450991,3,2
1521452919,1,4
1521454824,45,3
1521456751,0,1
1521458664,1,196
1521460590,3,4
1521462502,0,5
1521464494,10,46
1521466348,5,3
1521468283,0,2
1521472119,2,1
1521474032,2,3
1521475960,1,1
1521477882,3,2
1521480058,5,3
1521481946,1,1
1521483899,3,2
1521485783,5,2
1521487747,4,1
1521490710,2,1
1521492821,6,0
1521494672,3,2
1521498491,6,1
1521500534,37,8
1521502365,6,1
1521504513,6,1
1521506413,1,3
1521508339,3,1
1521510267,4,1
1521512468,5,1
1521514488,2,0
1521516490,1,0
1521518302,2,0
1521520351,1,0
1521522159,2,1
1521524230,14,66
1521526235,77,34
1521528039,290,1
1521530145,0,2
1521532098,3,2
1521533923,1,131
1521535929,2,0
1521537853,0,2
1521539769,1,1
1521541587,0,38
1521543395,1,0
1521545467,1,2
1521547729,1,1
1521549641,1,0
1521551565,1,13
1521555391,1,37
1521557330,1,4
1521559223,144,2
1521561172,3,0
1521563075,17,2
1521564995,2,2
1521566908,1,3
1521568889,2,2
1521570987,1,4
1521573277,44,4
1521575465,1,3
1521577465,1,2
1521579403,1,5
1521581559,4,1
1521583482,2,0
1521585396,1,5
1521587324,4,37
1521589254,2,6
1521591508,1,3
