DateTime,Entries,UniqueIPs
1521201476,2368,2368
1521203321,2369,2369
1521205278,2370,2370
1521207150,2259,2259
1521209060,2257,2257
1521210991,2260,2260
1521212896,2259,2259
1521215070,2257,2257
1521216988,2258,2258
1521218909,2259,2259
1521220830,2190,2190
1521222755,2192,2192
1521224674,2181,2181
1521226591,2181,2181
1521228509,2307,2307
1521230491,2307,2307
1521234279,2309,2309
1521236198,2260,2260
1521238125,2088,2088
1521240028,2090,2090
1521241901,2087,2087
1521243852,2090,2090
1521245684,2079,2079
1521247492,2079,2079
1521249434,2080,2080
1521251317,2082,2082
1521253437,2083,2083
1521255371,2084,2084
1521257358,2084,2084
1521259321,2084,2084
1521263291,2085,2085
1521265094,2081,2081
1521266922,2083,2083
1521268873,2086,2086
1521270754,2083,2083
1521272734,2087,2087
1521274575,2084,2084
1521276557,2085,2085
1521278430,2088,2088
1521280389,2091,2091
1521282268,781,781
1521284268,780,780
1521286094,1091,1091
1521288129,1094,1094
1521289960,1093,1093
1521291986,1095,1095
1521293792,1221,1221
1521295828,1218,1218
1521297634,1220,1220
1521299692,1221,1221
1521301586,1222,1222
1521303519,1221,1221
1521305426,1222,1222
1521307355,1222,1222
1521309281,1224,1224
1521313114,1223,1223
1521315038,1069,1069
1521316971,1071,1071
1521318886,1074,1074
1521320921,1077,1077
1521323063,1087,1087
1521325003,1064,1064
1521326943,1063,1063
1521328889,1065,1065
1521330748,1063,1063
1521332657,1094,1094
1521334572,1094,1094
1521336491,1097,1097
1521338485,962,962
1521340333,964,964
1521342271,965,965
1521344426,964,964
1521346347,965,965
1521348286,964,964
1521352100,1129,1129
1521354017,1135,1135
1521356073,1556,1556
1521358362,1729,1729
1521362194,1780,1780
1521364121,1782,1782
1521366039,1780,1780
1521367945,1781,1781
1521369870,1782,1782
1521371787,1782,1782
1521373696,1496,1496
1521375632,1497,1497
1521377574,1501,1501
1521379471,1502,1502
1521381375,1586,1586
1521383308,1587,1587
1521385277,1586,1586
1521387145,1588,1588
1521389071,1589,1589
1521392946,1590,1590
1521394837,1591,1591
1521396747,1593,1593
1521398677,1592,1592
1521400604,1593,1593
1521402741,1593,1593
1521404658,1590,1590
1521406578,1589,1589
1521408493,1589,1589
1521410484,1587,1587
1521413732,1609,1609
1521415691,1619,1619
1521417592,1617,1617
1521419543,1617,1617
1521421438,1616,1616
1521423633,1615,1615
1521425554,1616,1616
1521427479,1615,1615
1521429393,1613,1613
1521431419,1612,1612
1521433480,1611,1611
1521435393,1614,1614
1521437317,1568,1568
1521439302,1571,1571
1521441147,1274,1274
1521443079,1259,1259
1521444995,1259,1259
1521446903,1390,1390
1521449084,1335,1335
1521450991,1336,1336
1521452919,1333,1333
1521454824,1375,1375
1521456751,1374,1374
1521458664,1179,1179
1521460590,1178,1178
1521462502,1173,1173
1521464494,1137,1137
1521466348,1139,1139
1521468283,1137,1137
1521472119,1138,1138
1521474032,1137,1137
1521475960,1137,1137
1521477882,1138,1138
1521480058,1140,1140
1521481946,1140,1140
1521483899,1141,1141
1521485783,1144,1144
1521487747,1147,1147
1521490710,1148,1148
1521492821,1154,1154
1521494672,1155,1155
1521498491,1160,1160
1521500534,1189,1189
1521502365,1194,1194
1521504513,1199,1199
1521506413,1197,1197
1521508339,1199,1199
1521510267,1202,1202
1521512468,1206,1206
1521514488,1208,1208
1521516490,1209,1209
1521518302,1211,1211
1521520351,1212,1212
1521522159,1213,1213
1521524230,1161,1161
1521526235,1204,1204
1521528039,1493,1493
1521530145,1491,1491
1521532098,1492,1492
1521533923,1362,1362
1521535929,1364,1364
1521537853,1362,1362
1521539769,1362,1362
1521541587,1324,1324
1521543395,1325,1325
1521545467,1324,1324
1521547729,1324,1324
1521549641,1325,1325
1521551565,1313,1313
1521555391,1277,1277
1521557330,1274,1274
1521559223,1416,1416
1521561172,1419,1419
1521563075,1434,1434
1521564995,1434,1434
1521566908,1432,1432
1521568889,1432,1432
1521570987,1429,1429
1521573277,1469,1469
1521575465,1467,1467
1521577465,1466,1466
1521579403,1462,1462
1521581559,1465,1465
1521583482,1467,1467
1521585396,1463,1463
1521587324,1430,1430
1521589254,1426,1426
1521591508,1424,1424
1521593322,1426,1426
1521595378,1424,1424
1521597370,1423,1423
1521599256,1422,1422
1521601329,1421,1421
1521609154,1423,1423
1521610970,1315,1315
1521612969,1307,1307
1521614783,1305,1305
1521616597,1913,1913
1521618595,2568,2568
1521620439,2570,2570
1521622413,2568,2568
1521624280,2567,2567
1521626370,2569,2569
1521628339,2572,2572
1521630204,2574,2574
1521632171,2575,2575
1521634029,2606,2606
1521636011,2605,2605
1521637858,2606,2606
1521639775,2605,2605
1521641653,2727,2727
1521643462,2728,2728
1521645493,2614,2614
1521647295,2613,2613
1521649342,2611,2611
1521651268,2609,2609
1521653186,2608,2608
1521654989,2625,2625
1521657036,2629,2629
1521658986,2971,2971
1521660926,3021,3021
1521662890,3047,3047
1521664757,3045,3045
1521666735,3042,3042
1521668858,3032,3032
1521670967,3078,3078
1521672811,3077,3077
1521675579,3077,3077
1521677562,3075,3075
1521679472,3073,3073
1521682428,3074,3074
1521685713,3076,3076
1521687755,3074,3074
1521689569,3095,3095
1521691475,3098,3098
1521693622,3096,3096
1521695541,3099,3099
1521697456,3118,3118
1521699387,3114,3114
1521701567,3051,3051
1521703631,1754,1754
1521705871,1754,1754
1521707799,1754,1754
1521709721,1755,1755
1521711884,1754,1754
1521713782,2077,2077
1521715962,2076,2076
1521717864,3342,3342
1521719789,3315,3315
1521721717,3314,3314
1521725546,3313,3313
1521727486,3312,3312
1521729401,3194,3194
1521731330,3193,3193
1521733240,3191,3191
1521735484,3194,3194
1521739219,3228,3228
1521741157,3229,3229
1521743077,3225,3225
1521744974,2848,2848
1521746918,2797,2797
1521748904,2797,2797
1521752921,2769,2769
1521754835,2774,2774
1521756739,2768,2768
1521758922,2706,2706
1521760823,2735,2735
1521762757,2736,2736
1521764671,2738,2738
1521766577,2739,2739
1521768512,2741,2741
1521772357,2745,2745
1521774267,2746,2746
1521776200,2747,2747
1521778119,2745,2745
1521781944,2745,2745
1521783892,2690,2690
1521785796,2683,2683
1521787706,2626,2626
1521789634,2627,2627
1521791545,2628,2628
1521793480,2628,2628
1521795386,2631,2631
1521797309,2631,2631
1521799834,2491,2491
1521801872,2339,2339
1521803774,2368,2368
1521805714,2367,2367
1521807883,2365,2365
1521811708,2327,2327
1521815121,2326,2326
1521816977,2721,2721
1521821080,2842,2842
1521822999,1538,1538
1521824925,1540,1540
1521826826,1541,1541
1521828756,1540,1540
1521830694,1543,1543
1521832588,1545,1545
1521834509,1547,1547
1521836670,1550,1550
1521838897,1515,1515
1521840746,1515,1515
1521842687,1521,1521
1521845709,1522,1522
1521847952,1540,1540
1521849877,1539,1539
1521851780,1542,1542
1521853705,1542,1542
1521855863,1547,1547
1521857780,1548,1548
1521859708,1548,1548
1521861609,1549,1549
1521863545,1552,1552
1521865453,1551,1551
1521867494,1550,1550
1521869538,1552,1552
1521871468,1546,1546
1521873624,1430,1430
1521875556,1430,1430
1521877477,1429,1429
1521879383,1429,1429
1521881321,1425,1425
1521883223,1424,1424
1521885157,1425,1425
1521887074,1436,1436
1521888985,1438,1438
1521890903,1406,1406
1521892923,1406,1406
1521894745,1408,1408
1521896686,1412,1412
1521898582,1412,1412
1521900505,1414,1414
1521902422,1180,1180
1521904350,993,993
1521906272,835,835
1521908198,837,837
1521910106,877,877
1521912265,880,880
1521914196,882,882
1521916099,884,884
1521918075,880,880
1521919959,878,878
1521921867,880,880
1521923820,878,878
1521925708,875,875
1521927635,879,879
1521929541,877,877
1521931459,874,874
1521933395,875,875
1521935297,776,776
1521937226,632,632
1521939135,669,669
1521941072,672,672
1521942978,671,671
1521944910,674,674
1521947927,672,672
1521951152,645,645
