DateTime,AddedIPs,RemovedIPs
1521241901,4,5
1521243852,3,3
1521245684,1,16
1521247492,2,3
1521249434,3,1
1521251317,3,1
1521253438,2,2
1521255372,4,2
1521257358,3,2
1521259322,5,8
1521261303,0,1
1521263291,1,0
1521265095,25,30
1521266922,76,76
1521268873,3,2
1521270754,0,2
1521272734,6,1
1521274576,4,6
1521276558,5,2
1521278430,3,1
1521280389,4,4
1521282269,2,1313
1521284268,0,3
1521286094,312,1
1521288129,6,2
1521289960,3,6
1521291987,3,2
1521293793,128,3
1521295829,0,4
1521297635,6,3
1521299692,1,0
1521301587,1,3
1521303519,1,2
1521305427,2,3
1521307355,2,3
1521309281,6,3
1521311188,2,1
1521313115,3,3
1521315039,45,199
1521316971,3,1
1521318886,5,5
1521320922,10,4
1521323063,13,2
1521325003,5,26
1521326943,4,5
1521328889,3,3
1521330748,1,3
1521332657,32,1
1521334572,4,2
1521336491,3,2
1521338486,1,135
1521340334,4,1
1521342271,2,1
1521344426,2,4
1521346348,6,3
1521348286,0,1
1521350184,1,1
1521352101,262,98
1521354018,12,6
1521356073,420,0
1521358363,178,5
1521360268,0,2
1521362195,52,2
1521364122,3,2
1521366040,4,3
1521367946,2,2
1521369870,1,0
1521371787,2,1
1521373696,4,289
1521375632,5,5
1521377575,5,1
1521379472,3,1
1521381376,87,1
1521383308,7,0
1521385277,2,3
1521387145,3,1
1521389071,1,0
1521392947,2,0
1521394837,2,2
1521396748,3,1
1521398677,0,4
1521400604,2,0
1521402741,4,1
1521404659,0,5
1521406578,3,3
1521408494,3,5
1521410484,4,5
1521413732,26,6
1521415692,11,1
1521417592,1,2
1521419544,5,6
1521421438,1,3
1521423633,1,2
1521425554,3,1
1521427480,1,4
1521429394,1,2
1521431419,2,2
1521433480,3,5
1521435393,4,0
1521437318,3,49
1521439303,96,94
1521441148,2,300
1521443079,2,18
1521444995,3,3
1521446903,132,1
1521449085,1,56
1521450992,3,5
1521452920,1,5
1521454824,42,3
1521456751,0,2
1521458665,1,196
1521460591,3,5
1521462502,0,6
1521464494,10,46
1521466349,6,3
1521468284,2,4
1521470189,1,8
1521472119,3,2
1521474032,2,3
1521475961,1,2
1521477883,5,2
1521480058,8,4
1521481947,3,1
1521483900,3,2
1521485784,9,3
1521487748,5,4
1521490711,3,1
1521492822,12,1
1521494672,8,2
1521496573,2,5
1521498492,13,1
1521500535,42,9
1521502366,8,1
1521504513,7,2
1521506413,3,3
1521508339,6,1
1521510267,7,2
1521512468,11,2
1521514489,3,1
1521516491,1,2
1521518303,4,0
1521520352,4,1
1521522160,3,1
1521524231,16,66
1521526236,78,34
1521528040,290,1
1521530145,1,2
1521532098,3,3
1521533923,1,131
1521535930,2,0
1521537853,2,2
1521539769,2,1
1521541587,1,37
1521543395,3,0
1521545468,3,2
1521547730,1,1
1521549641,2,0
1521551565,3,14
1521553472,2,1
1521555391,4,38
1521557330,4,6
1521559223,144,2
1521561172,4,0
1521563076,18,3
1521564995,6,5
1521566908,1,4
1521568890,3,4
1521570988,3,6
1521573277,46,6
1521575465,4,4
1521577465,1,9
1521579403,1,8
1521581561,6,5
1521583484,2,2
1521585396,3,15
1521587324,4,39
1521589254,2,7
1521591508,3,5
1521593322,4,5
1521595378,3,5
1521597371,2,9
1521599257,6,5
