DateTime,Entries,UniqueIPs
1512342159,72,72
1512364145,71,71
1512386210,70,70
1512408275,71,71
1512430363,81,81
1512452469,80,80
1512474489,79,79
1512497049,80,80
1512518921,79,79
1512541011,77,77
1512563087,74,74
1512584991,71,71
1512606976,67,67
1512629060,66,66
1512673105,65,65
1512695330,67,67
1512717393,66,66
1512783170,64,64
1512827329,64,64
1512849392,63,63
1512871497,64,64
1512915686,65,65
1512937966,67,67
1512959814,66,66
1512981864,65,65
1513003953,64,64
1513026254,54,54
1513048149,59,59
1513114127,57,57
1513136203,58,58
1513158274,60,60
1513180115,61,61
1513202203,61,61
1513224277,61,61
1513257629,63,63
1513301570,63,63
1513323622,62,62
1513345712,60,60
1513389879,59,59
1513411988,60,60
1513434051,61,61
1513477994,59,59
1513500019,61,61
1513521869,63,63
1513543956,60,60
1513588147,68,68
1513610004,75,75
1513632041,75,75
1513654101,71,71
1513719897,75,75
1513741967,74,74
1513764097,73,73
1513852609,72,72
1513897346,72,72
1513919306,71,71
1513941417,71,71
1513985812,72,72
1514007881,70,70
1514117887,65,65
1514139865,64,64
1514183894,59,59
1514205853,54,54
1514227964,54,54
1514249920,54,54
1514271881,57,57
1514315799,57,57
1514337767,53,53
1514359751,50,50
1514382039,56,56
1514404125,54,54
1514425979,55,55
1514491956,54,54
1514514024,55,55
1514535872,56,56
1514557784,57,57
1514602007,56,56
1514646158,57,57
1514689976,58,58
1514712097,59,59
1514734286,58,58
1514756234,60,60
1514778283,61,61
1514800213,62,62
1514866370,60,60
1514888464,58,58
1514998600,52,52
1515154181,54,54
1515176223,53,53
1515198264,52,52
1515220529,54,54
1515242657,63,63
1515286589,65,65
1515308487,64,64
1515330502,65,65
1515352609,62,62
1515374816,64,64
1515418724,66,66
1515440664,67,67
1515485056,66,66
1515529059,65,65
1515551066,64,64
1515573171,67,67
1515595227,71,71
1515617272,74,74
1515661280,76,76
1515683302,77,77
1515705430,76,76
1515727714,74,74
1515749804,73,73
1515771874,73,73
1515793953,72,72
1515816141,71,71
1515838391,65,65
1515860449,65,65
1515882820,64,64
1515904955,64,64
1515927160,70,70
1515949327,69,69
1516015983,66,66
1516038024,67,67
1516059893,68,68
1516103817,69,69
1516125678,70,70
1516147696,68,68
1516169594,69,69
1516191868,66,66
1516214110,61,61
1516236333,59,59
1516280168,59,59
1516324564,58,58
1516346687,57,57
1516391015,56,56
1516412913,57,57
1516456886,58,58
1516479187,56,56
1516545141,58,58
1516588842,57,57
1516654878,58,58
1516677356,59,59
1516699242,56,56
1516721549,57,57
1516743931,55,55
1516765978,56,56
1516799320,54,54
1516843064,56,56
1516865100,57,57
1516887158,57,57
1516909226,58,58
1516953171,59,59
1516975252,60,60
1516997298,61,61
1517019149,66,66
1517041217,65,65
1517063320,61,61
1517107962,60,60
1517141088,59,59
1517207077,61,61
1517229170,60,60
1517251213,62,62
1517273316,59,59
1517295387,62,62
1517317271,63,63
1517339288,64,64
1517361142,65,65
1517383007,66,66
1517405321,66,66
1517427371,68,68
1517449224,68,68
1517493155,67,67
1517515001,66,66
1517537072,66,66
1517559172,65,65
1517581237,64,64
1517625404,61,61
1517669302,59,59
1517758123,60,60
1517780197,61,61
1517824382,60,60
1517857470,59,59
1517879530,57,57
1517901401,56,56
1517923477,55,55
1517945366,54,54
1517967386,53,53
1517989488,52,52
1518033809,51,51
1518055730,50,50
1518077797,52,52
1518121968,53,53
1518144032,52,52
1518166199,53,53
1518188480,53,53
1518210769,58,58
1518254906,57,57
1518276750,56,56
1518299038,57,57
1518321143,59,59
1518354536,58,58
1518376613,58,58
1518398660,59,59
1518420971,60,60
1518443079,61,61
1518465137,62,62
1518486984,60,60
1518520150,59,59
1518542216,61,61
1518587059,60,60
1518609141,61,61
1518631005,60,60
1518653016,62,62
1518674925,59,59
1518718960,58,58
1518740934,58,58
1518763363,57,57
1518829325,53,53
1518851324,51,51
1518873165,50,50
1518895224,52,52
1518917409,54,54
1518939380,54,54
1518972638,52,52
1518995825,51,51
1519017872,47,47
1519039959,44,44
1519061821,42,42
1519083879,42,42
1519127778,43,43
1519149733,41,41
1519171727,40,40
1519193671,40,40
1519216203,41,41
1519260234,38,38
1519282347,37,37
1519304203,36,36
1519326070,36,36
1519348852,36,36
1519415062,41,41
1519459270,42,42
1519481327,41,41
1519503624,42,42
1519525476,42,42
1519547551,39,39
1519569627,40,40
1519592107,39,39
1519636106,41,41
1519658101,42,42
1519680053,41,41
1519702110,42,42
1519724169,41,41
1519746270,42,42
1519790166,42,42
1519823326,43,43
1519845745,42,42
1519890056,43,43
1519945465,41,41
1519967325,40,40
1520011958,39,39
1520033859,39,39
1520056201,39,39
1520078239,38,38
1520100270,39,39
1520122221,40,40
1520144215,41,41
1520188349,42,42
1520210472,43,43
1520232736,44,44
1520276756,45,45
1520298996,44,44
1520343165,44,44
1520388739,44,44
1520410823,47,47
1520432680,47,47
1520498925,47,47
1520542880,49,49
1520564890,50,50
1520587070,53,53
1520609095,54,54
1520653066,54,54
1520697176,54,54
1520719308,54,54
1520741329,56,56
1520763392,58,58
1520807559,58,58
1520829879,59,59
1520885080,59,59
1520928974,59,59
1520973228,58,58
1521017558,55,55
1521039411,56,56
1521061723,57,57
1521083801,60,60
1521105867,61,61
1521150024,60,60
1521171897,59,59
1521194178,56,56
1521304368,55,55
1521348743,52,52
1521370869,50,50
1521414975,51,51
1521437014,52,52
1521459151,51,51
1521481216,52,52
1521503319,49,49
1521525370,50,50
1521570235,51,51
1521592398,51,51
1521636750,50,50
1521658987,50,50
1521692094,50,50
1521714008,51,51
1521735873,52,52
1521780036,50,50
1521846086,52,52
1521868359,56,56
1521890438,55,55
1521934824,56,56
1521956913,56,56
1522011859,55,55
1522055590,53,53
1522122033,52,52
1522143874,54,54
1522188304,53,53
1522244678,53,53
1522278331,26,26
1522300603,25,25
1522344758,24,24
1522388926,23,23
1522433326,22,22
1522543452,21,21
1522587618,20,20
1522698270,18,18
1522742493,16,16
1522764534,14,14
1522786829,12,12
1522808853,9,9
1522830764,4,4
