DateTime,Entries,UniqueIPs
1521226593,230,230
1521228510,229,229
1521230493,216,216
1521232359,215,215
1521234280,216,216
1521236200,217,217
1521238128,215,215
1521240029,210,210
1521241903,211,211
1521243854,214,214
1521245685,215,215
1521247493,214,214
1521249435,214,214
1521251318,216,216
1521253439,213,213
1521255372,216,216
1521257359,219,219
1521259323,219,219
1521261304,219,219
1521263292,216,216
1521265096,219,219
1521266923,220,220
1521268874,226,226
1521270755,227,227
1521272735,231,231
1521274576,229,229
1521276558,231,231
1521278431,230,230
1521280390,231,231
1521282271,230,230
1521284269,227,227
1521286095,231,231
1521288130,232,232
1521289962,233,233
1521291989,237,237
1521293794,239,239
1521295830,239,239
1521297636,244,244
1521299693,248,248
1521301588,246,246
1521303520,245,245
1521305428,245,245
1521307356,250,250
1521309282,254,254
1521311189,259,259
1521313116,258,258
1521315039,253,253
1521316972,255,255
1521318887,254,254
1521320923,255,255
1521323064,253,253
1521325004,255,255
1521326944,250,250
1521328890,253,253
1521330749,252,252
1521332658,252,252
1521334573,252,252
1521336492,255,255
1521338486,251,251
1521340334,250,250
1521342272,251,251
1521344428,244,244
1521346349,245,245
1521348287,245,245
1521350186,243,243
1521352102,246,246
1521354019,243,243
1521356074,238,238
1521358365,235,235
1521360268,231,231
1521362195,231,231
1521364123,228,228
1521366041,225,225
1521367947,219,219
1521369871,216,216
1521371788,215,215
1521373697,211,211
1521375633,213,213
1521377576,212,212
1521379473,212,212
1521381376,214,214
1521383309,214,214
1521385278,212,212
1521387146,214,214
1521389072,217,217
1521390992,219,219
1521392948,221,221
1521394838,221,221
1521396749,213,213
1521398678,211,211
1521400605,213,213
1521402742,214,214
1521404660,212,212
1521406580,212,212
1521408495,212,212
1521410485,209,209
1521413733,208,208
1521415693,204,204
1521417593,198,198
1521419545,204,204
1521421439,201,201
1521423634,205,205
1521425555,203,203
1521427481,200,200
1521429395,199,199
1521431420,196,196
1521433481,191,191
1521435394,190,190
1521437319,190,190
1521439304,192,192
1521441149,195,195
1521443081,193,193
1521444996,192,192
1521446904,189,189
1521449086,186,186
1521450993,190,190
1521452921,189,189
1521454826,190,190
1521456752,187,187
1521458666,186,186
1521460592,185,185
1521462503,174,174
1521464496,173,173
1521466350,170,170
1521468285,166,166
1521470190,163,163
1521472120,162,162
1521474033,161,161
1521475962,155,155
1521477884,160,160
1521480059,157,157
1521481948,160,160
1521483901,168,168
1521485785,176,176
1521487749,176,176
1521490712,189,189
1521492823,192,192
1521494673,199,199
1521496574,204,204
1521498493,210,210
1521500536,220,220
1521502367,223,223
1521504515,226,226
1521506415,226,226
1521508341,236,236
1521510269,231,231
1521512470,240,240
1521514490,244,244
1521516493,250,250
1521518304,257,257
1521520353,264,264
1521522161,266,266
1521524232,263,263
1521526237,264,264
1521528041,266,266
1521530146,276,276
1521532099,278,278
1521533924,280,280
1521535931,278,278
1521537854,285,285
1521539770,290,290
1521541588,297,297
1521543397,293,293
1521545469,300,300
1521547731,303,303
1521549642,306,306
1521551566,307,307
1521553473,309,309
1521555392,309,309
1521557331,315,315
1521559224,318,318
1521561173,323,323
1521563077,321,321
1521564996,323,323
1521566909,326,326
1521568891,324,324
1521570988,317,317
1521573279,315,315
1521575467,311,311
1521577467,309,309
1521579404,303,303
1521581562,302,302
1521583485,303,303
