DateTime,AddedIPs,RemovedIPs
1521111390,0,1
1521116514,2,6
1521118598,0,6
1521120964,1,4
1521122931,1,9
1521127231,0,2
1521129176,0,4
1521131072,0,10
1521133322,1,3
1521135157,1,2
1521137107,3,1
1521138992,4,12
1521140918,0,6
1521142823,1,4
1521144748,0,2
1521146674,1,2
1521148594,0,4
1521150505,0,2
1521152433,0,3
1521154353,0,1
1521156430,1,0
1521158558,0,1
1521162684,0,2
1521164992,0,1
1521174499,2,0
1521176531,0,6
1521178356,1,1
1521180299,3,8
1521182187,2,4
1521184176,5,1
1521186022,2,0
1521187995,2,1
1521193704,2,0
1521195702,3,4
1521197549,5,0
1521201478,1,0
1521203323,0,2
1521207152,6,1
1521209062,8,1
1521210993,8,0
1521212898,3,0
1521215073,7,0
1521218911,2,1
1521220832,9,3
1521222757,12,3
1521224677,3,2
1521226594,3,1
1521228511,8,0
1521230494,2,1
1521232360,3,0
1521234281,2,1
1521236201,7,0
1521238129,4,0
1521240030,1,1
1521241904,1,1
1521243855,1,0
1521245686,1,0
1521249436,3,0
1521257360,1,0
1521259324,3,0
1521261305,4,1
1521263293,9,1
1521265096,1,2
1521266924,2,2
1521268875,6,5
1521270756,0,3
1521272736,1,2
1521274577,1,2
1521280391,0,2
1521282271,0,3
1521284270,0,5
1521286096,1,0
1521288131,0,1
1521289963,1,0
1521291990,1,0
1521293795,0,7
1521295831,1,8
1521297637,1,7
1521299694,1,5
1521301589,0,5
1521303521,7,1
1521305428,1,6
1521307357,3,8
1521309283,1,10
1521311190,2,3
1521313116,0,3
1521315040,4,7
1521316973,0,2
1521318888,0,3
1521320924,0,3
1521323065,0,6
1521325005,0,4
1521326945,1,2
1521328891,1,1
1521330750,2,0
1521332659,1,1
1521334574,0,1
1521336493,0,2
1521344429,0,3
1521346350,0,1
1521348288,0,6
1521350187,1,7
1521352103,1,2
1521354020,3,4
1521356075,2,4
1521358366,2,2
1521360269,2,0
1521362196,2,0
1521364123,2,0
1521366041,0,1
1521375634,1,0
1521377577,2,1
1521379473,7,2
1521381377,12,0
1521383310,10,2
1521385279,1,0
1521387148,2,0
1521389073,8,3
1521390993,0,5
1521392949,6,2
1521394839,7,2
1521396750,12,3
1521398679,1,0
1521400606,3,1
1521402743,1,2
1521404661,10,0
1521406581,9,0
1521408496,3,0
1521410487,3,0
1521413734,2,1
1521415694,4,1
1521417594,2,2
1521419546,1,1
1521421440,1,0
1521423635,3,0
1521425556,4,0
1521427481,1,0
1521429395,2,0
1521431421,0,1
1521433482,4,0
1521435395,4,0
1521437320,5,1
1521439304,3,1
1521441150,0,3
1521443082,1,2
1521444997,0,1
1521446905,1,2
1521449087,0,3
1521450995,2,2
1521454827,1,0
1521458667,2,0
1521460593,1,0
1521462504,0,3
1521464497,0,3
1521466351,0,9
1521468286,0,14
1521470191,0,3
1521472121,0,3
