DateTime,AddedIPs,RemovedIPs
1512386212,0,1
1512518922,0,1
1513023143,7,0
1513044985,11,0
1513441998,1,0
1513640663,0,18
1513817570,1,0
1514038269,0,1
1514214425,7,0
1514633073,1,0
1514698997,1,1
1514820333,0,6
1515227806,2,1
1515249874,10,0
1515294151,0,1
1515360286,5,0
1515758217,1,0
1515802892,1,0
1515847427,0,11
1515891874,1,0
1515913723,11,0
1515979720,1,0
1516023875,1,0
1516244950,1,0
1516356117,0,1
1516400189,0,1
1516488741,0,1
1516577717,0,1
1516621464,0,1
1516643311,1,0
1516841801,1,1
1516996136,1,0
1517062341,0,11
1517150199,1,0
1517260843,0,1
1517282965,0,7
1517460277,0,1
1517647723,1,0
1517758125,0,1
1517857471,1,0
1518144032,1,0
1518387403,7,0
1518431305,0,1
1518475230,0,1
1518563358,1,0
1518763365,0,1
1518851326,1,0
1518917410,1,0
1518961469,1,0
1518983312,0,7
1519203706,1,0
1519225739,0,1
1519424195,7,0
1519446262,0,1
1519535318,0,1
1519557401,0,1
1519623519,1,0
1519711818,1,0
1519822878,0,1
1520088036,1,0
1520220503,1,1
1520308169,0,1
1520484023,1,0
1520527720,1,0
1520571896,1,0
1520704345,0,8
1520815078,0,1
1520837068,7,0
1521025497,1,0
1521069404,1,0
1521113560,1,0
1521135621,0,1
1521157952,0,1
1521421726,0,7
1521619467,0,1
1521663636,7,1
1521685715,0,1
1521729875,0,1
1522104529,1,0
1522215491,1,0
1522282522,0,9
1522680272,0,1
