DateTime,AddedIPs,RemovedIPs
1521234283,1,3
1521236203,3,0
1521238130,43,0
1521240031,2,2
1521241905,1,0
1521243856,1,0
1521245687,1,1
1521247494,1,1
1521249437,3,4
1521251319,5,4
1521253440,4,4
1521255374,3,1
1521257361,3,2
1521259325,3,10
1521261306,4,0
1521263294,2,1
1521265098,2,0
1521266925,5,2
1521268876,1,4
1521270757,1,3
1521272737,4,2
1521274578,4,4
1521276560,2,0
1521278433,2,4
1521280392,3,2
1521282272,2,1
1521284271,2,3
1521286097,1,4
1521288132,0,7
1521289964,3,4
1521291992,14,4
1521293796,2,2
1521295832,1,5
1521297638,2,2
1521299695,5,4
1521301589,1,0
1521303522,2,2
1521305429,2,2
1521307357,2,3
1521309284,1,0
1521311191,1,0
1521313117,2,1
1521315042,1,2
1521316974,0,2
1521318889,2,2
1521320924,0,3
1521323066,4,12
1521325006,0,33
1521326946,2,1
1521328892,1,1
1521330750,4,1
1521332660,1,1
1521334575,2,1
1521336494,4,6
1521338489,1,2
1521340336,3,4
1521342274,0,3
1521344430,1,4
1521346351,1,3
1521348289,2,1
1521350188,4,2
1521352104,2,3
1521354021,1,5
1521356076,1,1
1521358367,1,4
1521360270,2,4
1521362197,4,4
1521364124,5,1
1521366042,1,4
1521367948,2,2
1521369872,1,2
1521371790,3,0
1521373699,4,1
1521375635,1,3
1521377578,2,13
1521379474,1,3
1521383311,0,3
1521385280,22,4
1521387148,1,2
1521389074,1,2
1521390994,0,1
1521392950,2,2
1521394840,1,0
1521396750,2,2
1521398680,10,1
1521400606,2,1
1521402744,5,1
1521404662,4,1
1521406582,1,2
1521408497,2,1
1521410489,4,1
1521413735,6,3
1521415695,1,1
1521417595,2,3
1521419547,3,1
1521421441,3,2
1521423636,1,1
1521425557,1,2
1521427482,4,1
1521429397,3,0
1521431422,3,1
1521433483,5,1
1521435396,2,2
1521437321,4,1
1521439305,2,2
1521441151,4,0
1521443083,3,2
1521444998,3,0
1521446906,8,2
1521449087,2,5
1521450995,13,4
1521452923,5,1
1521454828,2,4
1521456754,2,6
1521458668,2,3
1521460594,1,3
1521462505,1,2
1521464498,1,2
1521466352,0,2
1521470192,1,1
1521472122,2,24
1521474035,3,1
1521475964,0,2
1521477886,6,0
1521480062,1,1
1521481950,25,1
1521483903,44,7
1521485787,3,3
1521487751,2,4
1521490714,6,4
1521492825,6,3
1521494676,0,1
1521496576,1,4
1521498495,2,4
1521500538,2,3
1521502370,1,1
1521504517,2,2
1521506417,1,3
1521508343,6,4
1521510270,4,0
1521512471,4,2
1521514492,2,5
1521516495,5,1
1521518306,4,3
1521520355,4,6
1521522163,4,0
1521524234,3,6
1521526240,3,5
1521528043,5,3
1521530148,6,2
1521532101,3,6
1521533926,1,5
1521535932,1,2
1521537856,3,14
1521539772,5,4
1521541590,0,1
1521543400,1,3
1521545471,1,0
1521547733,4,1
1521549644,1,1
1521551568,1,1
1521555394,4,0
1521557333,39,2
1521559226,20,1
1521561175,1,3
1521563078,1,2
1521564998,4,4
1521566911,3,1
1521568892,3,33
1521570991,2,13
1521573281,2,3
1521575469,3,7
1521577469,2,1
1521579407,0,5
1521581566,1,1
1521583487,3,2
1521585398,2,2
1521587327,3,3
1521589257,4,0
1521591512,4,3
1521593325,1,2
1521595381,2,7
1521597374,4,5
1521599260,1,3
1521601333,3,1
1521603404,0,8
1521605309,2,2
1521607144,7,2
1521609157,2,6
1521610973,5,5
1521612972,3,3
1521614793,3,6
1521616600,1,7
1521618598,6,2
1521620443,0,1
1521622416,4,1
1521624283,4,2
1521626374,3,5
1521628343,5,0
1521630208,5,1
1521632175,3,1
1521634033,3,4
1521636015,4,1
1521637862,1,1
