DateTime,Entries,UniqueIPs
1472792908,608,608
1472880040,608,608
1472967438,610,610
1473141668,610,610
1473228745,620,620
1473315853,623,623
1473402997,632,632
1473490109,632,632
1473577283,637,637
1473664609,656,656
1473751706,666,666
1473839235,675,675
1473926471,677,677
1474013550,682,682
1474100660,684,684
1474187799,685,685
1474274909,691,691
1474362064,703,703
1474449154,602,602
1474536255,609,609
1474623414,611,611
1474710502,617,617
1474797681,642,642
1474884749,648,648
1474971855,652,652
1475058980,663,663
1475233479,664,664
1475320605,663,663
1475407709,672,672
1475494832,681,681
1475581949,689,689
1475669063,696,696
1475756197,694,694
1475843300,696,696
1475930420,696,696
1476017551,701,701
1476104689,708,708
1476191811,711,711
1476278895,709,709
1476366024,721,721
1476453147,704,704
1476540532,701,701
1476627630,695,695
1476714751,696,696
1476801869,696,696
1476889000,686,686
1476976095,688,688
1477063239,677,677
1477150443,672,672
1477237454,667,667
1477324590,661,661
1477411724,649,649
1477498819,647,647
1477585962,635,635
1477673062,630,630
1477760195,629,629
1477847311,608,608
1477934428,607,607
1478021568,604,604
1478108678,599,599
1478195804,586,586
1478282917,586,586
1478370278,547,547
1478457398,530,530
1478544500,524,524
1478631691,520,520
1478718776,518,518
1478805877,511,511
1478892991,505,505
1478980147,500,500
1479067280,490,490
1479154366,491,491
1479241486,487,487
1479328600,483,483
1479415726,481,481
1479502873,460,460
1479589963,459,459
1479677062,460,460
1479764184,450,450
1479851311,453,453
1479938481,444,444
1480025564,441,441
1480112670,434,434
1480199793,433,433
1480286909,430,430
1480374096,427,427
1480461146,426,426
1480548261,421,421
1480635407,419,419
1480722509,413,413
1480809769,408,408
1480897244,409,409
1480984270,411,411
1481071622,400,400
1481158739,403,403
1481245975,398,398
1481333059,396,396
1481420199,213,213
1481507300,206,206
1481594507,204,204
1481681562,209,209
1481768677,206,206
1481855798,205,205
1481942914,205,205
1482030096,202,202
1482117155,200,200
1482204282,198,198
1482291399,195,195
1482378523,195,195
1482465767,193,193
1482552781,196,196
1482639863,192,192
1482726989,194,194
1482814128,198,198
1482901339,200,200
1482988359,197,197
1483075457,192,192
1483162613,192,192
1483336902,195,195
1483423963,193,193
1483511059,278,278
1483598192,276,276
1483685309,273,273
1483772519,274,274
1483859790,272,272
1483946911,275,275
1484034046,277,277
1484121158,274,274
1484208543,277,277
1484295635,276,276
1484382771,275,275
1484469866,277,277
1484557005,276,276
1484644130,280,280
1484731495,279,279
1484905712,274,274
1484992917,275,275
1485080324,281,281
1485167339,280,280
1485254477,275,275
1485341590,275,275
