DateTime,AddedIPs,RemovedIPs
1521240032,46,24
1521241905,42,10
1521243857,43,35
1521245688,45,10
1521247495,48,13
1521249438,40,12
1521251320,60,14
1521253442,52,16
1521255375,38,10
1521257362,62,13
1521259326,48,12
1521261308,54,15
1521263295,62,13
1521265099,34,21
1521266926,33,19
1521268877,49,19
1521270758,59,19
1521272737,50,21
1521274579,46,14
1521276560,34,22
1521278433,35,22
1521280392,56,18
1521282273,37,14
1521284272,56,23
1521286098,57,19
1521288133,37,24
1521289965,61,17
1521291993,36,25
1521293797,47,30
1521295833,50,23
1521297639,71,46
1521299695,58,71
1521301590,34,54
1521303523,110,67
1521305430,118,60
1521307358,76,58
1521309285,133,56
1521311192,82,42
1521313118,116,45
1521315043,54,72
1521316975,25,47
1521318890,51,68
1521320925,34,54
1521323067,37,51
1521325006,51,56
1521326947,41,46
1521328893,55,44
1521330751,16,37
1521332661,28,45
1521334576,24,50
1521336495,36,48
1521338490,27,52
1521340337,33,48
1521342274,22,34
1521344431,37,69
1521346352,30,46
1521348290,29,53
1521350189,34,48
1521352105,29,32
1521354022,29,46
1521356077,41,71
1521358368,36,55
1521360271,48,43
1521362198,53,39
1521364125,51,46
1521366043,47,38
1521367949,44,54
1521369874,53,45
1521371791,54,61
1521373700,57,44
1521375636,56,46
1521377579,47,55
1521379475,45,40
1521381379,48,48
1521383312,60,68
1521385281,59,53
1521387150,41,51
1521389075,53,46
1521390995,52,166
1521392951,43,76
1521394841,55,119
1521396751,38,92
1521398681,34,99
1521400607,31,105
1521402745,47,20
1521404663,46,52
1521406583,32,36
1521408498,17,32
1521410490,38,43
1521413736,50,102
1521415696,33,23
1521417596,19,14
1521419548,34,27
1521421443,30,23
1521423637,43,40
1521425558,38,32
1521427483,26,23
1521429397,31,31
1521431423,29,36
1521433484,41,28
1521435397,32,27
1521437322,53,31
1521439306,37,41
1521441152,31,22
1521443084,46,42
1521444999,33,31
1521446907,65,51
1521449088,52,55
1521450996,55,56
1521452924,38,44
1521454829,50,41
1521456756,50,57
1521458669,43,62
1521460595,47,42
1521462506,44,62
1521464500,42,48
1521466353,37,48
1521468288,36,49
1521470193,45,61
1521472123,45,70
1521474037,42,37
1521475965,36,47
1521477887,35,58
1521480063,44,49
1521481951,43,61
1521483904,62,33
1521485788,45,29
1521487753,395,36
1521490715,239,59
1521492826,49,45
1521494677,47,16
1521496578,23,34
1521498496,40,30
1521500539,30,32
1521502371,21,24
1521504518,16,22
1521506418,11,32
1521508344,16,37
1521510271,27,30
1521512473,21,40
1521514493,21,26
1521516496,22,41
1521518307,26,24
1521520356,18,30
1521522164,37,36
1521524235,49,53
1521526241,37,36
1521528044,31,36
1521530149,43,47
1521532102,49,30
1521533927,39,57
1521535933,70,52
1521537857,135,47
1521539773,51,34
1521541591,102,62
1521543401,46,36
