DateTime,Entries,UniqueIPs
1478633050,1115,1115
1478720194,1112,1112
1478807324,1104,1104
1478894479,1095,1095
1478981553,1072,1072
1479068657,1053,1053
1479155791,1021,1021
1479242920,1009,1009
1479330080,993,993
1479417143,1725,1725
1479504255,1717,1717
1479591386,1700,1700
1479678509,1684,1684
1479765693,1666,1666
1479852770,1672,1672
1479939849,1660,1660
1480027060,1632,1632
1480114112,1517,1517
1480201303,1506,1506
1480288369,1493,1493
1480375483,1492,1492
1480462595,1491,1491
1480549700,1480,1480
1480636884,1458,1458
1480723969,1457,1457
1480811097,1435,1435
1480898192,1429,1429
1480985387,1429,1429
1481072652,1430,1430
1481160554,1430,1430
1481247623,1427,1427
1481334762,1479,1479
1481421858,1526,1526
1481508986,1605,1605
1481596123,1742,1742
1481683214,1873,1873
1481770343,1986,1986
1481857471,2090,2090
1481944605,2154,2154
1482031700,2164,2164
1482118847,2163,2163
1482205936,2169,2169
1482293346,2174,2174
1482380436,2171,2171
1482467581,2165,2165
1482554717,2171,2171
1482642128,2171,2171
1482729411,2163,2163
1482816523,2161,2161
1482903641,2164,2164
1482990757,2162,2162
1483077858,2162,2162
1483164998,2161,2161
1483252119,2159,2159
1483339214,2156,2156
1483426380,2152,2152
1483513740,2151,2151
1483600835,2149,2149
1483687962,2151,2151
1483775069,2152,2152
1483862181,2141,2141
1483949725,2079,2079
1484036893,2029,2029
1484124015,1965,1965
1484211153,1781,1781
1484298531,1655,1655
1484385658,1511,1511
1484472749,1426,1426
1484559880,1373,1373
1484646995,1369,1369
1484734156,566,566
1484821234,552,552
1484908352,539,539
1484995496,516,516
1485082594,511,511
1485169707,511,511
1485256847,510,510
1485343941,514,514
1485431056,518,518
1485518187,511,511
1485605329,509,509
1485692698,508,508
1485779782,500,500
1485866919,504,504
1485954108,509,509
1486041170,512,512
1486128295,505,505
1486215408,501,501
1486302540,503,503
1486389698,500,500
1486476785,500,500
1486563918,495,495
1486651010,478,478
1486738107,471,471
1486825278,465,465
1486912610,464,464
1486999966,461,461
1487087313,456,456
1487174487,456,456
1487261590,455,455
1487348660,446,446
1487436037,430,430
1487523147,425,425
1487610260,414,414
1487697395,402,402
1487784516,393,393
1487871615,389,389
1487958767,392,392
1488045867,390,390
1488132996,381,381
1488220101,379,379
1488307246,377,377
1488394371,378,378
1488481476,376,376
1488568594,366,366
1488655725,348,348
1488742813,350,350
1488829959,354,354
1488917322,368,368
1489004458,388,388
1489091551,398,398
1489178675,408,408
1489265786,411,411
1489352901,414,414
1489440049,417,417
1489527414,431,431
1489614518,429,429
1489701706,448,448
1489788748,444,444
1489875876,446,446
1489963017,449,449
1490050107,1138,1138
1490137294,1163,1163
1490224355,1235,1235
1490311470,1284,1284
1490398597,1339,1339
1490485714,1338,1338
1490572927,1337,1337
1490659962,1350,1350
1490747054,1362,1362
1490834185,1355,1355
1490921320,1363,1363
1491008509,1364,1364
1491095554,1362,1362
1491182681,1359,1359
1491269787,1353,1353
1491356930,1354,1354
