DateTime,AddedIPs,RemovedIPs
1518495396,0,1
1518499235,0,1
1518504985,1,0
1518506932,0,1
1518514607,0,1
1518524439,0,1
1518526256,1,0
1518528067,1,0
1518530350,1,0
1518536432,1,1
1518546041,1,0
1518551808,1,1
1518555699,0,1
1518563804,0,1
1518566397,1,1
1518579645,0,1
1518585635,1,0
1518591691,0,1
1518601738,1,0
1518611304,0,1
1518615138,0,1
1518617098,0,1
1518619225,0,1
1518621176,0,1
1518623065,1,0
1518632933,1,1
1518638937,0,1
1518648949,1,0
1518653023,0,1
1518671331,0,1
1518687165,0,1
1518691238,1,0
1518709282,1,1
1518719351,1,0
1518723274,1,0
1518725092,1,0
1518736995,1,0
1518743352,1,1
1518755084,0,1
1518759321,1,0
1518777408,0,1
1518783597,1,0
1518796426,1,1
1518806243,0,1
1518810032,0,1
1518812228,0,1
1518818211,1,0
1518824244,0,1
1518830256,1,1
1518832126,4,0
1518834326,1,0
1518842203,1,0
1518844127,0,1
1518867401,1,0
1518871491,0,1
1518904133,0,1
1518916612,0,1
1518918771,0,4
1518920661,0,1
1518925160,1,0
1518929337,0,1
1518935065,0,1
1518941046,1,0
1518947868,1,0
1518953570,0,1
1518962567,0,1
1518998684,1,0
1519023680,1,0
1519025567,1,1
1519033232,1,1
1519037322,0,1
1519049327,1,0
1519053146,1,0
1519080530,1,0
1519082448,1,0
1519086535,0,1
1519090368,1,0
1519111705,0,2
1519121340,1,0
1519131134,1,0
1519132982,1,0
1519138882,0,1
1519142659,1,0
1519157837,1,0
1519161533,0,1
1519167384,0,1
1519169301,0,1
1519171374,0,1
1519173185,1,0
1519177040,0,1
1519181133,1,0
1519193003,1,0
1519197095,1,0
1519207315,0,1
1519209157,1,0
1519217575,0,1
1519219492,0,1
1519221689,1,0
1519229558,0,1
1519231650,1,0
1519243719,0,1
1519249713,1,0
1519260238,0,1
1519266015,1,0
1519267984,0,1
1519279931,0,1
1519284060,0,1
1519288109,1,0
1519290077,1,0
1519292187,1,0
1519296040,0,1
1519309015,0,1
1519311178,1,0
1519313085,1,0
1519319559,0,1
1519327482,1,0
1519345476,1,0
1519349352,1,0
1519352190,1,1
1519354130,1,0
1519362105,1,0
1519369734,1,0
1519373817,0,1
1519375705,1,0
1519377651,0,1
1519379539,0,1
1519387283,1,0
1519389375,0,1
1519397077,0,1
1519403074,1,0
1519413171,1,1
1519421093,0,1
1519432104,1,0
1519436208,0,1
1519440049,0,1
1519449870,0,1
1519452084,1,0
1519455888,0,1
1519457813,0,1
1519461869,1,0
1519471968,1,0
1519476043,0,1
1519488812,0,1
1519494759,1,0
1519500451,0,1
1519506264,1,0
1519510097,0,2
1519519472,0,1
1519523306,1,0
1519539420,0,1
1519548769,0,1
1519576036,1,0
1519581971,0,1
1519588132,0,1
1519590028,1,0
1519592112,0,1
1519596094,1,0
1519605945,1,0
1519614079,1,0
1519625799,0,1
1519629647,1,0
1519633474,1,0
1519656892,1,0
1519658909,1,0
1519661019,1,1
1519676566,0,1
1519682491,0,1
1519684337,1,0
1519693966,0,1
1519699926,0,1
1519709555,1,0
1519715544,0,1
1519717458,1,0
1519719650,0,1
1519746275,0,1
1519748858,0,1
1519757329,1,0
1519771012,1,1
1519777000,1,0
1519786590,1,0
1519796185,0,1
1519806027,1,0
1519819500,1,0
1519830991,1,0
1519843745,1,1
1519855300,1,0
1519862110,0,1
1519872015,1,0
1519874202,1,1
1519881876,1,0
1519883808,1,0
1519893406,0,1
1519897235,1,0
1519906850,0,2
1519908757,1,0
1519912596,1,0
1519916482,0,1
1519930127,1,1
1519941690,0,1
1519958195,0,1
1519969707,1,0
1519971651,0,1
1519973546,1,0
1519981492,1,0
1519983395,0,1
1519987230,1,0
1519992085,1,0
1519993964,0,2
1519999864,0,1
1520015317,1,1
1520019169,1,0
1520028767,1,1
1520032606,1,0
1520040788,1,0
1520056206,0,1
1520059988,0,1
1520067740,0,1
1520073486,0,1
1520079254,0,1
1520101231,1,1
1520108908,0,1
1520116609,0,1
1520120580,0,1
1520122616,1,0
1520126452,0,1
1520143787,1,0
1520145873,2,0
1520165088,1,0
1520180683,1,0
1520186508,1,0
1520188353,0,1
1520208546,0,1
1520225840,1,0
1520229762,0,1
1520231846,0,1
1520233773,0,1
1520251017,0,1
1520266865,0,1
1520272690,0,1
1520276761,1,0
1520290599,1,0
1520304327,1,0
1520312000,0,1
1520327809,1,0
1520331644,1,0
1520345419,0,1
1520362878,0,1
1520376513,0,1
1520385462,1,0
1520414186,0,1
1520416343,1,0
1520429796,0,1
1520431708,1,0
1520455965,1,0
1520461958,0,1
1520467991,1,0
1520472080,0,1
1520507787,1,0
1520517889,0,1
1520523997,1,0
1520533949,1,0
1520541621,0,1
1520553142,0,1
1520564682,1,0
1520570419,1,0
