DateTime,AddedIPs,RemovedIPs
1521234285,1,1
1521236205,1,2
1521238132,2,1
1521240034,3,2
1521241907,2,2
1521243858,4,6
1521245690,4,4
1521247497,2,2
1521249439,2,3
1521251322,0,6
1521253443,9,6
1521255376,1,1
1521257364,0,1
1521259327,2,2
1521261310,2,0
1521263297,1,4
1521265100,1,2
1521266927,0,3
1521268878,3,1
1521270759,2,2
1521272739,1,2
1521274581,1,1
1521276562,1,0
1521278435,0,2
1521280394,2,2
1521282275,3,3
1521284273,1,1
1521286099,4,0
1521288134,1,4
1521289967,3,6
1521291994,0,4
1521293798,1,1
1521295834,3,2
1521297640,1,2
1521299697,0,3
1521301592,0,2
1521303524,1,1
1521305431,0,3
1521307360,1,0
1521309286,2,3
1521311193,4,3
1521313120,3,1
1521315044,5,2
1521316976,1,3
1521318891,3,6
1521320926,5,1
1521323068,13,1
1521325008,32,1
1521326948,10,4
1521328894,5,5
1521330752,1,1
1521332663,2,6
1521334577,6,0
1521336496,5,1
1521338492,2,1
1521340338,4,8
1521342276,2,1
1521344432,1,1
1521346353,1,2
1521348291,2,2
1521350190,4,2
1521352106,2,1
1521354023,2,1
1521356078,6,3
1521358369,3,1
1521360273,0,1
1521362200,5,0
1521364126,3,1
1521366044,9,0
1521367950,1,3
1521369875,3,3
1521371792,3,6
1521373701,1,1
1521375637,1,4
1521377580,4,1
1521379477,6,0
1521381380,2,4
1521383313,4,1
1521385283,1,2
1521387151,2,1
1521389076,2,0
1521390996,2,0
1521392952,4,1
1521394842,4,1
1521396752,1,1
1521398682,3,6
1521400609,4,5
1521402746,3,2
1521404664,3,2
1521406584,1,3
1521408499,4,2
1521410491,5,25
1521413738,10,30
1521415697,3,1
1521417597,4,1
1521419549,3,2
1521421445,5,5
1521423639,1,3
1521425560,3,4
1521427485,4,3
1521429399,5,2
1521431425,2,1
1521433486,2,2
1521435398,3,4
1521437323,4,2
1521439308,4,6
1521441153,1,3
1521443085,2,5
1521445001,2,2
1521446908,1,0
1521449090,3,7
1521450998,10,7
1521452925,4,5
1521454831,4,2
1521456757,2,3
1521458671,7,1
1521460597,8,2
1521462508,13,0
1521464501,1,5
1521466355,5,6
1521468290,5,2
1521470195,9,3
1521472125,15,1
1521474038,5,4
1521475967,13,0
1521477889,3,6
1521480065,5,0
1521481952,3,5
1521483906,6,0
1521485789,1,4
1521487754,5,2
1521490717,26,7
1521492828,8,1
1521494679,6,5
1521496579,6,6
1521498498,2,5
1521500541,4,8
1521502373,3,1
1521504519,3,3
1521506420,1,3
1521508346,2,4
1521510273,5,1
1521512474,6,3
1521514495,4,6
1521516497,0,6
1521518309,3,1
1521520358,3,2
1521522166,0,4
1521524237,3,4
1521526242,2,5
1521528046,2,1
1521530150,1,0
1521532104,6,3
1521533929,4,0
1521535934,3,7
1521537859,2,8
1521539775,3,5
1521541593,2,3
1521543403,1,3
1521545473,1,7
1521547292,0,12
1521549318,2,8
1521551306,3,1
1521553144,3,5
1521555185,0,5
1521557057,6,13
1521558979,1,14
1521560814,5,8
1521562816,2,6
1521564687,2,8
1521566656,1,0
1521568570,3,4
1521570536,4,6
1521572378,2,3
1521574356,4,2
1521576377,3,18
1521578177,5,13
1521581064,7,11
1521582985,4,6
1521584914,1,3
1521588037,0,6
1521589947,4,2
1521591878,5,1
1521593776,6,2
1521595734,8,2
1521597700,6,5
1521599558,7,6
1521601728,13,5
1521603629,12,3
1521605547,3,2
1521607465,9,1
1521609398,6,2
1521611310,12,1
1521613222,12,3
1521615169,8,1
1521617064,13,1
1521618995,11,7
1521620901,14,3
1521622880,6,1
1521624746,6,1
1521626686,10,4
1521628581,5,0
1521630529,3,3
1521632423,4,0
1521634372,10,1
1521636272,13,2
1521638193,8,3
1521640144,2,2
1521642038,0,2
1521643977,2,3
1521645875,2,5
1521647803,1,3
1521649717,2,1
1521651708,3,2
1521653551,0,2
1521655480,6,2
1521657401,1,3
1521659321,4,1
1521661248,3,3
1521663151,2,3
1521665074,1,5
1521667080,2,3
1521672816,6,7
1521675585,4,2
1521677567,0,5
1521679478,1,5
1521682434,5,10
1521685719,6,11
1521687773,2,12
1521689574,2,8
1521691481,0,5
1521693632,2,10
1521695547,4,6
1521697462,9,13
1521699393,1,7
1521701572,2,16
1521703636,1,14
1521705876,2,19
1521707805,2,11
1521709726,4,5
1521711889,2,9
1521713788,3,6
1521715969,2,8
1521717871,2,3
1521719796,1,8
1521721724,1,14
1521723698,1,10
1521725552,1,6
1521727493,7,1
1521729408,3,1
1521731337,1,3
1521733248,3,1
1521735491,0,3
1521737318,2,1
1521739225,3,3
1521741163,1,7
1521743083,3,0
1521744981,3,6
1521746924,1,3
1521748926,0,2
1521751005,3,2
1521752929,1,2
1521754841,5,0
1521756745,2,0
1521758928,6,4
1521760830,5,3
1521762763,2,1
1521764677,3,1
1521768518,1,2
1521770518,2,2
1521772364,2,5
1521774275,1,3
1521776206,2,2
1521778126,4,1
1521780041,4,2
1521781954,5,3
1521783899,1,9
1521785803,2,0
1521787716,1,1
1521789642,4,1
1521791552,2,2
1521793487,2,2
1521795393,3,4
1521797316,2,1
1521799842,7,5
1521801879,4,1
1521803780,3,3
1521805728,1,1
1521807889,1,2
1521809791,3,1
1521811714,3,1
1521815127,4,7
1521816982,1,1
1521818919,1,2
1521821086,5,2
1521823005,2,2
1521824934,6,2
1521826831,3,2
1521828761,2,3
1521830702,4,6
1521832593,2,1
1521834513,4,0
1521836675,6,1
1521838903,3,3
1521840751,2,5
1521842692,5,2
1521845714,38,4
1521847957,5,3
1521849881,3,3
1521851785,3,1
1521853710,3,0
1521855867,3,2
1521857785,3,3
1521859712,2,0
1521861615,7,4
1521863550,2,1
1521865457,4,8
1521867498,1,1
1521869543,1,4
1521871473,3,1
1521873629,6,0
1521875561,5,3
1521877482,4,1
1521879388,3,3
1521881326,5,1
1521883228,3,3
1521885162,1,4
1521887079,1,8
1521888989,4,3
1521890909,4,3
1521892928,3,1
1521894751,6,0
1521896691,4,6
1521898587,2,2
1521900510,3,1
1521902427,2,1
1521904356,5,1
1521906278,2,1
1521908203,5,3
1521910111,0,2
1521912270,2,4
1521914201,2,3
1521916104,2,4
1521918081,6,4
1521919964,2,3
1521921873,3,3
1521923826,2,1
1521925714,4,2
1521927641,2,1
1521929546,2,7
1521931465,2,34
1521933401,5,2
1521935304,3,8
1521937232,6,0
1521939141,3,6
1521941078,2,2
1521942984,0,3
1521944916,2,3
1521946941,2,5
1521951156,7,7
1521956918,3,5
1521961104,2,10
1521962912,1,5
1521971557,5,14
1521973474,1,2
1521976353,3,7
1521978269,0,2
1521984811,3,13
1521986842,1,4
1521988714,2,4
1521990581,3,6
1521994416,4,9
1521998251,3,2
1522000063,0,1
1522005727,4,10
1522008770,1,3
1522010769,1,2
1522012584,2,2
1522014752,2,4
1522016678,5,1
1522018576,3,5
1522020767,2,5
1522022689,2,3
1522024580,0,5
1522026514,0,2
1522028428,4,4
1522030361,2,0
1522032286,1,2
1522034202,4,3
1522036099,5,2
