DateTime,Entries,UniqueIPs
1521234285,161,161
1521236205,160,160
1521238132,161,161
1521240034,162,162
1521241907,162,162
1521243858,160,160
1521245690,160,160
1521247497,160,160
1521249439,159,159
1521251322,153,153
1521253443,156,156
1521255376,156,156
1521257364,155,155
1521259327,155,155
1521261310,157,157
1521263297,154,154
1521265100,153,153
1521266927,150,150
1521268878,152,152
1521270759,152,152
1521272739,151,151
1521274581,151,151
1521276562,152,152
1521278435,150,150
1521280394,150,150
1521282275,150,150
1521284273,150,150
1521286099,154,154
1521288134,151,151
1521289967,148,148
1521291994,144,144
1521293798,144,144
1521295834,145,145
1521297640,144,144
1521299697,141,141
1521301592,139,139
1521303524,139,139
1521305431,136,136
1521307360,137,137
1521309286,136,136
1521311193,137,137
1521313120,139,139
1521315044,142,142
1521316976,140,140
1521318891,137,137
1521320926,141,141
1521323068,153,153
1521325008,184,184
1521326948,190,190
1521328894,190,190
1521330752,190,190
1521332663,186,186
1521334577,192,192
1521336496,196,196
1521338492,197,197
1521340338,193,193
1521342276,194,194
1521344432,194,194
1521346353,193,193
1521348291,193,193
1521350190,195,195
1521352106,196,196
1521354023,197,197
1521356078,200,200
1521358369,202,202
1521360273,201,201
1521362200,206,206
1521364126,208,208
1521366044,217,217
1521367950,215,215
1521369875,215,215
1521371792,212,212
1521373701,212,212
1521375637,209,209
1521377580,212,212
1521379477,218,218
1521381380,216,216
1521383313,219,219
1521385283,218,218
1521387151,219,219
1521389076,221,221
1521390996,223,223
1521392952,226,226
1521394842,229,229
1521396752,229,229
1521398682,226,226
1521400609,225,225
1521402746,226,226
1521404664,227,227
1521406584,225,225
1521408499,227,227
1521410491,207,207
1521413738,187,187
1521415697,189,189
1521417597,192,192
1521419549,193,193
1521421445,193,193
1521423639,191,191
1521425560,190,190
1521427485,191,191
1521429399,194,194
1521431425,195,195
1521433486,195,195
1521435398,194,194
1521437323,196,196
1521439308,194,194
1521441153,192,192
1521443085,189,189
1521445001,189,189
1521446908,190,190
1521449090,186,186
1521450998,189,189
1521452925,188,188
1521454831,190,190
1521456757,189,189
1521458671,195,195
1521460597,201,201
1521462508,214,214
1521464501,210,210
1521466355,209,209
1521468290,212,212
1521470195,218,218
1521472125,232,232
1521474038,233,233
1521475967,246,246
1521477889,243,243
1521480065,248,248
1521481952,246,246
1521483906,252,252
1521485789,249,249
1521487754,252,252
1521490717,271,271
1521492828,278,278
1521494679,279,279
1521496579,279,279
1521498498,276,276
1521500541,272,272
1521502373,274,274
1521504519,274,274
1521506420,272,272
1521508346,270,270
1521510273,274,274
1521512474,277,277
1521514495,275,275
1521516497,269,269
1521518309,271,271
1521520358,272,272
1521522166,268,268
1521524237,267,267
1521526242,264,264
1521528046,265,265
1521530150,266,266
