DateTime,Entries,UniqueIPs
1521241907,966,966
1521243858,976,976
1521245689,1012,1012
1521247497,1051,1051
1521249439,1083,1083
1521251321,1137,1137
1521253443,1170,1170
1521255376,1193,1193
1521257363,1239,1239
1521259327,1266,1266
1521261309,1299,1299
1521263296,1339,1339
1521265099,1366,1366
1521266927,1381,1381
1521268878,1408,1408
1521270759,1434,1434
1521272738,1462,1462
1521274580,1490,1490
1521276561,1511,1511
1521278435,1537,1537
1521280393,1578,1578
1521282274,1600,1600
1521284273,1638,1638
1521286099,1671,1671
1521288134,1693,1693
1521289966,1742,1742
1521291994,1767,1767
1521293798,1795,1795
1521295834,1835,1835
1521297640,1864,1864
1521299696,1839,1839
1521301592,1818,1818
1521303524,1860,1860
1521305431,1929,1929
1521307359,1949,1949
1521309286,2032,2032
1521311193,2074,2074
1521313119,2128,2128
1521315044,2108,2108
1521316976,2092,2092
1521318891,2074,2074
1521320926,2055,2055
1521323068,2035,2035
1521325008,2004,2004
1521326948,1984,1984
1521328894,1974,1974
1521330752,1958,1958
1521332662,1936,1936
1521334577,1905,1905
1521336496,1887,1887
1521338491,1854,1854
1521340338,1844,1844
1521342275,1835,1835
1521344432,1803,1803
1521346353,1793,1793
1521348291,1776,1776
1521350190,1768,1768
1521352106,1759,1759
1521354023,1749,1749
1521356078,1732,1732
1521358369,1724,1724
1521360272,1731,1731
1521362199,1739,1739
1521364126,1744,1744
1521366044,1747,1747
1521367950,1737,1737
1521369875,1742,1742
1521371792,1731,1731
1521373701,1745,1745
1521375637,1751,1751
1521377580,1741,1741
1521379477,1740,1740
1521381380,1730,1730
1521383313,1713,1713
1521385282,1729,1729
1521387151,1724,1724
1521389076,1726,1726
1521390996,1597,1597
1521392952,1557,1557
1521394842,1494,1494
1521396752,1428,1428
1521398682,1377,1377
1521400608,1313,1313
1521402746,1332,1332
1521404664,1322,1322
1521406584,1308,1308
1521408499,1291,1291
1521410491,1293,1293
1521413737,1290,1290
1521415697,1292,1292
1521417597,1293,1293
1521419549,1298,1298
1521421445,1305,1305
1521423639,1303,1303
1521425559,1302,1302
1521427484,1305,1305
1521429399,1296,1296
1521431424,1293,1293
1521433485,1299,1299
1521435398,1303,1303
1521437323,1317,1317
1521439308,1308,1308
1521441153,1318,1318
1521443085,1321,1321
1521445001,1315,1315
1521446908,1307,1307
1521449089,1303,1303
1521450998,1293,1293
1521452925,1287,1287
1521454831,1288,1288
1521456757,1274,1274
1521458670,1255,1255
1521460596,1253,1253
1521462507,1229,1229
1521464501,1222,1222
1521466354,1218,1218
1521468289,1216,1216
1521470195,1194,1194
1521472125,1168,1168
1521474038,1169,1169
1521475967,1150,1150
1521477888,1151,1151
1521480065,1147,1147
1521481952,1142,1142
1521483906,1149,1149
1521485789,1169,1169
1521487754,1457,1457
1521490716,1625,1625
1521492827,1624,1624
1521494678,1648,1648
1521496579,1649,1649
1521498497,1658,1658
1521500541,1652,1652
1521502372,1645,1645
1521504519,1643,1643
1521506419,1627,1627
1521508346,1608,1608
1521510273,1601,1601
1521512474,1582,1582
1521514494,1575,1575
1521516497,1556,1556
1521518308,1554,1554
1521520358,1544,1544
1521522166,1546,1546
1521524237,1541,1541
1521526242,1547,1547
1521528045,1548,1548
1521530150,1544,1544
1521532103,1555,1555
1521533928,1552,1552
1521535934,1580,1580
1521537858,1677,1677
1521539774,1701,1701
1521541592,1749,1749
1521543402,1763,1763
1521545473,1810,1810
1521547283,1864,1864
1521549318,1895,1895
1521551306,1974,1974
1521553144,1989,1989
1521555185,2040,2040
1521557057,2083,2083
1521558979,2119,2119
1521560814,2137,2137
1521562816,2162,2162
1521564686,2172,2172
1521566656,2190,2190
1521568569,2266,2266
1521570536,2271,2271
1521572378,2264,2264
1521574355,1782,1782
1521576376,1773,1773
1521578177,1779,1779
1521581064,1767,1767
1521582984,1768,1768
1521584914,1759,1759
1521588037,1770,1770
1521589947,1780,1780
1521591878,1797,1797
1521593776,1800,1800
