DateTime,AddedIPs,RemovedIPs
1512429651,7,5
1512516735,2,0
1512604113,5,0
1512691293,1,4
1512778543,1,10
1512865721,0,9
1512952852,0,15
1513039961,2,3
1513127084,4,0
1513214325,2,2
1513301579,2,1
1513388659,1,1
1513476147,2,1
1513563152,1,0
1513650267,3,2
1513737667,1,1
1513824692,3,5
1513911876,4,7
1513998997,1,17
1514086133,0,21
1514173231,0,9
1514260366,0,5
1514347833,0,1
1514434850,2,0
1514522208,3,2
1514609742,5,4
1514697052,0,6
1514784354,0,5
1514871414,1,2
1514958541,2,2
1515176741,3,9
1515264033,0,3
1515351313,1,1
1515438360,0,1
1515526271,0,2
1515613409,0,3
1515700587,1,4
1515787716,0,3
1515875197,11,3
1515962851,22,0
1516050095,10,2
1516137422,8,2
1516224603,9,4
1516311914,10,0
1516399001,3,3
1516486121,2,2
1516573287,0,3
1516660379,3,1
1516747483,3,0
1516835039,1,0
1516922248,2,0
1517009334,4,4
1517096455,0,3
1517183560,9,5
1517270930,10,0
1517358050,14,1
1517445147,12,1
1517532268,6,1
1517619396,3,1
1517706532,4,2
1517793901,6,0
1517968097,1,0
1518055304,0,1
1518403973,1,0
1518491317,0,20
1518578675,3,10
1518665827,7,6
1518753169,7,7
1518840283,1,4
1518927409,0,10
1519014528,1,4
1519101744,4,1
1519188750,2,0
1519275804,0,1
1519363016,0,1
1519450112,1,0
1519624366,1,0
1519711393,4,5
1519798613,0,9
1519885728,2,13
1519973084,1,10
1520060476,0,12
1520147583,1,7
1520234677,0,7
1520322038,0,10
1520409402,1,3
1520496759,1,1
1520671229,1,0
1520758362,2,2
1520932835,1,0
1521019965,3,2
1521107201,1,0
1521194484,0,3
1521281797,3,8
1521368910,2,1
1521456310,1,3
1521543403,0,830
1521630529,3,1
1521717626,1,4
1521804660,2,0
1521891878,1,1
1522110140,3,0
1522197162,0,1
1522284278,2,5
1522371378,0,11
1522458924,0,1
1522546098,0,1
1522633228,0,2
1522720353,0,1
1522807723,0,1
