DateTime,AddedIPs,RemovedIPs
1518849875,1,1
1518851802,1,2
1518855639,1,0
1518857555,0,2
1518859474,1,1
1518861397,2,2
1518863325,1,1
1518865476,2,1
1518867403,1,3
1518869436,0,1
1518871493,1,3
1518873755,2,1
1518875889,2,2
1518877977,1,0
1518879875,0,3
1518882047,2,0
1518883963,1,2
1518886082,2,1
1518888019,1,1
1518891881,4,1
1518894232,1,2
1518896177,1,4
1518898065,0,4
1518900045,1,2
1518902221,0,1
1518904135,0,1
1518906298,1,2
1518908206,1,0
1518910959,1,0
1518916613,2,1
1518918772,0,1
1518920663,1,0
1518922882,1,1
1518925161,1,0
1518927412,1,0
1518929339,0,1
1518931231,0,1
1518933169,1,3
1518935067,0,1
1518937004,1,1
1518938923,0,1
1518941047,2,0
1518942979,0,1
1518947869,2,3
1518949710,1,1
1518951697,1,2
1518953572,3,0
1518955503,1,1
1518957633,1,1
1518959565,0,2
1518961476,1,1
1518963397,0,1
1518965240,2,1
1518967230,4,1
1518969382,1,2
1518971298,0,1
1518973470,1,2
1518975385,2,0
1518979223,2,4
1518981206,3,2
1518983072,1,0
1518985008,1,0
1518986932,0,1
1518990746,1,0
1518992663,0,1
1518995832,2,1
1518997706,1,1
1519002081,0,1
1519003970,1,1
1519005889,3,0
1519007809,0,1
1519009714,2,1
1519011647,0,1
1519015514,2,1
1519017404,1,0
1519019324,0,1
1519021241,1,0
1519023165,0,1
1519027007,0,1
1519028918,1,1
1519030871,1,0
1519034929,3,3
1519039004,1,3
1519040897,0,2
1519042955,1,0
1519045276,3,1
1519047412,0,1
1519049330,2,0
1519051244,1,2
1519053147,0,3
1519055087,1,2
1519057015,3,0
1519059164,1,1
1519061067,1,1
1519062981,2,1
1519065237,4,2
1519067108,2,3
1519069266,2,1
1519071408,1,1
1519076445,2,0
1519078274,1,1
1519080531,4,2
1519082450,1,0
1519084364,1,1
1519086537,3,0
1519088531,1,0
1519090369,1,1
1519092282,1,3
1519094208,1,0
1519096121,0,2
1519098012,4,0
1519100207,3,1
1519102131,1,1
1519104037,2,1
1519105981,1,0
1519107868,1,1
1519109819,1,0
1519113688,2,1
1519117518,1,1
1519119388,2,1
1519121341,0,2
1519123229,1,0
1519125324,1,0
1519127304,1,1
1519129142,0,1
1519131136,1,2
1519132984,4,1
1519134975,0,2
1519136906,1,0
1519138884,2,1
1519142660,0,1
1519144656,1,4
1519146533,2,0
1519149739,2,4
1519151815,1,4
1519153967,0,1
1519155859,2,3
1519157838,2,0
1519161534,1,1
1519163562,0,2
1519167385,0,4
1519169303,0,2
1519173187,0,3
1519175080,0,1
1519177042,0,1
1519178925,1,1
1519181135,0,1
1519182980,0,1
1519185199,1,3
1519187071,0,3
1519189085,0,1
1519190907,0,2
1519193005,1,1
1519194994,0,1
1519197097,0,1
1519199331,0,1
1519201257,0,1
1519205329,0,3
1519207316,1,0
1519211073,0,2
1519213230,0,1
1519217577,0,1
1519219493,0,4
1519223566,0,1
1519225746,0,2
1519231652,0,1
1519233625,0,2
1519235550,0,2
1519237475,0,1
1519241555,0,1
1519243721,0,3
1519247797,1,1
1519260240,1,0
1519266016,0,1
1519269893,0,1
1519279932,0,1
1519294127,0,1
1519296042,1,0
1519319561,1,0
1519333312,0,1
1519347409,0,1
1519353171,1,0
1519360829,1,0
1519384142,0,1
1519392022,1,0
1519406201,0,1
1519413861,1,0
1519432105,1,0
1519438121,1,0
1519440050,0,1
1519447730,0,1
1519478212,0,1
1519486452,2,0
1519490918,1,0
1519500453,0,1
1519510098,1,0
1519513388,1,0
1519519473,0,1
1519525483,1,1
1519529315,1,0
1519548770,1,0
1519556648,1,0
1519571919,0,1
1519573720,0,1
1519576038,0,1
1519578119,1,0
1519588133,1,0
1519596095,0,1
1519600107,0,1
1519605946,1,0
1519612097,0,1
1519614081,0,1
1519635408,0,1
1519643094,0,1
1519648835,1,0
1519658910,1,0
1519665129,0,1
1519674752,0,1
1519693969,0,1
1519699928,1,0
1519723498,1,0
1519734050,0,1
1519735883,1,0
1519746276,0,1
1519759242,2,0
1519765295,1,0
1519786592,1,1
1519792357,1,0
1519809885,0,1
1519815682,1,0
1519821386,0,1
1519825245,2,0
1519833753,1,0
1519845751,0,2
1519851411,0,1
1519855302,1,0
1519872017,0,1
1519878037,0,1
1519897237,2,0
1519903003,0,1
1519908759,1,0
1519912597,0,2
1519918354,0,1
1519928210,1,0
1519932039,2,0
1519941692,0,1
1519944531,1,0
1519958197,1,0
1519969708,1,0
1519979558,1,0
1519981494,1,0
1519983397,0,2
1519992086,1,0
1519993965,0,1
1520015318,0,1
1520019171,0,2
1520030662,0,1
1520044634,0,1
1520056207,0,1
1520059989,1,0
1520065819,0,1
1520067741,0,1
1520077335,0,1
1520132237,1,0
1520143789,1,0
1520145875,1,1
1520170879,1,0
1520192433,3,0
1520218154,0,1
1520231848,0,2
1520256817,0,1
1520274706,1,0
1520276763,1,0
1520278608,0,3
1520286776,1,0
1520323971,3,0
1520325881,1,0
1520329717,2,0
1520331646,1,0
1520358774,1,0
1520360910,0,1
1520362880,1,1
1520370774,3,0
1520372662,0,1
1520376515,1,0
1520399797,1,0
1520411310,0,3
1520413301,0,1
1520415160,0,1
1520417326,0,2
1520446457,0,1
1520448276,0,1
1520455967,1,0
1520457863,0,3
1520463869,0,1
1520475940,1,0
1520485583,0,1
1520507789,1,0
1520523998,1,0
1520530115,1,0
1520541622,0,1
1520562789,0,1
1520595619,0,1
1520601375,1,0
1520611471,0,1
1520615310,0,1
1520619145,1,0
1520632598,1,0
1520655440,1,0
1520686151,0,1
1520705550,0,1
1520718891,0,1
1520738916,0,1
1520806123,3,0
1520864336,1,0
1520877399,1,0
1520883320,1,0
1520885294,1,0
1520889880,2,0
1520893968,0,3
1520911943,1,0
1520925632,2,0
1520931388,1,0
1520937156,3,0
1520948694,1,0
1520950602,2,0
1520952526,1,1
1520954429,2,0
1520956345,1,0
1520958274,3,0
1520960216,1,0
1520962113,5,0
1520964078,3,1
1520966038,2,0
1520968134,0,1
1520972437,0,1
1520976279,0,2
1520995464,2,0
1520999304,0,1
1521012767,0,2
1521018529,2,1
1521020445,1,0
1521024530,0,3
1521026442,1,0
1521036187,0,1
1521038178,2,2
1521039989,1,2
1521041801,0,2
1521043630,0,2
1521045480,0,2
1521047493,0,3
1521049460,2,3
1521051276,2,3
1521053313,0,1
1521055117,5,0
1521056990,2,0
1521058926,3,0
1521060765,1,0
1521062830,3,0
1521064896,1,0
1521066745,3,0
1521068547,3,0
1521071090,4,0
1521072989,1,0
1521074863,2,0
1521076822,1,0
1521078749,3,0
1521080698,2,0
1521082567,2,2
1521084504,1,0
1521086368,3,0
1521088340,1,0
1521092181,6,0
1521094116,1,0
1521096017,1,0
1521105482,0,2
1521107560,2,1
1521113299,0,1
1521125013,0,2
1521127235,0,1
1521137111,0,4
1521140922,0,4
1521142827,0,3
1521144752,0,3
1521146678,0,1
1521148598,0,2
1521150509,0,1
1521152437,0,2
1521154356,0,5
1521156435,0,4
1521158562,0,1
1521160639,0,1
1521162688,1,2
1521164996,0,2
1521166833,0,2
1521168796,0,3
1521170665,0,1
1521172645,0,2
1521174503,0,2
1521176535,1,0
1521178361,0,6
1521180303,0,1
1521182191,0,1
1521187999,1,0
1521193708,0,2
1521201483,1,0
1521205285,1,0
1521224681,1,0
1521241908,1,0
1521249440,0,1
1521261311,0,1
1521274581,0,1
1521278436,1,0
1521282275,1,0
1521288135,0,1
1521291995,0,1
1521299698,1,0
1521311194,0,1
1521328895,0,1
1521360273,1,0
1521364127,0,1
1521369876,0,1
1521375638,1,0
1521387152,0,1
1521439309,1,0
1521446909,0,1
1521449091,1,0
1521462509,0,1
1521477890,2,0
1521526243,0,1
1521532105,4,0
1521535935,0,1
1521543406,1,0
1521560815,3,0
1521562817,0,2
1521615170,1,0
1521618996,0,4
1521620902,1,0
1521630532,0,1
1521636273,1,0
1521642039,2,0
1521647804,0,3
1521701573,0,1
1521707807,0,1
1521721725,0,1
1521727494,0,2
1521730458,1,0
1521811714,1,0
1521816983,0,1
1521842693,1,0
1521855868,1,0
1521859713,1,0
1521892929,1,0
1521898588,0,1
1521904357,1,0
1521906280,1,0
1521908204,1,0
1521910112,1,0
1521912271,1,0
1521914202,1,0
1521929547,0,1
1521941079,0,1
1521946942,0,1
1521951157,1,0
1521978269,0,1
1521994418,0,3
1521996260,0,1
1521998252,0,1
1522000064,0,1
1522032286,0,1
1522047381,1,0
1522054106,1,0
1522073082,3,0
1522078843,1,0
1522096115,1,0
1522104535,1,0
1522107856,3,0
1522131861,1,0
1522133777,2,1
1522135716,1,0
1522139560,1,1
1522149874,2,0
1522152127,2,0
1522154157,2,0
1522157965,0,3
1522162122,4,0
1522164034,1,1
1522181571,0,1
1522189666,1,1
1522193792,1,3
1522195723,1,0
1522220275,0,3
1522223625,0,1
1522241098,1,12
1522243439,5,0
1522249724,0,4
1522251629,0,1
1522278336,0,1
1522282530,0,2
1522325060,0,1
