DateTime,Entries,UniqueIPs
1518849875,53,53
1518851802,52,52
1518855639,53,53
1518857555,51,51
1518859474,51,51
1518861397,51,51
1518863325,51,51
1518865476,52,52
1518867403,50,50
1518869436,49,49
1518871493,47,47
1518873755,48,48
1518875889,48,48
1518877977,49,49
1518879875,46,46
1518882047,48,48
1518883963,47,47
1518886082,48,48
1518888019,48,48
1518891881,51,51
1518894232,50,50
1518896177,47,47
1518898065,43,43
1518900045,42,42
1518902221,41,41
1518904135,40,40
1518906298,39,39
1518908206,40,40
1518910959,41,41
1518916613,42,42
1518918772,41,41
1518920663,42,42
1518922882,42,42
1518925161,43,43
1518927412,44,44
1518929339,43,43
1518931231,42,42
1518933169,40,40
1518935067,39,39
1518937004,39,39
1518938923,38,38
1518941047,40,40
1518942979,39,39
1518947869,38,38
1518949710,38,38
1518951697,37,37
1518953572,40,40
1518955503,40,40
1518957633,40,40
1518959565,38,38
1518961476,38,38
1518963397,37,37
1518965240,38,38
1518967230,41,41
1518969382,40,40
1518971298,39,39
1518973470,38,38
1518975385,40,40
1518979223,38,38
1518981206,39,39
1518983072,40,40
1518985008,41,41
1518986932,40,40
1518990746,41,41
1518992663,40,40
1518995832,41,41
1518997706,41,41
1519002081,40,40
1519003970,40,40
1519005889,43,43
1519007809,42,42
1519009714,43,43
1519011647,42,42
1519015514,43,43
1519017404,44,44
1519019324,43,43
1519021241,44,44
1519023165,43,43
1519027007,42,42
1519028918,42,42
1519030871,43,43
1519034929,43,43
1519039004,41,41
1519040897,39,39
1519042955,40,40
1519045276,42,42
1519047412,41,41
1519049330,43,43
1519051244,42,42
1519053147,39,39
1519055087,38,38
1519057015,41,41
1519059164,41,41
1519061067,41,41
1519062981,42,42
1519065237,44,44
1519067108,43,43
1519069266,44,44
1519071408,44,44
1519076445,46,46
1519078274,46,46
1519080531,48,48
1519082450,49,49
1519084364,49,49
1519086537,52,52
1519088531,53,53
1519090369,53,53
1519092282,51,51
1519094208,52,52
1519096121,50,50
1519098012,54,54
1519100207,56,56
1519102131,56,56
1519104037,57,57
