DateTime,AddedIPs,RemovedIPs
1512401315,0,1
1512480035,1,0
1512481961,12,0
1512565504,0,13
1512576074,1,0
1512663639,8,1
1512748134,0,8
1512933428,2,0
1513017415,0,2
1513088537,5,0
1513173183,0,5
1513190917,2,0
1513276120,0,2
1513294516,9,0
1513353699,3,0
1513381226,0,6
1513438377,0,6
1513550431,6,0
1513635511,0,6
1513679494,1,0
1513681470,7,0
1513765059,0,8
1513988186,5,0
1514043395,3,0
1514076060,0,5
1514129398,0,3
1514151164,1,0
1514238438,7,1
1514323045,0,7
1514395077,5,0
1514479665,0,5
1514503091,4,0
1514505173,1,0
1514589995,1,4
1514592138,5,0
1514644846,5,0
1514677861,0,6
1514729352,0,6
1514831699,3,0
1514896374,1,0
1514919182,0,3
1514979640,0,1
1515011424,3,0
1515133546,2,3
1515166612,0,2
1515185805,2,0
1515249608,3,0
1515272828,0,1
1515335006,0,4
1515453406,1,0
1515455324,2,0
1515538382,0,3
1515619480,6,0
1515705440,0,6
1515782200,1,0
1515867890,0,1
1515877244,2,0
1515962127,0,2
1516038761,4,0
1516124441,0,4
1516145819,2,0
1516199673,4,0
1516233556,0,1
1516284835,0,5
1516312884,4,0
1516399932,16,4
1516401818,19,0
1516485892,0,15
1516489274,3,20
1516574223,0,3
1516646417,2,0
1516648592,4,0
1516732850,0,2
1516742921,2,4
1516828397,0,2
1516909723,7,0
1516993959,0,7
1516999708,11,0
1517051331,3,0
1517086685,0,11
1517134518,0,3
1517184139,4,0
1517269318,0,4
1517322104,7,0
1517407750,0,7
1517486735,8,0
1517571649,0,8
1517666923,2,0
1517668824,2,0
1517753333,0,2
1517832693,5,1
1517916957,0,6
1517926826,5,0
1518012134,0,4
1518088834,1,1
1518173084,0,1
1518210112,6,0
1518295503,0,6
1518515722,5,0
1518601740,0,5
1518638532,6,0
1518723276,0,6
1518796428,6,0
1518882048,0,6
1518924265,3,0
1518998684,1,0
1519012111,0,3
1519080532,1,0
1519086537,0,1
1519163562,0,1
1519244924,5,0
1519329397,0,5
1519414345,6,0
1519418188,5,0
1519420090,4,0
1519502490,0,6
1519504341,0,9
1519520198,5,0
1519605946,0,5
1519704690,3,0
1519755419,6,0
1519792358,0,3
1519839642,0,6
1519853347,3,0
1519937788,0,3
1520033101,3,0
1520116611,7,0
1520120581,0,3
1520202288,0,6
1520211864,1,1
1520270193,4,0
1520351090,3,0
1520356935,0,5
1520434589,0,3
1520491302,3,0
1520493306,1,0
1520576204,0,4
1520702172,3,0
1520787956,0,3
1520803375,1,0
1520887866,0,1
1520990410,1,0
1520992715,2,0
1521076822,0,1
1521087186,1,2
1521089060,3,0
1521158562,1,0
1521174503,0,4
1521241908,0,1
1521491327,6,0
1521576378,0,6
1521715970,1,0
1521801881,0,1
1521923446,2,0
1521929079,6,0
1522010770,0,2
1522012585,0,6
1522187060,1,0
1522220276,1,0
1522276491,0,1
1522305904,0,1
