DateTime,Entries,UniqueIPs
1512342232,1,1
1512401315,0,0
1512480035,1,1
1512481961,13,13
1512565504,0,0
1512576074,1,1
1512663639,8,8
1512748134,0,0
1512933428,2,2
1513017415,0,0
1513088537,5,5
1513173183,0,0
1513190917,2,2
1513276120,0,0
1513294516,9,9
1513353699,12,12
1513381226,6,6
1513438377,0,0
1513550431,6,6
1513635511,0,0
1513679494,1,1
1513681470,8,8
1513765059,0,0
1513988186,5,5
1514043395,8,8
1514076060,3,3
1514129398,0,0
1514151164,1,1
1514238438,7,7
1514323045,0,0
1514395077,5,5
1514479665,0,0
1514503091,4,4
1514505173,5,5
1514589995,2,2
1514592138,7,7
1514644846,12,12
1514677861,6,6
1514729352,0,0
1514831699,3,3
1514896374,4,4
1514919182,1,1
1514979640,0,0
1515011424,3,3
1515133546,2,2
1515166612,0,0
1515185805,2,2
1515249608,5,5
1515272828,4,4
1515335006,0,0
1515453406,1,1
1515455324,3,3
1515538382,0,0
1515619480,6,6
1515705440,0,0
1515782200,1,1
1515867890,0,0
1515877244,2,2
1515962127,0,0
1516038761,4,4
1516124441,0,0
1516145819,2,2
1516199673,6,6
1516233556,5,5
1516284835,0,0
1516312884,4,4
1516399932,16,16
1516401818,35,35
1516485892,20,20
1516489274,3,3
1516574223,0,0
1516646417,2,2
1516648592,6,6
1516732850,4,4
1516742921,2,2
1516828397,0,0
1516909723,7,7
1516993959,0,0
1516999708,11,11
1517051331,14,14
1517086685,3,3
1517134518,0,0
1517184139,4,4
1517269318,0,0
1517322104,7,7
1517407750,0,0
1517486735,8,8
1517571649,0,0
1517666923,2,2
1517668824,4,4
1517753333,2,2
1517832693,6,6
1517916957,0,0
1517926826,5,5
1518012134,1,1
1518088834,1,1
1518173084,0,0
1518210112,6,6
1518295503,0,0
1518515722,5,5
1518601740,0,0
1518638532,6,6
1518723276,0,0
1518796428,6,6
1518882048,0,0
1518924265,3,3
1518998684,4,4
1519012111,1,1
1519080532,2,2
1519086537,1,1
1519163562,0,0
1519244924,5,5
1519329397,0,0
1519414345,6,6
1519418188,11,11
1519420090,15,15
1519502490,9,9
1519504341,0,0
1519520198,5,5
1519605946,0,0
1519704690,3,3
1519755419,9,9
1519792358,6,6
1519839642,0,0
1519853347,3,3
1519937788,0,0
1520033101,3,3
1520116611,10,10
1520120581,7,7
1520202288,1,1
1520211864,1,1
1520270193,5,5
1520351090,8,8
1520356935,3,3
1520434589,0,0
1520491302,3,3
1520493306,4,4
1520576204,0,0
1520702172,3,3
1520787956,0,0
1520803375,1,1
1520887866,0,0
1520990410,1,1
1520992715,3,3
1521076822,2,2
1521087186,1,1
1521089060,4,4
1521158562,5,5
1521174503,1,1
1521241908,0,0
1521491327,6,6
1521576378,0,0
1521715970,1,1
1521801881,0,0
1521923446,2,2
1521929079,8,8
1522010770,6,6
1522012585,0,0
1522187060,1,1
1522220276,2,2
1522276491,1,1
1522305904,0,0
