DateTime,AddedIPs,RemovedIPs
1521241908,9,3
1521243859,10,2
1521245691,3,0
1521247498,3,7
1521249441,0,1
1521251323,2,3
1521253445,8,1
1521255378,4,1
1521257365,7,3
1521259328,3,3
1521261311,3,1
1521263298,4,2
1521265101,0,7
1521266929,2,3
1521268880,4,1
1521270760,16,1
1521272740,3,2
1521274582,3,2
1521276563,4,9
1521278436,1,12
1521280395,6,2
1521282276,1,2
1521284274,5,2
1521286100,3,1
1521288136,3,2
1521289969,3,4
1521291996,2,1
1521293800,2,4
1521295836,2,12
1521297642,3,4
1521299698,4,2
1521301593,2,0
1521303526,2,4
1521305432,1,5
1521307361,0,4
1521309287,8,4
1521311194,1,1
1521313121,15,3
1521315046,1,3
1521316977,4,2
1521318893,12,5
1521320928,0,1
1521323069,4,3
1521325009,2,0
1521326949,6,4
1521328895,0,10
1521330754,1,8
1521332664,5,5
1521334578,4,2
1521336497,0,1
1521338493,3,0
1521340340,2,8
1521342277,0,3
1521344433,8,6
1521346354,2,4
1521348292,4,1
1521350191,1,0
1521352108,1,0
1521354024,1,4
1521356080,2,16
1521358370,1,5
1521360274,1,2
1521362201,1,2
1521364128,1,4
1521366046,3,3
1521367951,3,4
1521369876,3,3
1521371793,10,6
1521373702,4,3
1521375638,7,1
1521377582,3,2
1521379478,4,3
1521381381,3,1
1521383314,3,1
1521385284,1,5
1521387153,2,4
1521389077,0,1
1521390998,19,3
1521392954,9,0
1521394844,1,7
1521396753,1,1
1521398684,4,14
1521400610,3,9
1521402747,8,3
1521404665,5,12
1521406585,5,1
1521408500,1,3
1521410493,8,1
1521413739,6,7
1521415699,6,1
1521417599,2,1
1521419551,3,5
1521421446,1,1
1521423640,4,2
1521425561,5,2
1521427486,4,2
1521429400,2,0
1521431426,2,10
1521433487,2,2
1521435400,1,4
1521437325,0,1
1521439309,0,2
1521441155,1,0
1521443086,3,3
1521445002,4,0
1521446909,19,1
1521449091,9,1
1521450999,7,1
1521452927,2,5
1521454833,4,2
1521456759,11,6
1521458672,1,7
1521460598,1,4
1521462509,1,6
1521464502,4,4
1521466357,2,4
1521468291,2,2
1521470196,4,2
1521472127,3,2
1521474040,4,1
1521475969,1,1
1521477890,1,25
1521480067,2,5
1521481953,4,1
1521483908,4,1
1521485791,3,3
1521487757,3,6
1521490718,5,13
1521492829,5,6
1521494680,11,2
1521496581,2,8
1521498499,7,4
1521500542,7,4
1521502374,10,2
1521504521,5,2
1521506421,4,1
1521508348,6,2
1521510274,7,4
1521512475,4,5
1521514496,5,6
1521516499,9,1
1521518310,1,2
1521520359,1,2
1521522167,3,1
1521524238,8,1
1521526244,5,1
1521528047,1,1
1521530152,4,6
1521532106,1,1
1521533930,3,17
1521535936,2,10
1521537860,7,8
1521539776,1,1
1521541594,3,10
1521543406,1,4
1521545475,3,0
1521547345,0,1
1521549320,4,2
1521551308,1,6
1521553146,2,1
1521555187,3,1
1521557058,11,3
1521558980,5,3
1521560815,5,2
1521562818,1,2
1521564688,1,1
1521566657,4,3
1521568571,3,4
1521570538,1,5
1521572380,2,2
1521574357,2,3
1521576378,1,4
1521578179,2,4
1521581065,11,11
1521582986,12,2
1521584916,4,6
1521586922,4,9
1521588747,7,10
1521590655,11,3
1521592592,8,6
1521594507,16,3
1521596427,7,7
1521598334,8,4
1521600268,9,5
1521602186,12,10
1521604093,7,0
1521606139,15,2
1521607940,15,3
1521609869,23,8
1521611800,22,5
1521613693,14,2
1521615707,25,1
1521617553,24,3
1521619471,22,3
1521621373,24,3
1521623318,21,2
1521625215,25,1
1521627148,18,2
1521629063,13,2
1521630986,1,1
1521632896,9,8
1521634829,16,3
1521636752,1,3
1521638672,4,3
1521640577,2,2
1521642511,4,5
1521644465,3,6
1521646350,3,8
1521648267,173,1
1521650216,2,1
1521652141,7,5
1521654037,2,2
1521655954,0,3
1521657863,1,1
1521659800,4,1
1521661887,11,3
1521664104,55,2
