DateTime,Entries,UniqueIPs
1512342237,9,9
1512386220,8,8
1512430370,7,7
1512452479,8,8
1512497054,8,8
1512518926,7,7
1512541017,6,6
1512650929,5,5
1512673112,4,4
1512739386,3,3
1512893568,5,5
1512981875,6,6
1513026260,29,29
1513136208,31,31
1513180121,31,31
1513257635,32,32
1513279478,34,34
1513323627,35,35
1513345723,36,36
1513477999,35,35
1513521874,36,36
1513543963,35,35
1513588160,34,34
1513632046,11,11
1513741974,10,10
1513786413,9,9
1513874667,8,8
1513985817,6,6
1514007886,5,5
1514227968,19,19
1514359756,41,41
1514382051,40,40
1514469951,41,41
1514491960,42,42
1514514029,42,42
1514602017,43,43
1514646164,44,44
1514734290,45,45
1514822211,31,31
1514888468,32,32
1514976374,8,8
1515133546,21,21
1515222399,19,19
1515244611,27,27
1515288513,28,28
1515354531,41,41
1515464924,43,43
1515486942,44,44
1515642130,54,54
1515752084,55,55
1515796611,54,54
1515818694,55,55
1515840750,47,47
1515884874,48,48
1515906785,56,56
1515951363,54,54
1516061822,53,53
1516215880,54,54
1516281958,55,55
1516303953,55,55
1516370484,54,54
1516414903,28,28
1516536544,27,27
1516712183,28,28
1516756138,29,29
1516778179,28,28
1516932523,29,29
1516976668,30,30
1516998774,29,29
1517064877,21,21
1517130983,20,20
1517175316,21,21
1517197215,22,22
1517285329,8,8
1517505420,6,6
1517549579,5,5
1517660134,6,6
1517770630,7,7
1517792474,6,6
1517902344,5,5
1517924187,4,4
1518256156,4,4
1518278483,4,4
1518344685,5,5
1518366767,4,4
1518388829,18,18
1518433025,19,19
1518851330,18,18
1518983541,4,4
1519027479,3,3
1519137713,2,2
1519159720,3,3
1519203715,4,4
1519225747,5,5
1519247798,6,6
1519269893,7,7
1519380290,8,8
1519424198,23,23
1519513389,24,24
1519601552,23,23
1519756559,22,22
1519822881,21,21
1519844919,20,20
1519867044,19,19
1519999867,18,18
1520022039,17,17
1520110363,16,16
1520242360,17,17
1520417827,18,18
1520505873,17,17
1520616280,18,18
1520704349,5,5
1520837071,18,18
1520859082,20,20
1521323070,19,19
1521421728,5,5
1521531628,4,4
1521641661,5,5
1521663640,19,19
1521685722,20,20
1521972257,21,21
1522149166,20,20
1522193080,21,21
1522282530,6,6
1522304438,4,4
1522326761,3,3
1522790444,2,2
1522812606,1,1
