DateTime,AddedIPs,RemovedIPs
1520331647,0,1
1520337386,1,0
1520341292,0,1
1520343172,0,2
1520345422,0,2
1520347252,0,1
1520349161,1,0
1520351091,1,0
1520353020,1,1
1520356939,1,0
1520358776,1,1
1520360912,1,0
1520364779,3,0
1520366954,3,0
1520368832,0,2
1520372664,1,0
1520374583,1,0
1520388290,1,0
1520390214,2,1
1520392120,1,1
1520394032,1,0
1520395956,1,0
1520397879,1,0
1520399798,1,0
1520403636,0,2
1520405555,1,0
1520407471,1,0
1520413303,0,1
1520415161,0,1
1520417328,1,1
1520421159,1,0
1520423081,1,1
1520426912,1,0
1520430759,1,0
1520436513,1,1
1520438503,3,1
1520440365,0,1
1520442279,2,1
1520444436,2,0
1520446458,0,2
1520450203,3,1
1520452122,0,4
1520454038,0,1
1520455968,1,0
1520457864,2,0
1520460089,2,2
1520465799,1,0
1520467994,1,0
1520469951,1,0
1520472082,1,0
1520474112,1,1
1520475941,1,1
1520479752,1,2
1520481787,3,1
1520483604,0,1
1520485585,0,1
1520487431,3,0
1520491303,1,0
1520493307,0,2
1520495320,2,1
1520499472,1,0
1520501481,2,0
1520503894,2,1
1520505874,1,0
1520507790,1,2
1520511888,1,0
1520513796,0,1
1520517893,1,1
1520519964,1,0
1520521943,1,1
1520523999,0,1
1520526026,0,2
1520528192,2,1
1520530116,1,3
1520533952,2,0
1520535861,11,3
1520537784,1,0
1520539723,2,0
1520543543,0,1
1520545478,0,4
1520549315,5,0
1520551242,1,0
1520553145,2,1
1520555086,1,2
1520557010,1,1
1520560933,0,1
1520562790,0,1
1520564685,2,0
1520566601,0,1
1520568525,0,3
1520572361,0,1
1520574281,1,2
1520578130,0,1
1520580048,0,1
1520581943,1,1
1520585794,0,1
1520587958,1,2
1520589882,1,2
1520591788,1,0
1520593728,1,2
1520595620,1,0
1520597554,1,1
1520603473,1,0
1520605457,1,2
1520607673,0,1
1520611472,2,0
1520613393,3,1
1520615312,0,2
1520617238,1,0
1520621089,0,3
1520622995,1,1
1520626822,0,2
1520635560,0,13
1520637448,1,3
1520639443,1,2
1520641286,0,1
1520643161,0,1
1520645149,1,0
1520647336,2,0
1520649289,2,0
1520651311,1,2
1520655441,1,0
1520657314,2,0
1520659266,2,1
1520661162,1,0
1520663086,1,0
1520666933,1,0
1520668899,0,1
1520672672,0,1
1520676523,0,1
1520678453,0,1
1520680372,0,2
1520682318,0,1
1520684205,1,0
1520689998,0,1
1520691883,1,1
1520695713,3,0
1520697706,0,2
1520699554,0,2
1520701504,1,1
1520703667,0,1
1520707489,2,0
1520709393,0,1
1520713226,3,0
1520718892,1,0
1520722642,3,0
1520724850,0,1
1520726925,0,1
1520730999,3,1
1520733020,0,2
1520734831,1,2
1520737006,0,1
1520740887,1,1
1520744709,1,3
1520746592,0,1
1520748522,0,1
1520750674,1,1
1520752592,1,1
1520756426,1,0
1520758367,1,0
1520760265,1,0
1520762183,1,0
1520766116,1,0
1520768198,1,0
1520770132,0,1
1520773970,1,0
1520778283,1,1
1520780206,1,0
1520782110,0,3
1520787957,0,1
1520793878,1,2
1520797949,1,2
1520799898,1,1
1520803745,1,0
1520805679,1,1
1520809481,0,3
1520813567,1,0
1520815483,5,1
1520817410,1,2
1520819333,1,0
1520821260,1,1
1520823167,1,0
1520825092,1,0
1520827012,0,1
1520830893,1,1
1520834675,2,0
1520836606,1,1
1520838507,0,1
1520840462,1,0
1520842355,0,1
1520844528,1,1
1520846445,1,0
1520848379,0,2
1520852210,2,1
1520854105,0,1
1520856086,1,0
1520857960,1,0
1520859882,0,1
1520865645,1,1
1520867802,1,1
1520878747,1,1
1520884586,1,1
1520887867,0,1
1520889882,2,1
1520892109,0,1
1520900200,0,1
1520902108,0,5
1520904024,1,1
1520905974,1,1
1520908015,1,2
1520910104,1,0
1520911945,1,1
1520916033,1,0
1520917963,0,1
1520919881,0,2
1520921791,1,0
1520923718,1,1
1520927578,0,1
1520931390,1,1
1520933308,1,1
1520935301,1,0
1520937158,2,0
1520939085,0,1
1520942914,0,1
1520944835,1,1
1520946756,1,0
1520952527,0,1
1520954431,1,1
1520966040,0,1
1520970276,1,0
1520972439,2,1
