DateTime,AddedIPs,RemovedIPs
1512386221,1,0
1512408283,1,0
1512717400,1,0
1512739387,1,0
1513003960,0,1
1513026260,0,1
1513180122,0,1
1513202209,1,0
1513323628,0,1
1513345725,0,1
1513610009,1,0
1513808635,0,1
1513830524,1,0
1514448093,0,1
1514469952,1,0
1514491961,0,1
1514712103,1,0
1514888469,1,0
1515133548,0,1
1515310370,0,1
1515486944,0,1
1515619482,1,0
1515752086,1,0
1515951365,1,0
1515973759,1,0
1516039912,1,0
1516061824,1,0
1516237783,0,1
1516370485,0,1
1516624365,1,0
1516668269,0,1
1516822336,0,1
1516888145,0,1
1517130984,1,0
1517175317,1,0
1517241166,1,1
1517307397,1,0
1517571651,1,0
1517924189,0,1
1518012685,0,1
1518167090,0,1
1518256158,0,1
1518410714,0,1
1519159721,0,1
1520705076,1,0
1521300982,0,1
1521649348,1,0
1522223628,0,1
