DateTime,Entries,UniqueIPs
1512342252,3,3
1512401317,0,0
1512480036,6,6
1512565505,0,0
1512576086,8,8
1512663641,4,4
1512748135,0,0
1512933430,1,1
1513017417,0,0
1513087971,10,10
1513171739,0,0
1513190668,1,1
1513276618,0,0
1513353343,3,3
1513438379,0,0
1513550431,9,9
1513635513,0,0
1513679495,11,11
1513764106,0,0
1513986995,2,2
1513988940,4,4
1514043397,6,6
1514074151,4,4
1514076062,2,2
1514129400,0,0
1514151165,5,5
1514238439,12,12
1514323047,11,11
1514339121,8,8
1514395991,12,12
1514425495,6,6
1514479666,0,0
1514503094,4,4
1514589997,7,7
1514644849,13,13
1514675814,10,10
1514729353,0,0
1514831700,9,9
1514896376,14,14
1514919184,7,7
1514979642,0,0
1515010804,5,5
1515133549,7,7
1515166614,6,6
1515185502,3,3
1515249610,8,8
1515335007,0,0
1515364870,4,4
1515450494,0,0
1515453407,8,8
1515538383,0,0
1515619482,5,5
1515705441,0,0
1515779783,14,14
1515781735,15,15
1515865963,0,0
1515876756,1,1
1515879112,4,4
1515962129,0,0
1516038273,4,4
1516040213,10,10
1516123473,0,0
1516143731,2,2
1516145821,5,5
1516199676,16,16
1516231713,15,15
1516233559,14,14
1516284839,0,0
1516312427,14,14
1516398034,15,15
1516399933,2,2
1516483974,1,1
1516488992,5,5
1516491273,11,11
1516574224,0,0
1516646186,3,3
1516648139,9,9
1516730765,0,0
1516741280,6,6
1516826428,0,0
1516838692,4,4
1516886679,7,7
1516910211,13,13
1516925543,9,9
1516974288,7,7
1516993961,0,0
1516999467,8,8
1517049412,15,15
1517086688,10,10
1517134520,0,0
1517184177,5,5
1517268723,0,0
1517321551,2,2
1517323470,6,6
1517407753,0,0
1517486736,5,5
1517571651,0,0
1517666664,5,5
1517752888,4,4
1517832072,1,1
1517833959,9,9
1517918257,0,0
1517925673,5,5
1518010664,0,0
1518088835,3,3
1518173085,0,0
1518176196,5,5
1518178137,9,9
1518261869,0,0
1518515723,6,6
1518601742,0,0
1518636999,3,3
1518638942,4,4
1518723278,0,0
1518796431,7,7
1518879877,0,0
1518923815,6,6
1518925944,7,7
1518999786,16,16
1519011649,9,9
1519080534,15,15
1519084366,8,8
1519163564,12,12
1519165550,6,6
1519245639,11,11
1519249717,6,6
1519329400,0,0
1519414106,4,4
1519416073,7,7
1519500455,6,6
1519518742,2,2
1519520846,4,4
1519604139,0,0
1519704691,9,9
1519790484,0,0
1519825707,9,9
1519910676,0,0
1520033102,4,4
1520081424,7,7
1520120583,3,3
1520165091,0,0
1520211864,2,2
1520267801,4,4
1520269724,8,8
1520299948,6,6
1520348488,8,8
1520350412,10,10
1520354470,4,4
1520433630,2,2
1520490746,5,5
1520576206,0,0
1520701960,11,11
1520787958,0,0
1520803375,4,4
1520887868,0,0
1520988985,4,4
1520990891,6,6
1521074865,0,0
1521087187,5,5
1521172647,0,0
1521239062,4,4
1521241910,5,5
1521325011,0,0
1521491329,6,6
1521563081,13,13
1521577472,8,8
1521647301,0,0
1521703000,1,1
1521716927,5,5
1521789237,4,4
1521799846,0,0
1521923448,13,13
1522008773,0,0
1522017910,9,9
1522092277,13,13
1522104537,6,6
1522175794,0,0
1522187061,9,9
1522253631,0,0
