DateTime,Entries,UniqueIPs
1514534230,30,30
1514536121,29,29
1514538084,29,29
1514539925,28,28
1514541942,28,28
1514543809,29,29
1514547631,28,28
1514549720,28,28
1514551730,27,27
1514557800,25,25
1514562092,27,27
1514563996,26,26
1514565912,27,27
1514567821,30,30
1514569989,31,31
1514575733,29,29
1514577705,33,33
1514579812,32,32
1514581767,32,32
1514583632,31,31
1514587729,30,30
1514589998,32,32
1514592140,33,33
1514596127,32,32
1514600133,32,32
1514602020,33,33
1514607769,31,31
1514611667,32,32
1514613495,31,31
1514615552,31,31
1514617409,30,30
1514619467,26,26
1514621313,28,28
1514623297,31,31
1514625417,31,31
1514629257,29,29
1514633082,30,30
1514635025,29,29
1514636867,31,31
1514638904,34,34
1514642921,36,36
1514646771,37,37
1514649369,36,36
1514651571,35,35
1514653472,35,35
1514655403,35,35
1514657320,34,34
1514663518,35,35
1514665472,31,31
1514667543,33,33
1514673991,34,34
1514675815,32,32
1514677863,32,32
1514679883,31,31
1514683968,32,32
1514685887,32,32
1514688129,32,32
1514691891,33,33
1514694051,34,34
1514695989,35,35
1514697880,34,34
1514701754,36,36
1514703895,37,37
1514707732,36,36
1514709638,36,36
1514711574,39,39
1514713496,41,41
1514715422,42,42
1514719253,41,41
1514721396,41,41
1514723574,40,40
1514725475,37,37
1514729354,35,35
1514731253,37,37
1514733179,35,35
1514737006,37,37
1514738919,35,35
1514740839,36,36
1514742759,35,35
1514744680,36,36
1514750560,35,35
1514754532,33,33
1514756673,37,37
1514760994,36,36
1514763357,37,37
1514771200,37,37
1514773241,37,37
1514775524,36,36
1514779510,35,35
1514781420,35,35
1514787417,34,34
1514789318,33,33
1514791269,32,32
1514795354,30,30
1514797289,25,25
1514799165,27,27
1514801102,26,26
1514803243,27,27
1514809217,25,25
1514813073,27,27
1514817206,26,26
1514821283,27,27
1514823146,26,26
1514827016,27,27
1514828933,28,28
1514831088,28,28
1514833007,29,29
1514834933,30,30
1514836890,32,32
1514838752,33,33
1514840680,32,32
1514843913,32,32
1514845977,33,33
1514850007,32,32
1514851992,33,33
1514855835,32,32
1514857953,33,33
1514859883,33,33
1514861800,34,34
1514865887,34,34
1514867791,33,33
1514871885,34,34
1514873795,36,36
1514875732,35,35
1514881725,35,35
1514885811,32,32
1514887969,35,35
1514894188,37,37
1514900443,35,35
1514902617,35,35
1514906462,34,34
1514908384,36,36
1514910299,35,35
1514912580,32,32
1514917016,32,32
1514919185,31,31
1514921073,30,30
1514923292,28,28
1514925276,27,27
1514927344,28,28
1514929474,27,27
1514931417,23,23
1514933339,26,26
1514937169,28,28
1514939085,27,27
1514941013,28,28
1514942931,27,27
1514947019,27,27
1514948931,26,26
1514952755,25,25
1514954694,26,26
1514958548,24,24
1514960443,23,23
1514968123,22,22
1514971977,21,21
1514973881,20,20
1514975811,17,17
1514979642,16,16
1514981677,15,15
1514989482,14,14
1514993318,12,12
1515002958,11,11
1515006771,10,10
1515014688,9,9
1515018546,8,8
1515133550,5,5
1515160890,3,3
1515164703,4,4
1515188257,3,3
1515190134,2,2
1515230110,3,3
1515243731,4,4
1515251427,2,2
1515257504,3,3
1515286327,4,4
1515308142,5,5
1515317764,4,4
1515319599,5,5
1515331126,5,5
1515344517,4,4
1515358378,5,5
1515362313,6,6
1515372773,5,5
1515394612,4,4
1515406251,3,3
1515417707,2,2
1515445318,1,1
1515447420,1,1
1515452519,2,2
1515470496,3,3
1515533134,2,2
1515538933,1,1
1515543195,2,2
1515554683,3,3
1515556933,2,2
1515629282,1,1
1515639394,0,0
1515678503,1,1
1515680416,2,2
1515696510,3,3
1515700348,4,4
1515714920,6,6
1515732992,7,7
1515738983,8,8
1515744779,9,9
1515750543,10,10
1515754366,11,11
1515766132,10,10
