DateTime,AddedIPs,RemovedIPs
1521247500,42,39
1521249442,46,54
1521251324,38,46
1521253447,39,37
1521255379,34,52
1521257367,34,61
1521259331,49,48
1521261313,51,60
1521263299,63,53
1521265103,31,31
1521266930,31,31
1521268881,66,31
1521270762,31,42
1521272742,36,71
1521274584,45,29
1521276564,41,58
1521278438,40,53
1521280396,38,143
1521282277,28,30
1521284276,40,54
1521286102,43,45
1521288138,49,59
1521289971,37,45
1521291998,56,105
1521293802,49,50
1521295838,50,72
1521297644,44,46
1521299699,53,53
1521301595,49,66
1521303527,45,52
1521305434,40,58
1521307362,47,35
1521309289,40,67
1521311196,46,44
1521313123,29,30
1521315047,39,49
1521316979,41,40
1521318894,45,35
1521320929,38,60
1521323072,55,44
1521325011,34,69
1521326952,45,41
1521328897,37,42
1521330755,44,59
1521332666,29,48
1521334580,41,40
1521336499,52,43
1521338495,42,45
1521340343,46,52
1521342279,46,35
1521344435,45,49
1521346357,34,54
1521348295,43,61
1521350194,49,42
1521352110,32,25
1521354027,27,36
1521356082,42,66
1521358373,51,39
1521360276,21,38
1521362204,33,59
1521364129,32,46
1521366047,43,37
1521367953,40,38
1521369878,36,26
1521371795,55,34
1521373704,42,51
1521375640,52,52
1521377584,66,50
1521379480,68,61
1521381383,70,44
1521383316,41,59
1521385286,42,56
1521387155,99,39
1521389079,29,55
1521391000,58,47
1521392956,44,47
1521394846,47,51
1521396755,91,32
1521398685,37,49
1521400612,46,34
1521402749,37,38
1521404667,56,47
1521406587,41,35
1521408503,58,56
1521410495,61,42
1521413742,60,57
1521415701,535,39
1521417625,955,34
1521419554,1756,34
1521421449,1357,43
1521423643,44,48
1521425564,33,38
1521427489,41,34
1521429403,34,43
1521431429,37,25
1521433490,26,39
1521435402,45,39
1521437327,37,41
1521439312,60,22
1521441158,39,35
1521443089,27,39
1521445005,41,29
1521446911,22,19
1521449093,4169,41
1521451001,25,23
1521452929,65,33
1521454835,47,33
1521456761,31,28
1521458675,37,32
1521460600,34,40
1521462512,31,51
1521464505,50,47
1521466360,46,54
1521468293,48,60
1521470199,1072,34
1521472129,1366,43
1521474042,573,86
1521475971,712,36
1521477893,596,51
1521480070,81,38
1521481956,46,90
1521483910,62,51
1521485793,33,34
1521487760,59,34
1521490721,58,62
1521492832,41,34
1521494682,43,52
1521496583,155,49
1521498502,54,43
1521500545,43,29
1521502376,32,40
1521504181,31,645
1521506199,39,1995
1521508104,30,1118
1521510025,25,37
1521511947,51,37
1521513887,45,47
1521515782,39,36
1521517705,38,36
1521519618,50,29
1521521543,31,52
1521523474,51,40
1521525374,22,55
1521527293,34,40
1521529306,50,24
1521531135,46,33
1521533072,87,22
1521534972,41,2121
1521536908,30,1409
1521538814,33,84
1521540762,37,50
1521542654,38,34
1521544574,32,38
1521546511,31,26
1521548426,36,31
1521550332,42,49
1521552272,41,36
1521554173,37,46
1521556090,30,628
1521558982,82,793
1521560817,33,43
1521562819,44,69
1521564690,42,74
1521566659,71,43
1521568573,79,45
1521570539,43,49
1521572381,41,24
1521574360,39,57
1521576381,39,37
1521578181,28,36
1521581067,67,57
1521582988,34,154
1521584917,36,60
1521586945,28,57
1521588749,48,37
1521590657,34,41
1521592593,50,45
1521594509,24,35
1521596429,36,35
1521598336,22,55
1521600270,29,51
1521602190,31,1339
1521604095,36,2023
1521606141,34,855
1521607942,28,31
1521609871,25,55
1521611802,40,22
1521613695,46,28
1521615716,30,51
1521617555,56,76
1521619473,99,106
1521621375,36,41
1521623320,33,31
1521625217,53,33
1521627151,42,31
1521629065,36,48
1521630989,41,42
1521632899,33,35
1521634831,37,33
1521636754,46,57
1521638675,66,47
1521640579,60,44
1521642514,34,43
1521644482,46,59
1521646352,35,35
1521648271,39,32
1521650218,67,58
1521652143,76,92
1521654039,57,58
1521655956,57,51
1521657865,56,49
1521659802,51,43
1521661889,51,44
1521664106,61,49
1521666096,58,40
1521668865,83,65
1521670972,55,48
1521672819,16,56
1521675587,73,68
1521677570,25,36
1521679480,17,21
1521682436,41,48
1521685724,47,63
1521687776,22,35
1521689577,27,34
1521691484,41,34
1521693635,48,36
1521695550,49,34
1521697465,47,31
1521699396,63,39
1521701575,56,39
1521703638,32,43
1521705878,49,58
1521707809,37,37
1521709728,49,35
1521711892,76,170
1521713791,101,80
1521715972,2743,52
1521717875,6405,46
1521719799,4104,41
1521721727,40,40
1521723701,48,43
1521725555,118,50
1521727497,3470,58
1521729412,47,45
1521731340,49,52
1521733251,44,59
1521735494,63,62
1521737321,41,55
1521739228,50,43
1521741166,68,53
1521743086,62,46
1521744984,53,45
1521746927,60,48
1521748929,60,57
1521751008,49,53
1521752932,68,50
1521754844,65,63
1521756748,86,67
1521758931,80,18
1521760833,45,31
1521762766,33,45
1521764681,64,26
1521766587,37,14
1521768521,42,18
1521770522,38,13
1521772367,42,30
1521774280,50,24
1521776210,30,19
1521778130,28,37
1521780045,38,44
1521781958,51,41
1521783903,38,46
1521785807,43,61
1521787720,51,41
1521789646,39,38
1521791556,29,40
1521793491,57,22
1521795397,31,33
1521797320,54,74
1521799846,74,126
1521801884,143,855
1521803784,47,6015
1521805733,27,5189
1521807893,71,52
1521809795,32,37
1521811717,36,67
1521815130,73,4697
1521816986,59,47
1521818922,39,46
1521821089,47,50
1521823008,32,58
1521824936,34,59
1521826834,28,43
1521828764,42,82
1521830707,95,67
1521832596,55,36
1521834516,71,58
1521836678,55,55
1521838905,45,52
1521840754,37,74
1521842695,48,80
1521845717,166,109
1521847960,47,48
1521849884,42,73
1521851788,62,41
1521853713,27,34
1521855870,37,64
1521857788,42,45
1521859715,28,39
1521861617,46,43
1521863552,30,35
1521865460,34,34
1521867501,33,50
1521869547,43,60
1521871475,39,47
1521873632,38,53
1521875564,40,32
1521877485,39,48
1521879391,35,53
1521881328,37,31
1521883230,29,47
1521885164,43,64
1521887082,53,110
1521888992,114,106
1521890911,35,50
1521892931,50,30
1521894753,36,67
1521896694,89,34
1521898590,34,36
1521900512,33,55
1521902429,44,39
1521904359,38,52
1521906282,44,43
1521908206,40,40
1521910114,18,28
1521912273,45,43
1521914204,44,37
1521916108,45,43
1521918084,38,41
1521919968,1407,39
1521921876,1323,63
1521923829,2551,51
1521925717,288,41
1521927644,27,43
1521929549,23,65
1521931467,48,129
1521933404,33,47
1521935307,30,41
1521937235,21,61
1521939144,22,22
1521941081,30,21
1521942987,28,41
1521944919,25,35
1521946945,27,31
1521951159,49,78
1521956921,89,117
1521960515,32,73
1521963479,18,62
1521965321,31,44
1521977052,136,322
1521984814,76,240
1521986845,34,28
1521988717,27,35
1521990584,25,34
1521992532,23,52
1521994421,33,43
1521996262,18,21
1521998254,22,37
1522000066,34,36
1522005730,99,121
1522008773,59,3343
1522010772,50,2241
1522012587,56,43
1522014755,67,35
1522016683,55,50
1522018578,104,52
1522020770,47,43
1522022693,46,34
1522024582,1247,44
1522026517,1835,29
1522028432,1054,34
1522030364,48,30
1522032289,31,39
1522034207,39,24
1522036101,61,33
1522038041,34,23
1522039947,40,62
1522042000,48,12
1522044094,55,23
1522046046,44,15
1522047890,36,13
1522049792,33,16
1522051703,2188,23
1522053621,2148,27
1522055596,35,20
1522057470,40,35
1522059415,30,15
1522061388,54,20
1522063229,41,13
1522065151,32,20
1522067070,32,17
1522068939,63,16
1522070909,34,22
1522073084,45,27
1522075010,39,25
1522076932,24,31
1522078845,37,18
1522080871,44,24
1522082686,52,12
1522084610,31,12
1522086529,40,34
1522088432,44,37
1522090366,43,28
1522092278,39,17
1522094208,72,24
1522096118,76,21
1522098253,87,48
1522100301,26,48
1522102407,37,47
1522104538,34,93
1522107858,45,65
1522110145,15,377
1522112248,26,1921
1522114101,21,1360
1522116288,47,62
1522118182,31,33
1522120111,38,46
1522122040,40,34
1522123969,32,48
1522125887,40,35
1522127809,39,53
1522129728,47,58
1522131863,36,34
1522133779,37,35
1522135718,42,30
1522137725,39,872
1522139562,45,3860
1522141480,33,43
1522143408,28,41
1522145330,76,39
1522147947,74,64
1522149876,48,48
1522152129,52,43
1522154159,38,40
1522156099,24,61
1522157967,31,27
1522160205,41,58
1522162124,47,37
1522164036,28,56
1522166220,2042,40
1522168110,2237,50
1522170100,40,59
1522171960,23,45
1522173895,43,46
1522175795,43,49
1522177731,68,38
1522179638,37,51
1522181575,49,47
1522183485,29,116
1522185412,43,35
1522187334,36,26
1522189670,84,39
1522191823,50,32
1522193796,88,28
1522195727,62,24
1522197633,31,20
1522199561,32,18
1522201739,16,44
1522204380,27,47
1522206291,31,35
1522208754,33,55
1522212769,69,72
1522214701,39,34
1522220279,1555,129
1522223629,1271,75
1522229934,762,127
1522241101,578,4836
1522243442,6981,0
1522246770,0,2544
1522249731,0,77
1522251631,0,19
1522253632,1,3145
1522276493,1,1382
1522278339,0,151
1522282533,0,181
1522286701,0,127
1522288606,0,67
1522292449,0,83
1522296302,0,102
1522300123,0,106
1522303968,0,137
1522307801,0,2046
1522311645,0,1667
1522315487,0,387
1522319320,0,429
1522323167,0,429
1522326988,0,293
1522338747,0,1
1522360129,0,1
