DateTime,Entries,UniqueIPs
1521236210,975,975
1521238137,969,969
1521240038,956,956
1521241911,956,956
1521243862,954,954
1521245694,952,952
1521247501,945,945
1521249443,928,928
1521251325,931,931
1521253447,932,932
1521255380,932,932
1521257367,923,923
1521259332,920,920
1521261314,918,918
1521263300,926,926
1521265104,921,921
1521266931,930,930
1521268882,920,920
1521270763,924,924
1521272742,907,907
1521274584,908,908
1521276565,892,892
1521278438,897,897
1521280397,900,900
1521282278,915,915
1521284277,912,912
1521286102,909,909
1521288138,914,914
1521289972,913,913
1521291999,835,835
1521293803,833,833
1521295839,842,842
1521297645,838,838
1521299700,841,841
1521301595,836,836
1521303528,833,833
1521305434,829,829
1521307363,833,833
1521309289,831,831
1521311196,830,830
1521313123,829,829
1521315048,827,827
1521316979,822,822
1521318895,832,832
1521320930,821,821
1521323072,833,833
1521325012,832,832
1521326952,833,833
1521328898,829,829
1521330756,829,829
1521332666,824,824
1521334581,831,831
1521336499,835,835
1521338495,825,825
1521340344,832,832
1521342280,823,823
1521344436,832,832
1521346358,822,822
1521348295,822,822
1521350194,827,827
1521352111,822,822
1521354028,819,819
1521356083,824,824
1521358374,826,826
1521360277,821,821
1521362204,822,822
1521364130,823,823
1521366048,819,819
1521367954,817,817
1521369879,825,825
1521371796,822,822
1521373705,818,818
1521375641,815,815
1521377585,820,820
1521379481,813,813
1521381384,816,816
1521383317,826,826
1521385286,822,822
1521387156,823,823
1521389080,825,825
1521391000,820,820
1521392956,815,815
1521394846,821,821
1521396755,824,824
1521398686,834,834
1521400612,830,830
1521402750,833,833
1521404668,831,831
1521406588,834,834
1521408503,825,825
1521410496,829,829
1521413742,828,828
1521415702,1407,1407
1521418596,1644,1644
1521420503,1641,1641
1521422427,1644,1644
1521424586,1646,1646
1521426505,1640,1640
1521428491,1646,1646
1521430348,1643,1643
1521432268,1650,1650
1521434189,1642,1642
1521436098,1640,1640
1521438030,1641,1641
1521440193,1649,1649
1521442104,1663,1663
1521444024,1664,1664
1521445947,1665,1665
1521447863,1839,1839
1521449787,6326,6326
1521451695,6316,6316
1521454573,6383,6383
1521456535,6378,6378
1521458424,6382,6382
1521460345,6382,6382
1521462272,6377,6377
1521464175,6377,6377
1521466092,6386,6386
1521467954,6376,6376
1521469940,7225,7225
1521471877,8722,8722
1521474043,9508,9508
1521475972,10170,10170
1521477894,10740,10740
1521480071,10762,10762
1521481957,10761,10761
1521483912,10773,10773
1521485795,10780,10780
1521487761,10796,10796
1521490723,10800,10800
1521492833,10804,10804
1521494683,10809,10809
1521496584,10820,10820
1521498503,10831,10831
1521500546,10832,10832
1521502378,10833,10833
1521504183,10843,10843
1521506200,10456,10456
1521508105,10223,10223
1521510026,10226,10226
1521511948,10231,10231
1521513888,10232,10232
1521515783,10236,10236
1521517707,10240,10240
1521519619,10250,10250
1521521545,10245,10245
1521523475,10241,10241
1521525375,10232,10232
1521527294,10232,10232
1521529309,10235,10235
1521531136,10240,10240
1521533073,10241,10241
1521534973,8107,8107
1521536909,6699,6699
1521538816,6622,6622
1521540763,6623,6623
1521542655,6629,6629
1521544575,6627,6627
1521546513,6627,6627
1521548427,6635,6635
1521550333,6643,6643
1521552274,6645,6645
1521554174,6644,6644
1521556091,6066,6066
1521558081,5267,5267
1521559937,5262,5262
1521561873,5254,5254
1521563772,5244,5244
1521565716,5251,5251
1521567614,5237,5237
1521570238,5235,5235
1521572382,5226,5226
1521574361,5224,5224
1521576382,5218,5218
1521578182,5220,5220
1521581068,5219,5219
1521582988,5213,5213
1521584918,5210,5210
1521586946,5214,5214
1521588750,5219,5219
1521590658,5210,5210
1521592594,5208,5208
1521594510,5201,5201
1521596430,5195,5195
1521598337,5181,5181
1521600271,5176,5176
1521602191,3826,3826
1521604095,1738,1738
1521606141,891,891
1521607943,890,890
1521609872,887,887
1521611803,888,888
1521613696,893,893
1521615717,894,894
1521617556,929,929
1521619474,1020,1020
1521621376,1013,1013
1521623321,1003,1003
1521625218,1002,1002
1521627152,991,991
1521629066,996,996
1521630990,991,991
1521632899,986,986
1521634832,987,987
1521636755,989,989
1521638676,984,984
1521640580,987,987
1521642514,987,987
1521644484,983,983
1521646353,980,980
1521648272,987,987
1521650219,955,955
1521652144,946,946
1521654040,945,945
1521655957,938,938
1521657866,938,938
1521659803,924,924
1521661890,919,919
1521664107,906,906
1521666097,907,907
1521668866,902,902
1521670973,890,890
1521672819,877,877
1521675588,847,847
1521677570,842,842
1521679481,830,830
1521682437,821,821
1521685724,815,815
1521687777,807,807
1521689578,806,806
1521691485,804,804
1521693636,813,813
1521695551,814,814
1521697466,816,816
1521699397,813,813
1521701576,810,810
1521703639,807,807
1521705879,800,800
1521707810,797,797
1521709729,801,801
1521711893,657,657
1521713791,663,663
1521715973,3409,3409
1521717876,9879,9879
1521719801,13971,13971
1521721728,13971,13971
1521723702,13980,13980
1521725557,13979,13979
1521727498,17496,17496
1521729413,17493,17493
1521731342,17495,17495
1521733253,17487,17487
1521735496,17480,17480
1521737322,17474,17474
1521739230,17479,17479
1521741167,17484,17484
1521743087,17484,17484
1521744985,17481,17481
1521746928,17484,17484
1521748931,17482,17482
1521751009,17489,17489
1521752934,17506,17506
1521754845,17508,17508
1521756750,17523,17523
1521758933,17528,17528
1521760835,17527,17527
1521762767,17527,17527
1521764682,17535,17535
1521766588,17542,17542
1521768523,17551,17551
1521770523,17558,17558
1521772369,17556,17556
1521774281,17560,17560
1521776211,17555,17555
1521778131,17557,17557
1521780047,17562,17562
1521781959,17588,17588
1521783905,17586,17586
1521785808,17578,17578
1521787721,17586,17586
1521789647,17590,17590
1521791557,17588,17588
1521793492,17590,17590
1521795398,17588,17588
1521797321,17583,17583
1521799848,17584,17584
1521801885,16748,16748
1521803785,10720,10720
1521805735,5556,5556
1521807894,5559,5559
1521809796,5568,5568
1521811718,5570,5570
1521815131,756,756
1521816986,754,754
1521818922,746,746
1521821090,749,749
1521823009,747,747
1521824937,739,739
1521826834,733,733
1521828764,740,740
1521830711,761,761
1521832596,774,774
1521834517,801,801
1521836679,817,817
1521838906,847,847
1521840755,830,830
1521842696,837,837
1521845717,852,852
1521847960,858,858
1521849885,868,868
1521851789,870,870
1521853713,880,880
1521855871,878,878
1521857789,881,881
1521859716,888,888
1521861618,899,899
1521863553,898,898
1521865460,895,895
1521867502,868,868
1521869547,841,841
1521871476,844,844
1521873633,845,845
1521875565,852,852
1521877486,857,857
1521879392,861,861
1521881329,867,867
1521883231,861,861
1521885165,847,847
1521887083,854,854
1521888993,845,845
1521890912,841,841
1521892931,851,851
1521894754,852,852
1521896695,888,888
1521898591,881,881
1521900513,883,883
1521902430,881,881
1521904360,875,875
1521906283,885,885
1521908206,889,889
1521910115,891,891
1521912273,884,884
1521914205,885,885
1521916108,890,890
1521918085,891,891
1521919969,2307,2307
1521921877,3627,3627
1521923830,6239,6239
1521925718,6505,6505
1521927645,6508,6508
1521929550,6501,6501
1521931468,6502,6502
1521933405,6497,6497
1521935308,6493,6493
1521937236,6493,6493
1521939145,6492,6492
1521941082,6487,6487
1521942988,6482,6482
1521944920,6481,6481
1521946945,6477,6477
1521951160,6473,6473
1521956923,6462,6462
1521960516,6448,6448
1521963480,6431,6431
1521965321,6425,6425
1521977053,6392,6392
1521985313,6313,6313
1521988107,6311,6311
1521991064,6306,6306
1521993869,6294,6294
1521996766,6285,6285
1522000067,6277,6277
1522005731,6257,6257
1522008774,2895,2895
1522010773,604,604
1522012588,611,611
1522014755,613,613
1522016683,624,624
1522018579,634,634
1522020770,636,636
1522022695,648,648
1522024583,657,657
1522026517,658,658
1522028433,665,665
1522030364,664,664
1522032289,670,670
1522034208,677,677
1522036102,691,691
1522038042,701,701
1522039948,712,712
1522042001,731,731
1522044095,737,737
1522046047,745,745
1522047891,749,749
1522049793,750,750
1522051704,3168,3168
1522053622,5610,5610
1522055597,5617,5617
1522057471,5611,5611
1522059416,5612,5612
1522061390,5620,5620
1522063230,5623,5623
1522065152,5628,5628
1522067071,5638,5638
1522068940,5649,5649
1522070910,5657,5657
1522073085,5659,5659
1522075011,5664,5664
1522076933,5667,5667
1522078846,5673,5673
1522080873,5681,5681
1522082687,5679,5679
1522084611,5686,5686
1522086530,5695,5695
1522088432,5696,5696
1522090367,5701,5701
1522092279,5708,5708
1522094209,5715,5715
1522096119,5722,5722
1522098254,5720,5720
1522100301,5720,5720
1522102408,5710,5710
1522104539,5704,5704
1522107859,5692,5692
1522110147,5691,5691
1522112249,5680,5680
1522114101,5672,5672
1522116289,5671,5671
1522118183,5674,5674
1522120112,5669,5669
1522122041,5661,5661
1522123970,5655,5655
1522125888,5654,5654
1522127810,5646,5646
1522129728,5644,5644
1522131864,5643,5643
1522133780,5634,5634
1522135719,5634,5634
1522137726,4778,4778
1522139562,827,827
1522141481,818,818
1522143409,816,816
1522145330,819,819
1522147948,826,826
1522149876,826,826
1522152130,828,828
1522154160,836,836
1522156099,824,824
1522157968,829,829
1522160206,829,829
1522162125,842,842
1522164037,842,842
1522166221,2878,2878
1522168111,5169,5169
1522170101,5173,5173
1522171960,5175,5175
1522173896,5175,5175
1522175796,5170,5170
1522177732,5167,5167
1522179639,5163,5163
1522181576,5153,5153
1522183486,5150,5150
1522185415,5150,5150
1522187336,5157,5157
1522189671,5159,5159
1522191825,5157,5157
1522193797,5199,5199
1522195728,5200,5200
1522197634,5198,5198
1522199563,5203,5203
1522201741,5197,5197
1522204407,5187,5187
1522206293,5186,5186
1522208905,5181,5181
1522212778,5171,5171
1522214703,5168,5168
1522220280,6668,6668
1522223631,7883,7883
1522229936,8515,8515
1522241105,4677,4677
1522243443,11287,11287
1522246772,8807,8807
1522249735,8775,8775
1522251632,8772,8772
1522253633,5611,5611
1522276494,4616,4616
1522278340,4582,4582
1522282534,4512,4512
1522286702,4492,4492
1522288607,4475,4475
1522292450,4446,4446
1522296303,4423,4423
1522300124,4407,4407
1522303969,4393,4393
1522307802,2401,2401
1522311646,854,854
1522315488,578,578
1522319321,292,292
1522323168,120,120
1522325064,0,0
