DateTime,AddedIPs,RemovedIPs
1521195710,0,3
1521197556,1,2
1521199481,0,1
1521201486,4,4
1521203331,1,1
1521205288,1,2
1521207159,1,6
1521209069,2,0
1521211000,2,4
1521212905,0,3
1521215079,3,2
1521216999,1,3
1521218920,2,3
1521220839,3,1
1521222763,2,2
1521224685,1,3
1521226601,0,2
1521228519,3,2
1521230502,0,1
1521232370,1,3
1521234290,3,1
1521236210,3,2
1521238137,4,1
1521240038,2,2
1521241912,3,2
1521243862,0,6
1521245694,1,2
1521247501,4,3
1521249443,3,2
1521251326,2,2
1521253448,1,1
1521255380,5,4
1521257368,2,4
1521259333,2,0
1521261314,2,2
1521263301,2,4
1521265104,3,3
1521268882,1,1
1521270763,1,2
1521272742,2,3
1521274584,1,1
1521276565,3,1
1521278438,0,4
1521280397,2,2
1521284277,1,1
1521286103,0,1
1521288139,1,3
1521289972,2,2
1521293803,1,2
1521295839,0,1
1521297645,3,2
1521299701,3,1
1521301596,2,3
1521303528,1,0
1521305435,0,2
1521307363,0,3
1521309290,1,2
1521311197,1,1
1521313124,2,0
1521315048,3,3
1521316980,4,0
1521318895,1,2
1521320930,2,2
1521323073,2,5
1521325012,2,2
1521326952,2,2
1521328898,1,3
1521330756,3,0
1521332667,3,3
1521334581,2,4
1521336500,3,1
1521338496,0,2
1521340344,1,2
1521342280,2,4
1521344436,3,2
1521346358,0,2
1521348296,1,2
1521350195,0,4
1521352111,0,1
1521354028,2,0
1521356083,3,1
1521358374,2,2
1521360277,2,1
1521362205,0,4
1521364130,2,0
1521366048,2,1
1521367954,2,1
1521369879,0,1
1521371796,3,0
1521373705,4,1
1521375641,1,2
1521377585,7,0
1521379482,0,1
1521381384,5,0
1521383317,0,1
1521385287,3,3
1521387156,2,2
1521389080,1,3
1521391001,2,0
1521392957,1,0
1521394847,3,0
1521396755,1,1
1521398686,1,2
1521400613,4,2
1521402750,2,4
1521404668,2,3
1521406588,3,1
1521408504,3,2
1521410496,1,1
1521413743,1,5
1521415702,3,1
1521418596,2,5
1521420503,2,2
1521422427,0,2
1521424586,0,1
1521426505,2,1
1521428492,0,2
1521430348,3,2
1521432269,1,1
1521434190,2,1
1521436098,2,0
1521440194,2,2
1521442105,1,3
1521444024,0,2
1521445947,1,2
1521447863,1,0
1521449787,2,1
1521451695,1,2
1521454574,4,3
1521456535,3,0
1521458425,1,3
1521460346,2,4
1521462273,2,2
1521464175,3,6
1521467955,2,5
1521469941,1,0
1521471878,0,3
1521474043,1,2
1521475973,0,2
1521477894,5,2
1521480071,2,2
1521481957,0,1
1521483912,0,1
1521485795,0,3
1521487761,1,4
1521490724,3,2
1521492833,3,3
1521494684,2,2
1521496585,4,2
1521498503,4,0
1521500546,1,1
1521502378,0,4
1521504184,1,1
1521506201,2,2
1521508106,1,0
1521510026,2,0
1521511949,4,1
1521513889,2,1
1521515784,1,2
1521517707,1,2
1521521545,1,3
1521523476,1,1
1521525376,2,1
1521527295,1,1
1521529309,0,1
1521531136,0,1
1521533073,2,0
1521534974,4,3
1521536909,2,0
1521538816,0,1
1521540764,0,4
1521542655,1,3
1521544576,3,1
1521546513,5,1
1521548428,1,3
1521550333,2,3
1521552274,1,0
1521554174,0,1
1521556091,2,2
1521558100,4,0
1521559938,3,1
1521561873,2,0
1521563772,4,4
1521565716,0,2
1521567615,2,1
1521570238,1,0
1521572383,2,0
1521574361,1,1
1521576383,3,3
1521578433,3,3
1521580598,2,1
1521582526,3,5
1521584417,0,3
1521586353,1,2
1521588499,2,0
1521590511,2,1
1521592401,1,1
1521594510,2,2
1521596431,2,2
1521598338,2,4
1521600272,2,2
1521602192,2,1
1521604096,3,1
1521606142,1,0
1521607943,1,1
1521609872,2,1
1521611803,1,2
1521613696,1,1
1521619474,2,2
1521621376,3,4
1521623321,1,2
1521627152,3,0
1521629066,4,1
1521630990,1,3
1521632900,1,5
1521634832,1,1
1521636755,1,2
1521638676,2,1
1521640580,2,0
1521642515,1,3
1521644484,2,3
1521646353,3,3
1521648272,5,2
1521650219,2,4
1521652144,3,0
1521654040,2,2
1521655957,1,1
1521657866,2,0
1521659803,4,3
1521661890,1,2
1521664107,4,4
1521666097,3,2
1521668866,3,3
1521670974,1,0
1521672820,0,1
1521675588,2,2
1521677571,1,3
1521679481,0,1
1521682437,2,3
1521685725,2,3
1521687777,4,2
1521689578,1,2
1521691485,4,3
1521693636,6,1
1521695551,1,2
1521697466,2,0
1521699397,0,1
1521701576,2,1
1521703639,2,0
1521705879,2,2
1521707810,2,3
1521709730,0,1
1521711893,5,0
1521713792,0,3
1521715974,0,5
1521717876,3,0
1521719801,1,1
1521721728,1,1
1521723703,2,1
1521725557,2,2
1521727498,4,2
1521729413,4,2
1521731343,2,1
1521733254,3,7
1521735496,2,2
1521737323,2,3
1521739230,1,2
1521741167,0,1
1521743088,0,2
1521744986,0,3
1521746929,1,3
1521748931,3,3
1521751010,1,3
1521752934,1,1
1521754846,4,3
1521756750,2,1
1521758933,4,0
1521760835,1,2
1521762767,1,0
1521764683,2,1
1521766588,5,0
1521768523,2,2
1521770524,2,1
1521772369,1,2
1521774282,1,3
1521776212,1,1
1521778131,1,4
1521780047,2,6
1521781960,1,1
1521783905,0,2
1521785808,4,0
1521787722,3,2
1521789648,0,2
1521791558,0,1
1521793493,0,2
1521795398,2,1
1521797321,1,3
1521799849,4,2
1521801885,4,0
1521803785,1,1
1521805735,2,2
1521807894,2,2
1521809797,0,2
1521811719,1,1
1521815131,4,6
1521816987,3,5
1521818923,2,1
1521821090,1,4
1521823009,0,1
1521824937,2,2
1521826835,1,0
1521828765,4,0
1521832597,0,1
1521834517,1,2
1521836679,3,2
1521838906,3,1
1521840755,1,2
1521842696,4,4
1521845718,4,4
1521847961,5,1
1521849885,2,1
1521851789,2,4
1521853714,0,4
1521855871,0,2
1521857789,1,1
1521859716,3,2
1521861619,2,1
1521863553,4,1
1521865461,4,1
1521867502,2,2
1521869548,2,0
1521871476,2,2
1521873633,4,5
1521875565,1,0
1521881329,1,1
1521883231,1,2
1521885165,1,2
1521887083,4,4
1521888993,1,3
1521890913,5,1
1521892932,1,2
1521894754,0,1
1521896695,1,1
1521900513,0,4
1521902430,2,2
1521904360,0,1
1521906283,0,2
1521908207,2,1
1521910116,3,0
1521912274,3,3
1521914205,4,2
1521916109,1,2
1521919969,4,0
