DateTime,Entries,UniqueIPs
1512342273,3,3
1512408287,4,4
1512629068,5,5
1512650931,4,4
1512739389,3,3
1512871515,2,2
1513026263,1,1
1513048170,2,2
1513114137,3,3
1513202211,4,4
1513224294,3,3
1513632049,2,2
1513697886,3,3
1513764109,4,4
1513808638,3,3
1513852627,4,4
1513897360,5,5
1513985820,6,6
1514007888,7,7
1514227971,6,6
1514359758,6,6
1514382058,5,5
1514469953,4,4
1514514032,3,3
1514602023,1,1
1514800221,2,2
1514910509,3,3
1515288517,4,4
1515398697,3,3
1515553469,2,2
1515686212,3,3
1515884877,3,3
1516193897,4,4
1516525281,3,3
1516613320,2,2
1516679308,3,3
1516701189,4,4
1516822610,5,5
1517287228,4,4
1517330927,5,5
1517419150,4,4
1517463626,3,3
1517485724,2,2
1517529869,3,3
1517728592,2,2
1517860376,3,3
1517926828,2,2
1517970760,3,3
1518146823,2,2
1518234977,3,3
1518478970,2,2
1518765865,3,3
1518832135,3,3
1519317348,2,2
1519361600,1,1
1519428045,0,0
1519741735,1,1
1519874208,2,2
1520138651,3,3
1520358780,2,2
1520513324,3,3
1520580052,2,2
1521715977,1,1
1521946946,2,2
1522279482,0,0
