DateTime,AddedIPs,RemovedIPs
1520709396,0,2
1520711317,2,2
1520713228,1,1
1520715189,1,0
1520717070,0,2
1520718895,1,1
1520720707,2,0
1520722645,1,0
1520724853,1,0
1520726928,1,0
1520728820,3,0
1520731002,0,4
1520742760,0,1
1520746595,0,1
1520754513,1,0
1520758372,0,1
1520762186,1,0
1520772032,0,3
1520776238,1,2
1520778286,1,0
1520784138,0,1
1520785979,1,1
1520787960,1,1
1520796051,1,0
1520797951,1,2
1520799900,0,1
1520801797,1,1
1520803748,0,1
1520805683,3,0
1520807568,1,2
1520809484,1,1
1520811644,0,1
1520813570,0,2
1520815485,0,2
1520825095,1,0
1520840465,1,1
1520846448,1,0
1520848382,1,1
1520850296,2,0
1520857964,1,0
1520859885,2,0
1520861806,0,1
1520863730,2,0
1520865648,0,1
1520867806,1,0
1520869725,2,0
1520871659,5,1
1520873791,0,1
1520876658,1,0
1520878750,1,0
1520882686,1,1
1520884589,3,1
1520887870,2,1
1520889885,2,0
1520892112,2,3
1520893973,5,1
1520896163,2,1
1520898025,2,0
1520902111,1,0
1520905977,1,0
1520910107,1,0
1520911948,2,1
1520917966,1,0
1520923721,3,0
1520925636,2,0
1520927580,2,1
1520929504,1,0
1520931392,1,0
1520933311,1,2
1520937161,0,2
1520939088,3,0
1520942917,1,0
1520944837,0,1
1520946759,0,2
1520950606,1,2
1520952530,2,0
1520954433,0,1
1520956350,0,3
1520958278,1,4
1520962117,1,1
1520966043,0,1
1520968139,0,1
1520970279,1,2
1520972441,2,2
1520974368,0,1
1520976283,0,2
1520978191,0,2
1520980105,0,2
1520982137,0,5
1520983977,1,2
1520987789,1,1
1520991629,0,1
1520993560,1,0
1520995468,1,0
1520997394,0,2
1520999308,0,1
1521001234,2,0
1521003165,1,1
1521005075,2,0
1521008912,1,2
1521010901,2,3
1521012770,1,1
1521014676,2,1
1521016615,0,1
1521018532,1,1
1521020448,0,1
1521024534,0,3
1521028355,1,1
1521032366,1,0
1521034347,2,0
1521036191,1,0
1521038182,0,1
1521039993,0,2
1521043635,1,1
1521045485,2,0
1521047498,1,1
1521051281,1,0
1521053318,1,0
1521055121,4,0
1521056994,3,1
1521058931,0,2
1521060769,1,0
1521062835,2,0
1521064900,1,0
1521068551,2,0
1521071096,2,1
1521072994,1,1
1521078753,1,1
1521082571,0,1
1521086372,1,1
1521088344,1,2
1521090251,2,1
1521092185,0,1
1521094119,1,0
1521096021,0,2
1521097870,1,2
1521099867,3,2
1521101681,1,0
