DateTime,AddedIPs,RemovedIPs
1520993560,0,1
1520995468,2,1
1520997395,1,1
1520999309,1,0
1521001234,1,1
1521003165,2,1
1521008912,1,0
1521012771,0,1
1521014676,0,1
1521018533,1,0
1521020449,1,1
1521024534,1,2
1521030274,1,1
1521034347,1,0
1521036191,0,1
1521039994,0,3
1521041806,2,1
1521047498,2,1
1521049465,1,0
1521051281,0,2
1521053318,1,0
1521055121,2,0
1521056995,2,0
1521058931,1,2
1521060770,12,0
1521062835,2,0
1521064901,2,1
1521068552,6,1
1521071096,2,1
1521072994,0,1
1521074868,0,1
1521076827,6,1
1521078753,1,0
1521080703,2,0
1521082572,3,2
1521084509,2,1
1521086373,2,1
1521090251,0,2
1521092185,1,0
1521094120,0,1
1521097870,1,1
1521101681,1,0
1521105487,1,3
1521109471,1,0
1521111398,0,1
1521113303,2,0
1521116524,2,0
1521120973,2,1
1521127240,2,1
1521129185,2,1
1521133330,0,1
1521135167,1,1
1521137116,0,1
1521139000,0,1
1521140926,3,2
1521146682,0,1
1521148602,1,17
1521150513,0,1
1521152441,1,0
1521154360,0,5
1521156439,0,2
1521158566,1,0
1521162692,2,2
1521165000,0,1
1521166837,2,3
1521168800,1,2
1521170669,0,1
1521172649,2,1
1521174507,0,2
1521176539,1,2
1521178365,2,0
1521180308,1,1
1521184185,1,0
1521188003,0,1
1521189881,1,1
1521191830,0,1
1521195711,2,1
1521197557,1,0
1521199482,0,1
1521201487,0,1
1521203332,1,2
1521207160,0,1
1521212906,0,3
1521215080,2,1
1521216999,2,0
1521220840,0,2
1521224686,2,0
1521226602,0,3
1521228520,3,3
1521230503,5,0
1521232371,3,0
1521234290,1,0
1521236211,1,0
1521238138,1,1
1521240039,0,1
1521241913,1,1
1521243863,1,0
1521245695,3,0
1521247503,2,1
1521249444,0,1
1521251327,1,0
1521253449,1,3
1521255381,0,1
1521257368,0,2
1521259334,0,2
1521261315,1,0
1521265105,1,2
1521266932,0,1
1521268883,1,0
1521272743,2,1
1521276566,1,0
1521278439,2,0
1521282279,0,1
1521284278,1,0
1521286104,1,0
1521288140,1,1
1521289973,0,3
1521292000,1,0
1521293804,2,0
1521295840,1,2
1521299703,2,0
1521301597,0,2
1521303529,0,2
1521305435,1,0
1521309291,1,1
1521311198,0,2
1521313124,0,1
1521315049,1,4
1521316981,0,5
1521318896,2,1
1521320931,0,1
1521323073,0,3
1521326953,0,2
1521328899,0,1
1521330757,1,0
1521332668,1,3
1521334582,1,1
1521336501,1,0
1521340345,1,1
1521342281,1,0
1521346359,1,0
1521348297,1,2
1521352113,0,1
1521354029,0,1
1521356084,0,1
1521358375,1,1
1521362206,1,0
1521364131,0,1
1521366049,1,1
1521367955,1,0
1521369880,2,0
1521371797,2,1
1521375642,1,1
1521377586,0,1
1521379483,1,0
1521381385,2,2
1521383318,0,1
1521385288,1,1
1521389081,3,0
1521391001,1,1
1521394848,1,1
1521400614,2,2
1521402751,1,0
1521404669,1,2
1521406589,1,1
1521408505,0,1
1521410497,4,0
1521413744,2,0
1521415703,1,0
1521418597,1,1
1521420505,1,1
1521422428,1,1
1521424587,3,1
1521426506,0,1
1521428497,1,0
1521432270,1,2
1521434191,0,1
1521436099,1,0
1521444025,2,1
1521447864,1,0
1521449788,0,1
1521455546,3,0
1521457476,2,3
1521459375,0,1
1521461565,0,1
1521463465,1,0
1521465394,0,1
1521467304,4,1
1521469229,3,0
1521471144,1,1
1521474988,1,1
1521476912,0,2
1521478920,2,0
1521480753,1,1
1521482659,1,1
1521484590,1,0
1521486492,0,1
1521490725,1,1
1521492834,1,1
1521496586,1,2
1521498504,0,1
1521500547,0,1
1521502379,1,1
1521504185,1,1
1521506202,0,2
1521508107,2,0
1521510027,2,0
1521511950,1,1
1521513890,1,0
1521515785,4,0
1521517708,0,1
1521519620,1,2
1521523477,0,1
1521529310,1,0
1521531137,1,1
1521534975,0,2
1521536910,2,0
1521538817,1,0
1521540765,2,0
1521542656,0,4
1521544577,1,0
1521548429,0,2
1521550335,1,0
1521552275,2,0
1521554176,1,5
1521556092,0,1
1521558109,1,1
1521559939,1,0
1521561875,1,0
1521563773,1,0
1521565718,0,1
1521567616,0,1
1521570239,0,2
1521572384,2,0
1521574362,2,0
1521576384,2,0
1521578434,1,1
1521580599,0,1
1521582526,4,0
1521584418,4,0
1521586354,2,1
1521590530,1,2
1521594512,1,1
1521596432,1,2
1521598339,0,2
1521600273,1,1
1521602193,1,4
1521604099,3,0
1521606143,0,1
1521609874,1,0
1521611804,2,0
1521613697,0,1
1521615719,0,1
1521617557,0,1
1521619476,1,0
1521621377,2,0
1521625219,0,1
1521627153,0,2
1521629067,1,0
1521630991,0,1
1521632901,2,0
1521634833,0,1
1521636757,2,1
1521638677,2,0
1521640582,0,1
1521642516,2,0
1521644485,0,1
1521646354,0,1
1521648273,3,1
1521650220,0,1
1521652145,1,1
1521657867,1,1
1521659804,1,3
1521661891,0,1
1521664108,0,3
1521666098,2,0
1521668867,1,2
1521670975,2,3
1521672821,0,2
1521675589,1,1
1521677572,2,1
1521679482,1,0
1521682438,0,1
1521685726,2,2
1521687778,0,1
1521691486,0,2
1521695552,2,1
1521697467,0,1
1521699398,2,1
1521701577,0,1
1521707811,0,2
1521711894,0,1
1521715979,1,1
1521719802,0,2
1521721730,0,1
1521723703,1,2
1521725558,0,2
1521727500,0,1
1521733255,1,0
1521735497,2,4
1521737324,0,1
1521739231,2,1
1521746930,1,2
1521748932,1,0
1521751011,1,0
1521752935,1,2
1521754847,2,1
1521756751,2,2
1521758934,1,1
1521760836,1,0
1521762768,1,1
1521764684,1,3
1521766590,0,1
1521768524,4,0
1521770526,0,1
1521772370,1,0
1521776213,1,0
1521781961,2,1
1521783906,1,1
1521785809,0,2
1521787723,1,0
1521791559,1,2
1521793494,4,0
1521797322,2,0
1521805738,1,0
1521809798,0,2
1521815132,2,0
1521816988,1,1
1521818924,0,1
1521821091,1,2
1521823010,0,1
1521824938,2,0
1521826835,0,1
1521828765,1,0
1521830712,1,0
1521832597,0,1
1521834518,1,1
1521836680,0,1
1521838907,2,1
1521840756,0,3
1521842697,4,2
1521845719,12,2
1521847961,3,2
1521849886,1,0
1521851790,1,0
1521853715,2,1
1521857790,2,1
1521859717,1,0
1521861619,0,1
1521863554,2,1
1521865462,1,0
1521869549,0,2
1521871477,1,0
1521873634,0,1
1521877487,1,1
1521879393,1,1
1521881330,0,1
1521883232,1,0
1521885166,1,1
1521887084,1,0
1521888994,1,1
1521900514,2,1
1521902431,1,0
1521904361,2,2
1521906284,1,0
1521910117,0,1
1521914206,2,1
1521916110,0,1
1521918086,2,0
1521919970,2,0
1521921878,1,1
1521923831,0,1
1521925721,2,2
1521927646,0,1
1521929552,5,1
1521931470,1,11
1521933406,1,2
1521935309,1,2
1521937237,0,1
1521939146,0,1
1521941083,1,0
1521942989,1,2
