DateTime,Entries,UniqueIPs
1520993560,49,49
1520995468,50,50
1520997395,50,50
1520999309,51,51
1521001234,51,51
1521003165,52,52
1521008912,53,53
1521012771,52,52
1521014676,51,51
1521018533,52,52
1521020449,52,52
1521024534,51,51
1521030274,51,51
1521034347,52,52
1521036191,51,51
1521039994,48,48
1521041806,49,49
1521047498,50,50
1521049465,51,51
1521051281,49,49
1521053318,50,50
1521055121,52,52
1521056995,54,54
1521058931,53,53
1521060770,65,65
1521062835,67,67
1521064901,68,68
1521068552,73,73
1521071096,74,74
1521072994,73,73
1521074868,72,72
1521076827,77,77
1521078753,78,78
1521080703,80,80
1521082572,81,81
1521084509,82,82
1521086373,83,83
1521090251,81,81
1521092185,82,82
1521094120,81,81
1521097870,81,81
1521101681,82,82
1521105487,80,80
1521109471,81,81
1521111398,80,80
1521113303,82,82
1521116524,84,84
1521120973,85,85
1521127240,86,86
1521129185,87,87
1521133330,86,86
1521135167,86,86
1521137116,85,85
1521139000,84,84
1521140926,85,85
1521146682,84,84
1521148602,68,68
1521150513,67,67
1521152441,68,68
1521154360,63,63
1521156439,61,61
1521158566,62,62
1521162692,62,62
1521165000,61,61
1521166837,60,60
1521168800,59,59
1521170669,58,58
1521172649,59,59
1521174507,57,57
1521176539,56,56
1521178365,58,58
1521180308,58,58
1521184185,59,59
1521188003,58,58
1521189881,58,58
1521191830,57,57
1521195711,58,58
1521197557,59,59
1521199482,58,58
1521201487,57,57
1521203332,56,56
1521207160,55,55
1521212906,52,52
1521215080,53,53
1521216999,55,55
1521220840,53,53
1521224686,55,55
1521226602,52,52
1521228520,52,52
1521230503,57,57
1521232371,60,60
1521234290,61,61
1521236211,62,62
1521238138,62,62
1521240039,61,61
1521241913,61,61
1521243863,62,62
1521245695,65,65
1521247503,66,66
1521249444,65,65
1521251327,66,66
1521253449,64,64
1521255381,63,63
1521257368,61,61
1521259334,59,59
1521261315,60,60
1521265105,59,59
1521266932,58,58
1521268883,59,59
1521272743,60,60
1521276566,61,61
1521278439,63,63
1521282279,62,62
1521284278,63,63
1521286104,64,64
1521288140,64,64
1521289973,61,61
1521292000,62,62
1521293804,64,64
1521295840,63,63
1521299703,65,65
1521301597,63,63
1521303529,61,61
1521305435,62,62
