DateTime,AddedIPs,RemovedIPs
1517472301,1,0
1517476135,1,0
1517487897,1,0
1517489789,1,4
1517495722,2,0
1517497722,1,0
1517505426,1,2
1517509249,0,1
1517511148,3,0
1517513087,1,0
1517518988,0,1
1517521237,1,0
1517525099,1,0
1517528917,1,0
1517530833,0,1
1517536583,1,0
1517544514,0,1
1517559882,0,1
1517561777,0,1
1517563956,1,0
1517574053,0,1
1517575956,1,1
1517581711,0,3
1517583689,0,1
1517591350,0,1
1517597096,0,2
1517599000,0,2
1517602845,1,0
1517608632,0,1
1517610546,0,1
1517614940,0,1
1517622526,0,1
1517632380,1,0
1517638139,1,0
1517640054,1,0
1517643899,0,1
1517647735,1,0
1517649640,0,1
1517657578,2,0
1517661639,1,0
1517689235,0,1
1517691181,1,0
1517695297,1,0
1517719728,0,1
1517723568,1,0
1517725480,0,2
1517735314,0,1
1517741344,2,0
1517743235,0,3
1517747090,0,1
1517762540,1,0
1517773978,2,0
1517776050,1,0
1517778100,1,1
1517779925,1,0
1517781868,0,1
1517791980,1,0
1517793916,1,0
1517799887,1,0
1517803747,1,0
1517805659,2,0
1517807580,1,0
1517811431,0,1
1517815483,2,0
1517819571,1,0
1517827499,0,2
1517843563,1,0
1517845489,1,0
1517849313,0,1
1517853392,1,0
1517861546,0,2
1517863497,0,1
1517865392,0,2
1517876927,0,1
1517878935,1,0
1517880772,0,1
1517886539,0,1
1517890371,0,1
1517892266,0,2
1517894215,0,1
1517901884,0,2
1517905701,1,1
1517909547,2,0
1517916405,1,0
1517920117,1,0
1517930218,0,1
1517940277,0,1
1517950125,0,1
1517953960,1,0
1517965481,0,1
1517967397,1,0
1517988516,1,0
1517990490,0,1
1517996371,0,2
1518002535,0,1
1518006286,1,0
1518008211,1,0
1518048191,0,1
1518052378,0,1
1518058128,0,1
1518061973,1,0
1518067962,1,0
1518073740,1,0
1518075628,0,1
1518085257,1,0
1518093342,0,1
1518095557,2,1
1518114995,1,0
1518146824,0,1
1518155111,0,1
1518158933,0,1
1518172376,0,1
1518180036,1,0
1518181840,0,2
1518202113,0,1
1518209790,1,0
1518231879,1,0
1518234062,1,0
1518244018,1,0
1518265715,0,1
1518267719,1,0
1518277962,1,0
1518287853,1,0
1518295508,0,1
1518303689,1,0
1518319748,0,1
1518321687,0,1
1518323850,1,0
1518327911,2,0
1518331980,1,0
1518354085,0,1
1518355985,1,0
1518363871,0,1
1518369759,69,0
1518373785,0,1
1518382147,1,0
1518385962,0,1
1518390118,0,1
1518392266,1,0
1518394150,1,0
1518409719,0,1
1518413808,0,1
1518415742,0,1
1518417873,1,1
1518423896,2,0
1518441172,0,1
1518456995,0,69
1518460960,1,0
1518466608,0,1
1518479584,0,1
1518481470,0,1
1518495404,1,0
1518503088,0,1
1518510768,0,2
1518514613,1,0
1518516535,1,0
1518526263,1,0
1518534247,1,0
1518546049,0,1
1518549889,1,0
1518581773,0,1
1518583705,1,0
1518599822,0,1
1518601745,0,1
1518607478,1,0
1518611311,0,1
1518621183,0,1
1518634893,0,1
1518667292,1,0
1518671339,0,1
1518695069,0,1
1518725099,1,0
1518741415,1,0
1518751013,1,0
1518753183,0,1
1518763379,1,0
1518793505,1,0
1518812236,0,1
1518828299,0,1
1518838371,0,1
1518844134,2,0
1518849881,0,1
1518879880,0,1
1518886087,2,0
1518931235,0,1
1518973474,0,2
1518985013,0,1
1519015520,1,0
1519021246,1,0
1519088536,1,0
1519098018,1,0
1519102137,0,1
1519105987,1,0
1519107873,0,1
1519119393,1,0
1519140789,1,0
1519144661,1,0
1519167390,1,0
1519175085,0,1
1519187076,1,0
1519193010,0,2
1519197102,1,0
1519205335,0,1
1519227675,0,1
1519253817,0,1
1519262204,1,0
1519264067,1,0
1519266021,3,0
1519269898,1,0
1519273947,0,1
1519275815,0,1
1519284067,0,1
1519302992,1,0
1519304931,1,0
1519307163,1,0
1519327490,1,0
1519343581,1,0
1519347414,0,1
1519349358,0,1
1519351318,1,2
1519353176,0,1
1519355077,0,1
1519390112,1,0
1519392029,0,1
1519393968,0,1
1519406208,69,0
1519413867,0,1
1519430190,0,1
1519432111,1,0
1519438127,0,1
1519441962,0,1
1519445806,1,0
1519461875,1,0
1519478217,0,1
1519490924,1,0
1519492845,1,69
1519498591,2,0
1519500458,1,0
1519506270,1,0
1519513394,2,0
1519517473,0,1
1519521300,1,0
1519533408,0,1
1519539426,1,0
1519545040,1,0
1519546843,0,1
1519578124,0,1
1519579945,0,1
1519584052,0,2
1519586218,0,1
1519594100,0,1
1519596100,2,0
1519597943,0,2
1519607977,0,1
1519612103,1,0
1519625807,0,1
1519631584,0,1
1519682499,0,2
1519686276,1,0
1519690132,1,0
1519699935,0,1
1519746282,1,0
1519767172,1,0
1519772938,0,1
1519777007,0,1
1519800041,1,0
1519804118,1,0
1519830997,0,1
1519837769,1,0
1519851415,1,0
1519853352,0,1
1519887699,0,1
1519891489,1,1
1519899164,1,0
1519914535,69,0
1519920299,1,0
1519924122,0,1
1519937792,0,1
1519948379,1,0
1519954357,1,0
1519958201,1,0
1519962034,1,0
1519977391,0,1
1519981499,1,0
1519987236,0,1
1519989158,1,0
1519999873,1,0
1520005721,0,1
1520022986,1,0
1520024938,1,0
1520030667,1,0
1520035004,0,1
1520040795,0,1
1520044639,0,1
1520048490,0,1
1520067746,0,1
1520085171,1,0
1520087179,0,1
1520093096,0,1
1520112777,0,1
1520116616,0,1
1520153556,1,0
1520170883,1,1
1520182674,0,69
1520190351,0,1
1520200366,2,0
1520241459,0,1
1520256822,0,1
1520286783,1,1
1520317726,1,0
1520325886,1,0
