DateTime,AddedIPs,RemovedIPs
1512429665,2,0
1512604126,1,0
1512865742,1,2
1512952868,0,1
1513127094,1,2
1513301597,0,1
1513388668,0,4
1513650277,4,5
1513737675,1,4
1513999012,0,5
1514086147,0,2
1514173237,0,2
1514260373,3,0
1514347839,1,1
1514434856,1,0
1514522214,0,1
1514609755,0,7
1514697059,1,1
1514784362,1,1
1514871421,1,0
1514958554,0,2
1515176752,0,6
1515264040,1,1
1515351320,1,1
1515526279,0,1
1515700595,0,1
1515875206,0,1
1515962860,1,0
1516137431,2,0
1516224630,0,2
1516311934,0,2
1516399011,0,2
1516747492,1,0
1516835049,1,0
1516922257,1,2
1517009345,4,2
1517096470,1,0
1517270947,1,0
1517358060,1,2
1517532278,0,3
1517619406,1,0
1517706546,1,0
1517880988,0,1
1518142370,1,0
1518229493,2,2
1518491326,1,0
1518753184,0,1
1519101751,1,0
1519275817,0,1
1519624374,0,3
1519711407,0,2
1519798620,1,0
1519885743,0,2
1520409415,1,1
1520583891,1,1
1520671236,0,1
1520758374,1,0
1520845493,0,3
1520932843,0,1
1521019971,0,1
1521194491,0,1
1521456318,1,0
1521717633,0,2
1522022698,0,1
1522284286,1,0
