DateTime,AddedIPs,RemovedIPs
1522724172,12,0
1522724902,8,10
1522725611,12,8
1522726346,4,7
1522727059,8,4
1522727775,7,8
1522728495,9,6
1522729225,6,10
1522729939,5,0
1522730659,5,7
1522731372,8,4
1522732100,4,10
1522732814,9,7
1522733537,6,5
1522734501,6,7
1522735217,6,4
1522736250,5,9
1522737742,10,15
1522738951,10,11
1522739986,11,6
1522740623,7,9
1522741287,3,0
1522742473,16,24
1522743517,9,6
1522744156,6,4
1522745061,11,8
1522746103,8,14
1522746990,13,6
1522747951,5,4
1522748656,11,19
1522749374,7,0
1522750343,13,4
1522751064,6,6
1522752033,13,6
1522752999,14,13
1522753954,15,18
1522754908,11,2
1522755871,9,15
1522756848,14,4
1522757797,14,5
1522758744,11,10
1522759455,9,10
1522760174,5,0
1522760900,3,5
1522761628,6,14
1522762586,2,8
1522763549,11,7
1522764520,9,8
1522765467,12,9
1522766422,9,17
1522767133,7,0
1522767868,10,9
1522768574,8,14
1522769309,3,4
1522770263,13,5
1522770976,10,12
1522772243,11,14
1522772906,5,5
1522775159,29,23
1522775793,12,0
1522776742,12,24
1522777705,9,9
1522778911,17,8
1522779948,7,9
1522780897,12,13
1522781991,9,23
1522782982,11,5
1522785463,29,36
1522786355,14,6
1522787316,15,11
1522788261,15,9
1522789521,9,22
1522790422,8,17
1522791133,4,0
1522791856,8,10
1522792569,10,3
1522793429,6,13
1522794500,4,9
1522796062,10,10
1522797221,9,19
1522797896,2,9
1522798575,9,0
1522799297,10,11
1522800034,6,7
1522800988,6,25
1522801714,7,0
1522802660,7,10
1522803649,9,14
1522804338,8,15
1522805365,11,15
1522806071,10,8
1522806730,4,0
1522807701,14,14
1522808664,9,6
1522809623,15,19
1522810333,11,5
1522811070,4,6
1522811781,3,10
1522812496,5,8
1522813467,7,13
1522814433,5,7
1522815390,5,6
1522816348,11,13
1522817327,12,6
1522818269,8,6
1522819220,12,9
1522819934,7,0
1522820662,9,11
1522821373,8,11
1522822351,7,15
1522823302,8,11
1522824264,8,13
1522825229,12,0
1522825867,3,13
1522826656,6,6
1522827616,5,7
1522828335,6,10
1522829064,4,7
1522829790,10,0
1522830745,8,16
1522831706,20,7
1522832669,9,19
1522833626,13,6
1522834585,14,6
1522835545,7,4
1522836510,6,4
1522837469,4,16
1522838419,11,0
1522839400,13,14
1522840344,8,0
1522841311,7,16
1522842270,5,0
1522843283,11,11
1522844190,8,0
1522845142,11,13
1522845859,10,9
1522846577,21,8
1522847316,9,7
1522848284,15,10
1522849224,9,13
1522849932,10,0
1522850663,6,8
1522851619,9,10
1522852336,11,14
1522853067,9,2
1522853771,12,16
1522854502,8,6
1522857836,39,34
1522859593,19,24
1522860281,5,0
1522861237,16,0
1522862188,13,7
1522863140,9,4
1522863855,9,15
1522864825,11,11
1522865537,7,14
1522866261,8,0
1522867222,13,16
1522868189,8,13
1522869149,18,8
1522869855,8,23
1522870580,13,0
1522871294,7,0
1522872234,5,11
1522872995,7,12
1522874196,15,16
1522875142,14,8
1522875877,6,0
1522876574,3,15
1522877801,10,17
1522878888,8,9
1522879960,12,13
1522881270,16,16
1522884001,28,20
1522885694,13,21
1522886687,4,16
1522887391,9,13
1522888340,12,11
1522889071,3,11
1522889864,9,0
1522891984,15,36
1522892665,14,3
1522893621,23,19
1522894343,8,11
1522895058,5,0
1522896030,8,23
1522896983,15,14
1522897949,7,5
1522898663,8,9
1522900897,22,17
1522901552,9,0
1522903726,15,31
1522904677,5,22
1522905372,6,0
1522906101,5,6
1522907059,11,10
1522908022,9,11
1522908990,9,8
1522911394,24,9
1522912138,3,5
1522913061,9,17
1522915504,12,21
1522916184,8,0
1522916954,4,6
1522917874,7,10
1522918585,7,8
1522919546,14,12
1522920527,3,6
1522921232,3,6
1522922177,19,16
1522923393,12,6
1522924877,14,18
1522925777,6,0
1522926751,13,17
1522927701,6,0
1522928412,4,7
1522929141,6,10
1522929871,8,10
1522930840,5,6
1522931543,28,9
1522932255,9,0
1522933237,5,36
1522933953,30,9
1522934668,13,0
1522935377,3,13
1522936340,13,8
1522937311,9,18
1522938261,5,3
1522939225,12,4
1522939937,2,9
1522940666,11,8
1522941616,10,40
1522942586,11,0
1522943538,13,0
1522944259,6,21
1522944983,6,0
1522945693,12,0
1522946425,8,1
1522947385,6,11
1522948358,14,13
1522949300,16,5
1522950264,18,18
1522951226,20,8
1522951940,5,8
1522952664,14,8
1522953374,12,0
1522954348,14,11
1522955312,16,16
1522957299,19,38
1522959613,26,33
1522960349,5,0
1522961316,29,5
1522962015,6,4
1522962743,9,8
1522963457,5,19
1522964183,7,0
1522964901,3,14
1522965853,11,9
1522966820,17,15
1522967537,10,0
1522968264,4,21
1522969238,12,0
1522970195,4,0
1522971144,11,10
1522971854,9,0
1522972571,8,9
1522973294,2,8
1522974020,11,8
1522974985,9,7
1522975941,13,2
1522976667,7,31
1522977379,8,0
1522978096,8,0
1522979061,16,5
1522980024,7,32
1522980989,17,9
1522981938,16,7
1522982904,6,13
1522983618,5,13
1522984345,8,0
1522985064,8,34
1522986021,13,0
1522986734,9,0
1522987464,3,13
1522988669,10,24
1522989377,12,0
1522990099,5,0
1522991077,5,6
1522992021,7,13
1522992988,6,10
1522993939,7,10
1522994911,5,10
1522995611,9,15
1522996360,3,0
1522997061,10,0
1522997797,10,9
1522998749,12,6
1522999699,12,17
1523000440,11,0
1523001132,6,0
1523001862,3,0
1523002822,13,15
1523003784,11,9
1523004746,7,7
1523005458,4,4
1523006183,8,3
1523006893,8,0
1523007617,7,6
1523008584,9,18
1523009546,10,0
1523010506,8,17
1523011464,9,10
1523012435,21,14
1523013138,6,0
1523013866,8,6
1523014575,10,3
1523015298,8,7
1523016285,7,18
1523016971,8,0
1523017701,5,6
1523018415,6,40
1523019160,6,4
1523020115,7,11
1523021062,7,22
1523022266,10,9
1523023474,10,7
1523024425,9,10
1523025136,10,7
1523025859,8,4
1523026572,7,6
1523027540,10,11
1523028278,9,11
1523029220,9,7
1523029934,6,0
1523030664,4,8
1523031380,7,0
1523032351,10,17
1523033055,7,9
1523033778,2,0
1523034495,9,9
1523035225,6,12
1523036215,12,10
1523037147,8,9
1523037855,7,4
1523038581,8,10
1523039544,12,8
1523040254,9,19
1523040982,4,14
1523041956,11,23
1523042656,10,0
1523043378,9,0
1523044094,5,28
1523044826,8,0
1523046263,8,8
1523048112,26,23
1523048894,5,6
1523049620,9,5
1523050337,8,5
1523051058,6,7
1523052039,8,8
1523052738,8,11
1523053462,8,5
1523054643,10,6
1523055619,5,14
1523056584,8,9
1523057540,12,8
1523058249,4,10
1523058970,6,6
1523059946,3,10
1523060654,12,12
1523061384,8,0
1523062343,13,15
1523063055,2,0
1523063792,12,19
1523064491,13,0
1523065220,8,13
1523066182,13,9
1523067160,9,17
1523068110,16,15
1523069063,5,13
1523070058,19,13
1523070988,9,15
1523071946,15,13
1523072654,6,10
1523073378,7,1
1523074094,3,16
