DateTime,Entries,UniqueIPs
1522724172,16108,16611
1522724902,16106,16609
1522725611,16107,16610
1522726346,16106,16608
1522727059,16100,16602
1522727775,16107,16609
1522728495,16110,16612
1522729225,16110,16612
1522729939,16106,16608
1522730659,16109,16611
1522731372,16110,16612
1522732100,16106,16608
1522732814,16105,16607
1522733537,16107,16609
1522734501,16105,16607
1522735217,16109,16611
1522736250,16095,16597
1522737742,16094,16596
1522738951,16093,16595
1522739986,16092,16594
1522740623,16091,16593
1522741287,16090,16592
1522742473,16101,16603
1522743517,16095,16597
1522744156,16097,16599
1522745061,16103,16605
1522746103,16095,16597
1522746990,16100,16602
1522747951,16098,16600
1522748656,16094,16597
1522749374,16089,16592
1522750343,16093,16596
1522751064,16093,16596
1522752033,16102,16605
1522752999,16112,16615
1522753954,16113,16616
1522754908,16118,16621
1522755871,16118,16621
1522756848,16116,16619
1522757797,16123,16626
1522758744,16131,16634
1522759455,16134,16637
1522760174,16134,16638
1522760900,16131,16635
1522761628,16131,16635
1522762586,16120,16624
1522763549,16121,16625
1522764520,16118,16622
1522765467,16113,16617
1522766422,16119,16623
1522767133,16116,16620
1522767868,16118,16622
1522768574,16121,16622
1522769309,16119,16620
1522770263,16127,16628
1522770976,16129,16629
1522772243,16123,16623
1522772906,16122,16616
1522775159,16124,16618
1522775793,16128,16622
1522776742,16127,16622
1522777705,16127,16622
1522778911,16125,16620
1522779948,16119,16614
1522780897,16118,16613
1522781991,16115,16610
1522782982,16117,16612
1522785463,16123,16618
1522786355,16124,16620
1522787316,16128,16624
1522788261,16132,16628
1522789521,16132,16628
1522790422,16132,16628
1522791133,16132,16628
1522791856,16127,16623
1522792569,16129,16625
1522793429,16126,16622
1522794500,16094,16582
1522796062,16092,16580
1522797221,16095,16583
1522797896,16093,16581
1522798575,16096,16584
1522799297,16104,16593
1522800034,16097,16586
1522800988,16101,16590
1522801714,16101,16589
1522802660,16099,16587
1522803649,16101,16588
1522804338,16101,16588
1522805365,16088,16575
1522806071,16079,16565
1522806730,16082,16568
1522807701,16080,16566
1522808664,16074,16560
1522809623,16083,16569
1522810333,16080,16566
1522811070,16066,16552
1522811781,16068,16554
1522812496,16065,16551
1522813467,16062,16548
1522814433,16067,16553
1522815390,16066,16552
1522816348,16064,16550
1522817327,16064,16550
1522818269,16066,16552
1522819220,16075,16561
1522819934,16075,16561
1522820662,16078,16564
1522821373,16080,16565
1522822351,16078,16563
1522823302,16085,16570
1522824264,16081,16566
1522825229,16084,16569
1522825867,16087,16572
1522826656,16081,16566
1522827616,16077,16562
1522828335,16074,16559
1522829064,16073,16558
1522829790,16074,16559
1522830745,16079,16564
1522831706,16082,16567
1522832669,16079,16563
1522833626,16081,16565
1522834585,16081,16565
1522835545,16058,16542
1522836510,16062,16546
1522837469,16052,16535
1522838419,16061,16544
1522839400,16060,16544
1522840344,16059,16543
1522841311,16055,16539
1522842270,16053,16537
1522843283,16054,16538
1522844190,16059,16543
1522845142,16059,16543
1522845859,16066,16551
1522846577,16070,16558
1522847316,16068,16556
1522848284,16071,16560
1522849224,16070,16559
1522849932,16077,16566
1522850663,16071,16559
1522851619,16064,16552
1522852336,16061,16549
1522853067,16061,16551
1522853771,16067,16557
1522854502,16062,16552
1522857836,16071,16561
