DateTime,AddedIPs,RemovedIPs
1522520144,3,0
1522521013,2,4
1522522901,10,4
1522523675,13,0
1522525534,0,1357
1522527016,1365,0
1522528235,6,3
1522529134,1,7
1522530638,3,8
1522532436,9,7
1522533335,2,0
1522534252,6,4
1522535297,2,0
1522536125,4,9
1522538072,3,8
1522540601,5,8
1522541456,0,1
1522543370,0,1351
1522544791,1358,0
1522545648,1,0
1522546528,1,23
1522547565,3,0
1522548653,12,2
1522550135,0,1350
1522552249,1339,0
1522555851,3,2
1522557642,6,1
1522559445,2,17
1522561614,5,27
1522562558,1,15
1522563636,1,0
1522564469,1,27
1522566879,6,27
1522567721,1,0
1522568576,3,0
1522569399,13,18
1522570242,1,0
1522572032,1,24
1522572930,5,0
1522573848,1,3
1522575756,4,4
1522576771,1,2
1522577744,2,0
1522578931,2,11
1522579354,1,0
1522581276,6,3
1522582845,1,14
1522583799,1,8
1522584638,2,0
1522586585,5,11
1522587396,0,10
1522588246,0,2
1522590147,3,9
1522591844,4,5
1522593649,1,9
1522595445,3,6
1522597245,7,119
1522598501,3,13
1522599268,2,0
1522600543,6,5
1522602641,3,12
1522603715,1,0
1522606512,6,74
1522607404,1,15
1522609492,7,8
1522610407,0,960
1522611328,974,0
1522611763,1,0
1522613667,3,7
1522614507,2,0
1522615327,0,973
1522617288,947,0
1522618123,4,0
1522619787,12,20
1522620661,8,5
1522622429,7,28
1522624238,4,8
1522626042,1,26
1522626940,3,0
1522627838,2,15
1522629757,27,19
1522630675,3,13
1522631739,2,0
1522632647,1,13
1522633963,2,7
1522635266,2,21
1522636238,0,850
1522636962,844,0
1522638645,11,3
1522639706,4,1
1522640543,0,855
1522641402,840,0
1522642228,3,13
1522644171,3,13
1522645016,9,15
1522645845,1,0
1522647770,3,2
1522649675,5,1
1522650508,4,0
1522651374,14,14
1522652198,17,5
1522653045,7,0
1522654971,27,19
1522656661,7,7
1522657763,0,851
1522658737,855,0
1522659797,4,17
1522660838,0,842
1522663159,853,0
1522664070,3,1
1522664910,6,0
1522665728,3,21
1522666885,4,3
1522667680,0,2
1522669030,5,3
1522670092,7,5
1522671048,3,0
1522671889,4,0
1522672822,6,1
1522673812,9,7
1522674641,4,1
1522676552,4,27
1522678240,12,5
1522679759,13,5
1522680173,2,0
1522680992,4,0
1522681840,7,4
1522683042,5,9
1522684101,1,7
1522684995,2,11
1522686511,6,0
1522687351,6,16
1522688867,18,11
1522691144,17,7
1522693434,0,858
1522693710,855,0
1522694869,5,23
1522695894,0,837
1522697313,834,0
1522698957,14,14
1522699848,4,1
1522701068,15,10
1522701942,20,0
1522703694,3,9
1522704956,15,6
1522705903,12,0
1522706848,16,1
1522707822,10,0
1522708810,0,902
1522708965,909,0
1522710870,22,2
1522711721,9,0
1522712760,13,5
1522714208,10,0
1522715117,20,0
1522716059,13,3
1522717006,5,0
1522717860,9,4
1522719062,2,2
1522719941,5,2
1522720592,11,2
1522721444,5,0
1522723354,5,2
1522725272,13,2
1522726222,3,4
1522727431,6,1
1522728655,10,1
1522729926,11,4
1522730748,5,0
1522732029,8,4
1522732873,3,0
1522734025,0,1059
1522734166,1065,0
1522736461,11,2
1522737952,20,3
1522739444,6,0
1522739673,1,0
1522740681,17,0
1522741568,13,0
1522742190,7,3
1522743058,8,1
1522744253,11,4
1522745071,5,1
1522745791,11,2
1522746905,6,0
1522747842,6,2
1522748646,3,1
1522749876,7,3
1522750709,6,0
1522751732,1,5
1522752817,8,0
1522753846,3,1
1522754737,3,1
1522755756,5,7
1522756781,0,1187
1522757679,1195,0
1522758630,9,3
1522760206,2,5
1522761041,5,0
1522762116,2,1
1522763139,4,3
1522764113,9,3
1522764867,8,0
1522765858,11,6
1522766548,5,0
1522767389,4,0
1522768231,5,6
1522769139,4,0
1522770028,4,73
1522770994,2,2
1522772067,4,2
1522773028,8,1
1522774593,12,0
1522775677,3,1
1522777358,2,11
1522778260,2,3
1522779344,3,0
1522780237,1,2
1522780955,3,1
1522782173,12,1
1522785072,0,1195
