DateTime,AddedIPs,RemovedIPs
1522452523,8,0
1522453564,12,2
1522455291,6,2
1522456272,5,5
1522457173,4,0
1522458658,13,2
1522459852,4,3
1522460758,7,2
1522462046,5,12
1522463041,7,0
1522464054,14,7
1522466081,15,0
1522466928,5,0
1522467820,6,3
1522469688,3,2
1522470541,1,0
1522471359,7,3
1522472361,3,5
1522473363,2,0
1522474595,6,9
1522476962,2,6
1522478559,1,4
1522479960,2,3
1522480885,3,0
1522481919,0,4
1522482940,4,6
1522484112,7,0
1522484931,3,0
1522485767,0,7
1522487450,2,3
1522488625,3,4
1522489555,4,1
1522490631,5,1
1522491545,2,0
1522492949,2,21
1522493810,2,0
1522494659,3,14
1522495727,9,0
1522497594,3,20
1522498481,3,0
1522499318,1,0
1522501008,2,16
1522501857,2,0
1522502739,1,0
1522503665,0,14
1522505451,4,7
1522506955,7,12
1522508203,3,4
1522509056,3,0
1522510968,0,13
1522514528,13,4
1522516852,15,5
1522518081,5,9
1522519184,8,4
1522520163,1,0
1522521054,2,3
1522522945,8,2
1522523688,13,0
1522525569,11,6
1522527055,6,11
1522528283,6,2
1522529178,2,6
1522530651,2,7
1522532452,6,5
1522533348,2,0
1522534525,7,4
1522535422,0,8
1522538086,2,4
1522539759,2,3
1522540616,1,1
1522541712,0,1
1522543384,2,1
1522544816,0,10
1522546540,0,13
1522547577,2,0
1522550143,2,6
1522551429,1,12
1522552522,1,0
1522555953,1,2
1522557695,2,1
1522559461,0,13
1522561637,3,20
1522562609,1,13
1522564485,1,25
1522566891,3,27
1522568597,2,0
1522569411,0,17
1522572068,0,10
1522572944,1,0
1522574064,0,3
1522575767,1,1
1522576783,0,2
1522577762,1,0
1522578943,2,9
1522579375,1,0
1522581288,4,3
1522582895,0,14
1522583821,2,5
1522584655,1,0
1522586624,1,9
1522587407,0,9
1522590159,1,7
1522592020,4,5
1522593705,1,6
1522594632,1,0
1522595462,2,5
1522597262,6,8
1522598529,0,4
1522600555,3,4
1522602658,2,11
1522606544,5,60
1522607418,1,13
1522609504,5,6
1522611339,1,3
1522611774,1,0
1522613678,4,5
1522614519,1,0
1522615351,0,22
1522617301,1,5
1522618135,1,0
1522619799,5,13
1522620940,6,4
1522622441,7,25
1522624255,3,7
1522626060,0,17
1522626958,2,0
1522627855,1,11
1522629768,22,14
1522631757,2,11
1522632685,0,11
1522633976,1,7
1522635278,2,21
1522636272,10,14
1522637015,8,6
1522638662,9,3
1522639718,3,0
1522641421,5,13
1522642241,3,10
1522644221,1,9
1522645028,3,1
1522647795,1,1
1522649687,1,1
1522650519,2,0
1522651437,15,9
1522652210,15,5
1522653062,7,0
1522655016,18,18
1522656887,7,3
1522658760,12,5
1522659846,3,12
1522660861,8,0
1522662080,5,4
1522663187,3,1
1522664082,0,1
1522664923,5,0
1522665743,3,13
1522666924,2,2
1522669070,3,3
1522670113,7,4
1522672222,7,1
1522672987,7,0
1522673846,7,4
1522674662,3,1
1522676566,2,11
1522678373,9,5
1522679796,12,4
1522680187,1,0
1522681006,4,0
1522681855,5,4
1522683085,5,6
1522685052,1,16
1522686524,6,0
1522687365,6,15
1522688882,16,10
1522691176,14,6
1522693454,4,7
1522693724,2,0
1522694883,2,22
1522695911,4,13
1522696900,2,0
1522700126,18,9
1522701123,16,7
1522701962,18,0
1522703708,2,7
1522705005,15,5
1522705919,13,0
1522706881,16,1
1522707836,9,0
1522708978,13,5
1522710883,21,1
1522711736,9,0
1522712806,10,4
1522714256,11,0
1522715134,18,0
1522716098,13,0
1522717025,4,0
1522718141,9,4
1522719109,1,1
1522719967,4,0
1522720606,9,1
1522721715,5,0
1522723367,4,0
1522725286,11,2
1522726269,3,2
1522727448,6,1
1522728915,12,1
1522730047,7,0
1522732064,12,3
1522732918,2,0
1522734185,8,2
1522736491,11,0
1522738003,17,1
1522739687,6,0
1522740746,16,0
1522741606,11,0
1522742202,6,2
1522743330,11,0
1522744300,6,0
1522745103,5,0
1522745804,8,1
1522747863,7,1
1522748675,3,1
1522750724,10,3
1522751744,1,3
1522752829,6,0
1522753862,3,1
1522754749,2,0
1522755771,5,4
1522757690,8,0
1522758653,8,2
1522760224,2,2
1522761059,2,0
1522762128,2,1
1522763156,5,2
1522764146,10,2
1522764879,4,0
1522765886,10,6
1522766559,4,0
1522767405,1,0
1522768243,3,2
1522769152,3,0
1522770039,3,2
1522771006,2,2
1522772079,2,2
1522773060,7,1
1522774605,10,0
1522775689,3,1
1522777370,2,10
1522778272,1,2
1522779374,3,0
1522780256,1,2
1522780967,2,0
1522782211,10,1
1522785089,7,5
1522786005,4,2
1522786478,3,0
1522787741,3,1
1522788161,1,0
1522790148,2,6
1522791679,4,7
1522793683,5,2
1522794510,3,0
1522795541,5,3
1522797062,5,3
1522798273,2,7
1522800412,0,6
1522802188,3,2
1522803192,4,0
1522804252,3,2
1522805277,8,0
1522806202,2,7
1522807000,0,11
1522809943,3,4
1522811696,8,6
1522812693,6,3
1522813552,5,0
1522815060,8,5
1522816960,3,1
1522817816,2,1
1522818663,2,0
1522820136,5,2
1522822256,8,27
1522823756,9,11
1522826104,12,3
1522827770,6,10
1522828603,10,7
1522829456,4,0
1522830711,5,8
1522831360,1,0
1522832522,4,2
1522833363,1,0
1522834540,2,2
1522836888,0,2
1522837828,3,2
1522838738,1,3
1522840068,2,6
1522841324,3,0
1522842284,3,8
1522843629,1,5
1522844483,1,0
1522845320,1,0
1522846353,0,1
1522846587,1,5
1522847715,3,0
1522849371,0,17
1522850248,1,0
1522851289,0,2
1522852130,1,0
1522852996,2,5
1522853809,4,1
1522854912,1,0
1522857400,5,11
1522859456,1,27
1522860353,0,1
1522862113,3,2
1522863761,2,9
1522865460,1,1
1522866493,2,0
1522868581,4,10
1522870970,4,10
1522871968,1,17
1522872980,3,0
1522873822,1,5
1522874778,0,10
1522877748,3,39
1522879671,2,8
1522880101,3,0
1522883224,6,33
1522884520,2,0
1522885372,1,30
1522887058,1,9
1522888861,0,10
1522891282,5,13
1522892483,1,9
1522893408,3,0
1522895445,4,16
1522897001,1,9
1522899965,4,14
1522901215,3,7
1522903370,2,10
1522904199,0,8
1522905296,1,0
1522906260,3,12
1522907752,3,6
1522908883,0,4
1522910748,0,37
1522912535,2,16
1522913503,0,13
1522914161,1,3
1522915854,1,13
1522917255,2,8
1522920521,8,17
1522921360,1,12
1522923050,1,5
1522925632,3,8
1522926967,2,4
1522928148,0,14
1522929595,0,2
1522930547,1,0
1522931978,2,5
1522935693,8,42
1522936619,1,5
1522939287,1,11
1522940157,1,2
1522941059,2,0
1522943149,3,11
1522944104,1,14
1522944956,1,0
1522946577,1,6
1522948484,2,1
1522949466,4,3
1522950161,0,2
1522951873,5,10
1522953953,1,5
1522955160,0,3
1522957376,1,10
1522958279,1,2
1522960142,1,0
1522966295,9,41
1522968170,0,4
1522970082,15,0
1522971075,10,1
1522971959,4,0
1522972939,1,11
1522974689,0,14
1522976248,1,1
1522981103,18,8
1522982115,10,35
1522982601,4,0
1522983675,8,14
1522986173,16,7
1522988086,14,3
1522989097,4,2
1522989769,2,0
1522991692,3,14
1522992520,3,0
1522993560,4,24
1522994777,2,18
1522996996,3,8
1522998887,12,21
1522999909,0,4
1523000582,0,1
1523002551,6,7
1523004629,2,4
1523006114,3,1
1523009449,48,3
1523010521,4,0
1523011361,6,3
1523013355,21,3
