DateTime,AddedIPs,RemovedIPs
1522546507,20,144
1522547545,44,0
1522548607,57,62
1522550107,48,97
1522551396,27,106
1522552210,51,0
1522555807,115,165
1522557606,113,69
1522559407,78,110
1522561498,63,111
1522562522,34,49
1522563610,59,0
1522564435,24,91
1522566847,85,118
1522567688,29,0
1522568537,27,63
1522569367,46,108
1522570192,29,0
1522572007,77,763
1522572906,66,0
1522573810,46,64
1522575727,95,108
1522576737,53,47
1522577707,46,19
1522578906,66,190
1522579329,26,0
1522581247,121,56
1522582807,94,142
1522583767,56,102
1522584607,52,0
1522586552,137,173
1522587366,45,79
1522588209,64,0
1522590127,120,151
1522591815,95,64
1522592658,35,0
1522593607,48,120
1522594595,40,0
1522595407,49,78
1522596208,36,0
1522597215,47,235
1522598460,101,52
1522599247,87,0
1522600522,154,73
1522602607,165,40
1522603686,83,0
1522606232,148,180
1522607106,53,0
1522609469,125,134
1522610406,42,0
1522611307,48,80
1522611728,18,0
1522613647,95,80
1522614487,34,0
1522615327,30,92
1522617246,89,45
1522618086,49,0
1522619767,87,104
1522620606,38,50
1522622407,78,90
1522624207,103,46
1522626007,71,89
1522626899,61,0
1522627807,36,95
1522629726,95,102
1522630655,51,60
1522631707,50,0
1522632617,38,73
1522633940,74,49
1522635246,55,79
1522636219,49,82
1522636931,50,24
1522638606,83,73
1522639686,57,0
1522640533,48,94
1522641371,38,0
1522642189,41,41
1522644133,90,78
1522644994,46,53
1522645806,50,0
1522647732,79,82
1522649647,87,48
1522650487,42,1
1522651330,58,100
1522652167,53,53
1522653007,30,1
1522654931,110,156
1522656608,93,58
1522657763,0,10863
1522658708,10893,0
1522659754,57,105
1522660807,57,0
1522663077,147,194
1522664048,50,109
1522664887,55,0
1522665700,61,136
1522666802,70,75
1522667647,46,1
1522668998,79,66
1522670063,0,10829
1522671006,10869,0
1522671858,45,0
1522672788,53,61
1522673788,54,79
1522674607,42,1
1522676529,118,128
1522678207,158,92
1522679726,105,118
1522680128,53,1
1522680968,77,0
1522681807,95,47
1522683009,114,83
1522684062,113,30
1522684962,47,50
1522685762,63,1
1522686488,44,0
1522687328,80,76
1522688824,105,77
1522691108,164,56
1522692549,110,65
1522693687,63,0
1522695849,86,142
1522696819,29,0
1522697287,17,0
1522698927,74,143
1522699809,77,0
1522701031,87,58
1522701908,52,0
1522703650,70,72
1522704908,86,63
1522705874,47,0
1522706800,53,46
1522707607,50,0
1522709728,110,86
1522710847,56,57
1522711688,44,0
1522712707,61,78
1522714176,87,33
1522715091,53,0
1522716018,55,77
1522716970,47,0
1522717808,48,48
1522719026,61,58
1522719908,41,23
1522720568,45,37
1522721408,78,0
1522723327,83,84
1522725248,121,42
1522726134,34,0
1522727407,58,126
1522728608,72,29
1522729889,84,53
1522730710,38,17
1522732004,59,34
1522732808,82,0
1522734019,52,81
1522734129,9,0
1522736409,91,42
1522737908,76,85
1522739408,68,59
1522739648,11,0
1522740626,45,65
1522741505,49,0
1522742166,35,115
1522743021,47,0
1522744220,60,83
1522745029,37,23
1522745767,40,59
1522746609,37,0
1522747814,62,79
1522748624,51,3
1522749833,65,92
1522750671,44,1
1522751711,46,100
1522752792,66,1
1522753806,47,56
1522754715,46,0
1522755727,72,120
1522756771,55,53
1522757646,37,9
1522758626,0,12468
1522759327,12511,0
1522760184,116,70
1522761006,95,1
1522762087,77,0
1522763107,79,94
1522764081,72,49
1522764847,51,0
1522765828,57,82
1522766527,45,0
1522767367,54,0
1522768170,42,67
1522769107,42,0
1522770007,30,218
1522770968,37,63
1522772046,59,1
1522772933,40,0
1522774567,58,114
1522775647,48,93
1522777329,69,103
1522778226,37,50
1522779307,53,1
1522780207,30,50
1522780927,24,19
1522782138,44,60
1522785065,97,79
1522785894,37,52
1522786446,21,0
1522787707,56,70
1522788127,17,0
1522789179,31,75
1522790087,24,0
1522791607,68,64
1522793647,94,82
1522794477,32,0
1522795506,61,105
1522797008,56,72
1522798217,59,70
1522800376,66,89
1522801207,24,0
1522802106,48,105
1522803155,38,1
1522804207,56,51
1522805236,44,0
1522806152,40,73
1522806966,25,88
1522807807,29,0
1522809027,68,81
1522809907,42,37
1522811647,77,52
1522812619,50,85
1522813507,49,0
1522815007,70,87
1522815906,53,0
1522816927,37,115
1522817779,42,41
1522818606,33,0
1522820107,74,97
1522822207,115,114
1522823707,84,117
1522825807,118,69
1522826760,39,0
1522827727,61,87
1522828567,49,91
1522829407,42,1
1522830625,57,98
1522831327,45,1
1522832428,0,12614
1522833307,12610,0
1522834507,53,159
1522835706,62,0
1522836847,79,68
1522837724,37,0
1522838682,63,136
1522840024,77,82
1522841286,167,1
1522842265,135,138
1522843564,175,61
1522844410,43,0
1522845256,49,90
1522846302,55,0
1522846566,18,175
1522847407,54,0
1522848266,46,0
1522849207,38,191
1522850196,52,0
1522851016,45,123
1522852087,50,0
1522852938,49,251
1522853767,43,89
1522854607,33,0
1522857367,152,250
1522859407,77,189
1522860306,55,0
1522861807,76,192
1522863165,62,81
1522863728,23,28
1522865407,124,51
1522866461,71,0
1522867484,0,12318
1522868522,12306,0
1522869607,79,0
1522870462,57,141
1522870927,29,0
1522871862,51,81
1522872907,79,0
1522873709,31,0
1522874515,50,136
1522877707,148,208
1522878726,53,0
1522879627,61,66
1522880048,31,0
1522883178,177,188
1522884486,87,0
1522885339,103,148
1522887007,76,62
1522887907,51,0
1522888807,48,121
1522891207,121,74
1522892407,51,161
1522893367,46,0
1522894207,55,83
1522895408,52,76
1522896967,104,91
1522897807,41,0
1522899907,99,146
1522901152,84,62
1522903328,101,151
1522904167,63,63
1522905007,30,0
1522905247,5,0
1522906208,52,86
1522907706,56,31
1522908848,54,63
1522910706,87,128
1522912207,67,72
1522913418,53,101
1522914128,25,39
1522915807,75,70
1522917128,49,109
1522918503,70,122
1522919407,45,1
1522920354,41,0
1522921327,29,115
1522923007,91,54
1522924087,56,0
1522925599,113,89
1522926907,72,122
1522928107,58,160
1522929561,73,155
1522930507,55,0
1522931943,55,171
1522935615,114,236
1522936567,73,99
1522937409,38,0
1522939207,77,99
1522940107,44,54
1522941007,68,0
1522942086,45,0
1522944062,119,191
1522944907,57,1
1522946540,83,106
1522947422,40,56
1522948225,56,1
1522948447,11,0
1522949397,37,68
1522950128,33,15
1522950980,39,0
1522951807,40,34
1522952913,63,0
1522953906,36,69
1522955107,66,60
1522955647,22,1
1522956633,49,78
1522957327,46,43
1522958239,42,39
1522959041,37,0
1522960109,45,1
1522966207,169,322
1522967303,36,0
1522968127,32,97
1522969160,48,51
1522970047,70,0
1522971008,45,62
1522971906,64,1
1522972880,37,86
1522973649,23,0
1522974635,46,95
1522976216,74,74
1522981069,176,160
1522982083,79,146
1522982535,46,0
1522983580,40,48
1522986004,117,124
1522986128,7,0
1522988046,81,59
1522989019,59,77
1522989727,40,0
1522991646,82,104
1522992487,50,0
1522993508,37,140
1522994717,53,74
1522995608,42,0
1522996086,17,0
1522996956,44,99
1522998849,135,128
1522999862,42,83
1523000527,32,40
1523001336,34,0
1523002207,38,72
1523004597,118,103
1523005507,37,76
