DateTime,Entries,UniqueIPs
1522541448,12892,12892
1522543369,12876,12876
1522545641,12864,12864
1522546525,12809,12809
1522547563,12832,12832
1522548646,12824,12824
1522550134,12796,12796
1522552241,12790,12790
1522555844,12746,12746
1522557635,12762,12762
1522559442,12746,12746
1522561604,12734,12734
1522562549,12741,12741
1522563633,12770,12770
1522564462,12728,12728
1522566876,12740,12740
1522567714,12757,12757
1522568573,12738,12738
1522569396,12709,12709
1522570220,12726,12726
1522572025,12077,12077
1522572925,12095,12095
1522573841,12072,12072
1522575753,12048,12048
1522576769,12049,12049
1522577737,12064,12064
1522578924,11990,11990
1522579351,12000,12000
1522581274,12033,12033
1522582838,12036,12036
1522583791,12013,12013
1522584635,12031,12031
1522586574,11964,11964
1522587388,11943,11943
1522588239,11965,11965
1522590145,11958,11958
1522591847,11960,11960
1522592688,11965,11965
1522593642,11921,11921
1522595442,11933,11933
1522597242,11921,11921
1522598491,11914,11914
1522599265,11930,11930
1522600539,11946,11946
1522602638,11967,11967
1522603713,11987,11987
1522606263,11965,11965
1522607123,11974,11974
1522609489,11966,11966
1522610407,8244,8244
1522611325,11964,11964
1522611760,11967,11967
1522613665,11966,11966
1522614504,11972,11972
1522615327,8244,8244
1522617281,11949,11949
1522618116,11960,11960
1522619785,11941,11941
1522620652,11936,11936
1522622426,11915,11915
1522624235,11912,11912
1522626039,11902,11902
1522626935,11918,11918
1522627835,11901,11901
1522629754,11892,11892
1522630673,11886,11886
1522631734,11907,11907
1522632644,11894,11894
1522633958,11895,11895
1522635264,11888,11888
1522636237,8244,8244
1522636960,11870,11870
1522638642,11850,11850
1522639704,11867,11867
1522640543,8244,8244
1522641400,11859,11859
1522642226,11857,11857
1522644160,11853,11853
1522645013,11844,11844
1522645842,11857,11857
1522647767,11851,11851
1522649673,11845,11845
1522650505,11856,11856
1522651358,11826,11826
1522652195,11816,11816
1522653042,11826,11826
1522654965,11806,11806
1522656650,11814,11814
1522657763,8244,8244
1522658734,11821,11821
1522659783,11787,11787
1522660838,8244,8244
1522663152,11625,11625
1522664067,11646,11646
1522664907,11666,11666
1522665723,11610,11610
1522666882,11597,11597
1522667677,11617,11617
1522669019,11620,11620
1522670063,8244,8244
1522671046,11634,11634
1522671886,11655,11655
1522672814,11646,11646
1522673809,11623,11623
1522674638,11645,11645
1522676549,11658,11658
1522678237,11724,11724
1522679747,11729,11729
1522680165,11764,11764
1522680988,11815,11815
1522681837,11857,11857
1522683038,11900,11900
1522684084,11953,11953
1522684992,11966,11966
1522686032,12001,12001
1522686508,12014,12014
1522687348,12010,12010
1522688859,12012,12012
1522691138,12096,12096
1522693434,8244,8244
1522693707,12150,12150
1522694860,12136,12136
1522695894,12126,12126
1522697310,12146,12146
1522698947,12131,12131
1522699845,12144,12144
1522701065,12144,12144
1522701939,12163,12163
1522703691,12162,12162
1522704947,12157,12157
1522705900,12168,12168
1522706844,12160,12160
1522707819,12174,12174
1522708810,8244,8244
1522708962,12155,12155
1522710867,12169,12169
1522711718,12185,12185
1522712750,12172,12172
1522714197,12184,12184
1522715111,12202,12202
1522716055,12199,12199
1522717003,12214,12214
1522717849,12203,12203
1522719058,12201,12201
1522719937,12213,12213
1522720589,12200,12200
1522721441,12220,12220
1522723351,12213,12213
1522725269,12239,12239
1522726214,12199,12199
1522727428,12200,12200
1522728646,12201,12201
1522729922,12224,12224
1522730742,12230,12230
1522732026,12232,12232
1522732866,12281,12281
1522734025,8244,8244
1522734162,12264,12264
1522736458,12282,12282
1522737945,12269,12269
1522739441,12267,12267
1522739670,12275,12275
1522740667,12254,12254
1522741549,12275,12275
1522742186,12239,12239
1522743049,12266,12266
1522744245,12244,12244
1522745063,12251,12251
1522745786,12252,12252
1522746638,12268,12268
1522747837,12265,12265
1522748644,12281,12281
1522749863,12264,12264
1522750698,12280,12280
1522751729,12257,12257
1522752815,12295,12295
1522753843,12280,12280
1522754734,12298,12298
1522755753,12312,12312
1522756781,8244,8244
1522757672,12335,12335
1522758626,8244,8244
1522759345,12382,12382
1522760203,12453,12453
1522761038,12529,12529
1522762114,12562,12562
1522763133,12568,12568
1522764110,12589,12589
1522764865,12615,12615
1522765855,12613,12613
1522766545,12640,12640
1522767386,12655,12655
1522768229,12643,12643
1522769136,12652,12652
1522770025,12622,12622
1522770992,12627,12627
1522772065,12644,12644
1522773016,12625,12625
1522774590,12634,12634
1522775674,12604,12604
1522777356,12618,12618
1522778257,12613,12613
1522779336,12632,12632
1522780235,12627,12627
1522780953,12623,12623
1522782170,12609,12609
1522785072,8244,8244
1522785913,12626,12626
1522786464,12630,12630
1522787725,12644,12644
1522788147,8244,8244
1522789197,12654,12654
1522790110,12667,12667
1522791642,12680,12680
1522793674,12709,12709
1522794496,12720,12720
1522795527,8244,8244
1522797043,12716,12716
1522798237,12705,12705
1522800398,12713,12713
1522801243,12725,12725
1522802142,12711,12711
1522803173,12727,12727
1522804238,12743,12743
1522805263,12757,12757
1522806170,12753,12753
1522806985,12737,12737
1522807827,8244,8244
1522809048,12765,12765
1522809927,12775,12775
1522811678,12799,12799
1522812645,12786,12786
1522813534,12802,12802
1522815040,12797,12797
1522815924,12812,12812
1522816945,12794,12794
1522817802,12797,12797
1522818643,12809,12809
1522820126,12804,12804
1522822236,12807,12807
1522823736,12789,12789
1522825844,12814,12814
1522826778,12831,12831
1522827755,12819,12819
1522828586,12792,12792
1522829440,12808,12808
1522830654,12803,12803
1522831346,12821,12821
1522832466,12815,12815
1522833339,12843,12843
1522834525,12817,12817
1522835733,12839,12839
1522836873,12837,12837
1522837743,12851,12851
1522838699,12813,12813
1522840052,12819,12819
1522841305,12954,12954
1522842268,8244,8244
1522843601,13121,13121
1522844440,13146,13146
1522845288,13134,13134
1522846320,13156,13156
1522846573,8244,8244
1522847444,13087,13087
1522848291,13097,13097
1522849238,13023,13023
1522849356,13028,13028
1522850215,13049,13049
1522851051,12989,12989
1522852109,8244,8244
1522852968,12867,12867
1522853794,12836,12836
1522854649,12852,12852
1522857384,12854,12854
1522859435,12819,12819
1522860335,12840,12840
1522861847,12760,12760
1522863747,12770,12770
1522865440,12784,12784
1522866479,12801,12801
1522867484,8244,8244
1522868558,12775,12775
1522869638,12792,12792
1522870484,12777,12777
1522870954,12785,12785
1522871880,12778,12778
1522872950,12815,12815
1522873737,12822,12822
1522874547,12803,12803
1522877734,12793,12793
1522878762,12817,12817
1522879656,12822,12822
1522880084,12826,12826
1522883203,12825,12825
1522884505,12859,12859
1522885357,12820,12820
1522887037,12834,12834
1522887925,12866,12866
1522888840,12838,12838
1522891243,12855,12855
1522892444,12833,12833
1522893388,12858,12858
1522894244,12851,12851
1522895430,12846,12846
1522896987,12879,12879
1522897847,12904,12904
1522899938,12878,12878
1522901190,12895,12895
1522903355,12856,12856
1522904185,12854,12854
1522905046,12867,12867
1522905279,12868,12868
1522906230,8244,8244
1522907738,12865,12865
1522908868,12869,12869
1522910728,12861,12861
1522912507,12866,12866
1522913454,12842,12842
1522914147,12834,12834
1522915837,12838,12838
1522917186,12812,12812
1522918522,12801,12801
1522919443,12824,12824
1522920375,8244,8244
1522921345,12802,12802
1522923035,12824,12824
1522924105,12854,12854
1522925617,12883,12883
1522926937,12847,12847
1522928133,12789,12789
1522929581,12702,12702
1522930531,12723,12723
1522931962,12652,12652
1522935646,12594,12594
1522936597,12588,12588
1522937438,12607,12607
1522939242,12623,12623
1522940137,12620,12620
1522941040,12639,12639
1522942108,12659,12659
1522943131,8244,8244
1522944083,12661,12661
1522944940,12676,12676
1522946561,12668,12668
1522947436,8244,8244
1522948469,12694,12694
1522949438,12677,12677
1522950147,12686,12686
1522950998,12699,12699
1522951839,12711,12711
1522952971,8244,8244
1522953936,12723,12723
1522955138,12719,12719
1522955666,12729,12729
1522956652,12719,12719
1522957345,12714,12714
1522958265,12712,12712
1522959309,12735,12735
1522960127,12749,12749
1522966244,12736,12736
1522967322,12751,12751
1522968146,12727,12727
1522969190,12720,12720
1522970067,12745,12745
1522971043,12730,12730
1522971939,12746,12746
1522972911,12736,12736
1522973687,12747,12747
1522974654,12728,12728
1522976234,12736,12736
1522981087,12732,12732
1522982101,12724,12724
1522982576,12743,12743
1522983599,12742,12742
1522986022,12748,12748
1522986156,12753,12753
1522988070,12759,12759
1522989052,12752,12752
1522989755,12765,12765
1522991677,12780,12780
1522992505,12790,12790
1522993537,12752,12752
1522994759,12744,12744
