DateTime,AddedIPs,RemovedIPs
1522503628,9,29
1522505432,29,32
1522506921,18,55
1522508184,32,27
1522509032,14,1
1522510103,22,1
1522510944,12,37
1522514509,51,74
1522516815,34,18
1522518024,12,27
1522519144,16,26
1522520123,9,1
1522520952,9,1
1522522882,20,56
1522523663,10,1
1522525531,16,33
1522526704,11,19
1522527624,18,0
1522528523,21,27
1522530626,38,17
1522532424,24,42
1522533323,11,1
1522534235,26,23
1522535289,11,2
1522536109,11,18
1522538060,25,22
1522540584,39,47
1522541434,22,0
1522543354,28,28
1522545627,32,23
1522546520,7,48
1522547558,15,1
1522548632,24,24
1522550124,22,41
1522552226,25,39
1522555834,41,44
1522557625,49,24
1522559433,27,21
1522561592,25,35
1522562540,8,16
1522563628,22,1
1522564448,7,9
1522566864,30,55
1522567705,9,1
1522568557,11,22
1522569386,20,32
1522570210,8,0
1522572020,31,40
1522572920,41,0
1522573827,24,14
1522575748,43,42
1522576759,28,25
1522577723,21,17
1522578919,34,73
1522579346,14,0
1522581264,52,24
1522582829,56,93
1522583786,27,38
1522584625,32,0
1522586565,87,54
1522587383,32,35
1522588225,40,1
1522590140,77,94
1522591833,68,35
1522592675,30,0
1522593628,35,54
1522595433,50,44
1522597232,50,61
1522598476,88,15
1522599260,66,1
1522600534,97,29
1522602633,125,13
1522603703,58,0
1522606249,105,44
1522607119,40,0
1522609483,84,59
1522611320,48,50
1522611751,15,1
1522613660,64,40
1522614500,25,0
1522617268,98,61
1522618103,33,0
1522619780,51,40
1522620635,25,29
1522622420,62,30
1522624225,78,17
1522626029,49,24
1522626925,40,0
1522627825,24,21
1522629744,37,38
1522630668,33,24
1522631725,24,0
1522632634,21,26
1522633953,53,29
1522635259,26,31
1522636953,52,35
1522638633,39,25
1522639699,32,1
1522641391,53,26
1522642202,28,13
1522644154,45,26
1522645008,24,11
1522645833,30,0
1522647755,41,30
1522649663,46,8
1522650500,24,3
1522651344,18,23
1522652184,12,12
1522653032,12,3
1522654950,31,59
1522656628,41,23
1522658725,39,22
1522659776,33,28
1522660831,29,0
1522663091,71,30
1522664061,19,9
1522664902,23,0
1522665715,39,32
1522666817,24,23
1522667666,22,0
1522669027,28,16
1522671030,41,24
1522671876,17,0
1522672802,18,18
1522673804,24,26
1522674626,15,0
1522676543,44,20
1522678226,37,47
1522679741,34,56
1522680149,15,1
1522680982,18,0
1522681826,19,12
1522683027,23,28
1522684077,43,10
