DateTime,AddedIPs,RemovedIPs
1511694994,151,268
1511717361,177,208
1511739755,148,171
1511761964,151,216
1511784060,444,120
1511805962,467,238
1511827986,652,165
1511850043,321,117
1511871909,439,139
1511893972,482,145
1511916022,292,100
1511937874,172,98
1511959802,351,326
1511981793,401,334
1512003884,374,505
1512025967,362,270
1512048036,397,366
1512070113,419,435
1512091968,401,285
1512113827,463,156
1512136313,379,357
1512158217,196,397
1512180285,254,371
1512202373,155,365
1512224459,215,412
1512246345,225,436
1512268391,235,462
1512290678,105,524
1512312764,425,434
1512334728,406,221
1512356911,366,301
1512378754,437,180
1512400826,389,229
1512422934,430,217
1512444797,392,233
1512466810,297,110
1512488670,423,356
1512510522,230,325
1512532381,151,339
1512554454,112,413
1512576524,316,421
1512602940,172,437
1512625244,129,449
1512647582,203,362
1512669665,233,521
1512691704,257,303
1512713547,245,184
1512735437,174,140
1512757489,182,360
1512779342,215,186
1512801402,177,152
1512823487,148,221
1512845329,283,239
1512867229,377,238
1512889289,396,255
1512911569,431,153
1512933436,357,179
1512955469,324,179
1512977573,397,153
1512999643,466,107
1513021717,336,228
1513043561,372,282
1513065430,285,320
1513087288,113,336
1513186390,1803,1242
1513208538,305,324
1513230550,285,353
1513252858,274,289
1513274708,282,112
1513297317,368,0
1513319329,323,0
1513341649,429,0
1513363966,280,1686
1513386274,238,310
1513408372,307,291
1513430452,332,301
1513452948,270,314
1513475080,287,394
1513497184,288,336
1513519305,297,515
1513541292,341,380
1513563164,414,213
1513585016,310,273
1513606973,333,308
1513629167,235,248
1513651245,365,279
1513673565,332,294
1513695973,361,325
1513718207,262,368
1513740119,260,406
1513762079,330,323
1513783979,488,349
1513806021,303,257
1513827883,259,375
1513849973,349,331
1513872310,478,356
1513894162,355,242
1513916201,353,276
1513938227,306,322
1513960124,379,458
1513982206,180,316
1514004262,167,285
1514026112,149,335
1514048033,185,524
1514070204,155,411
1514092107,196,398
1514114046,181,362
1514136261,192,496
1514159255,196,221
1514181402,184,216
1514203843,254,196
1514225791,183,266
1514247862,210,182
1514269970,156,235
1514292027,203,216
1514314136,209,184
1514336217,186,202
1514358283,177,191
1514380132,130,258
1514402222,152,203
1514424274,155,225
1514446192,554,147
1514468463,364,195
1514490514,413,190
1514512391,405,161
1514534235,298,146
1514556280,278,112
1514578260,319,127
1514600140,352,128
1514622055,259,384
1514644536,326,309
1514666438,277,343
1514688519,334,351
1514710766,299,259
1514732676,299,274
1514754538,299,270
1514776770,319,325
1514798695,198,219
1514820768,266,293
1514843918,227,296
1514865894,269,374
1514887974,214,316
1514909946,311,308
1514931868,392,317
1514953715,406,360
1514975816,366,220
1514997861,246,272
1515020116,289,229
1515042056,345,276
1515064115,383,197
1515086501,350,264
1515109020,386,317
1515131063,319,347
1515153216,292,293
1515175313,315,228
1515197157,310,315
1515219511,124,354
1515241707,289,418
1515263570,292,366
1515285720,307,424
1515308147,219,356
1515330063,334,329
1515352146,315,353
1515374206,292,335
1515396493,326,132
1515418754,450,276
1515440671,149,274
1515463105,230,325
1515485065,205,227
1515507195,268,341
1515529076,171,339
1515551078,305,318
1515573178,200,378
1515595240,220,482
1515617291,166,150
1515639187,222,274
1515661289,182,231
1515683314,228,303
1515705447,141,217
1515727726,221,334
1515749818,181,237
1515771886,218,241
1515793959,195,174
1515816147,196,233
1515838395,208,173
1515860460,249,235
1515882824,149,146
1515904973,376,211
1515927168,412,173
1515949333,383,196
1515971656,471,179
1515994028,305,180
1516015993,411,155
1516038031,417,201
1516059902,231,115
1516081977,82,289
1516103827,164,323
1516125687,194,304
1516147716,243,417
1516169613,198,279
1516191890,168,465
1516214115,193,522
1516236339,235,304
1516258310,186,123
1516280180,242,192
1516302290,189,223
1516324573,196,293
1516346693,184,234
1516369015,248,180
1516391030,208,191
1516412930,224,238
1516434986,171,192
1516456914,158,276
1516479194,165,216
1516501251,186,226
1516523113,153,186
1516545151,203,245
1516567016,148,206
1516589057,147,259
1516610933,124,170
1516632991,244,183
1516654882,168,161
1516677361,198,182
1516699249,158,180
1516721558,243,206
1516743935,201,157
1516765983,210,134
1516788041,190,116
1516809914,201,255
1516832259,191,158
1516854252,235,162
1516876125,164,139
1516898178,308,248
1516920269,288,183
1516942152,252,177
1516964206,170,183
1516986108,263,220
1517008050,227,183
1517029952,231,232
1517052036,186,159
1517073887,209,359
1517095951,220,269
1517118046,186,270
1517140114,240,170
1517162199,340,245
1517184179,264,223
1517206167,255,197
1517228205,238,192
1517250050,205,219
1517272103,287,202
1517293983,248,177
1517316034,256,241
1517338142,378,304
1517360202,486,267
1517382084,381,206
1517404354,386,475
1517426209,351,174
1517448268,373,223
1517470368,245,175
1517492808,212,209
1517515014,168,257
1517537075,78,458
1517559178,48,397
1517581245,460,420
1517603308,327,397
1517625410,428,467
1517647459,303,268
1517669320,217,228
1517691184,96,200
1517713694,87,94
1517735814,45,52
1517758131,187,478
1517780204,103,343
1517802276,59,485
1517824388,53,404
1517846493,67,317
1517868512,77,126
1517890374,84,158
1517912442,232,68
1517934532,195,273
1517956917,175,150
1517978917,240,80
1518000983,233,61
1518022852,184,78
1518044716,266,62
1518066776,222,71
1518088839,298,185
1518110681,244,170
1518132929,454,147
1518155114,401,166
1518177153,225,162
1518199088,273,151
1518221102,238,224
1518243141,314,176
1518265490,174,239
1518287855,186,183
1518309904,325,391
1518331983,311,380
1518354089,343,233
1518376117,205,256
1518398210,101,245
1518420271,115,316
1518442113,221,187
1518464194,134,210
1518486752,261,376
1518508891,43,254
1518531173,82,426
1518553377,73,267
1518575373,63,86
1518597396,72,156
1518619487,70,289
1518641545,150,182
1518663686,249,402
1518685729,122,74
1518707830,64,93
1518729858,326,79
1518751758,256,65
1518774048,62,59
1518796439,122,117
1518818770,125,144
1518840787,321,226
1518862825,71,98
1518884672,64,61
1518906759,67,300
1518929006,59,271
1518951151,70,59
1518973007,65,102
1518995842,240,156
1519017877,222,342
1519039970,225,75
1519061827,468,74
1519083885,501,60
1519105790,425,56
1519127784,285,44
1519149746,154,61
1519171731,153,153
1519193676,138,154
1519216212,154,145
1519238197,134,369
1519260249,100,421
1519282353,157,444
1519304208,195,331
1519326112,387,175
1519349043,314,173
1519371144,283,164
1519393057,215,176
1519415068,144,136
1519437259,134,102
1519459288,111,126
1519481332,181,192
1519503628,164,360
1519525490,114,317
1519547554,61,295
1519569631,72,264
1519592120,62,173
1519614090,69,162
1519636111,62,136
1519658112,63,266
1519680058,59,234
1519702117,75,157
1519724175,76,88
1520077719,185,707
1520099800,67,0
1520121686,91,0
1520143796,64,0
1520165779,57,0
1520187891,33,0
1520209944,101,0
1520231856,42,0
1520253888,72,159
1520276193,77,48
1520298092,51,82
1520320120,271,46
1520342194,291,45
1520364262,250,27
1520386368,137,68
1520408496,178,43
1520430494,226,50
1520452620,136,44
1520474535,172,36
1520496771,169,190
1520518850,149,10495
1520540916,168,219
1520562800,175,106
1520584835,161,162
1520606690,161,200
1520628771,183,131
1520651087,276,168
1520673172,276,168
1520695296,226,149
1520717574,204,151
1520739416,297,163
1520761459,179,137
1520783562,156,149
1520805687,188,156
1520828075,159,253
1520850300,223,266
1520872768,251,217
1520894931,196,177
1520916989,217,291
1520938918,106,175
1520960892,96,176
1520982994,143,207
1521005078,135,180
1521027154,138,223
1521049239,172,274
1521071099,59,228
1521093136,113,267
1521115022,195,128
1521136881,227,89
1521158921,128,179
1521181078,21,149
1521203059,43,174
1521225156,32,190
1521247240,55,72
1521269326,50,137
1521291387,56,218
1521313479,59,297
1521335327,76,187
1521357407,57,35
1521379487,38,45
1521401915,51,38
1521424125,68,57
1521446476,43,59
1521468762,76,67
1521490729,58,70
1521512660,45,75
1521534756,26,68
1521557064,62,34
1521578909,74,50
1521600997,76,70
1521622885,48,42
1521644906,41,78
1521667086,166,63
1521689077,191,43
1521711368,182,25
1521733258,180,47
1521755298,158,63
1521777276,199,54
1521799853,110,31
1521822027,140,34
1521844103,187,114
1521865951,184,136
1521888031,163,148
1521910119,156,155
1521932006,118,134
1521954027,73,193
1521975867,163,100
1521997861,118,131
1522019799,183,186
1522042005,142,184
1522063957,140,145
1522086033,97,167
1522108119,171,137
1522130188,158,71
1522152133,137,171
1522174348,103,130
1522196213,112,170
1522218331,141,162
1522240490,153,145
1522262440,121,99
1522284288,158,159
1522306351,119,179
1522328198,138,144
1522350053,128,99
1522372139,116,108
1522394208,166,145
1522416292,148,165
1522438178,70,116
1522460213,135,174
1522482284,143,109
1522504370,148,128
1522526520,133,127
1522548533,138,116
1522570458,152,160
1522592444,133,153
1522614536,143,61
1522636859,21,143
1522659133,103,139
1522680991,140,152
1522703024,106,136
1522724936,192,133
1522747019,143,146
1522768928,114,152
