DateTime,AddedIPs,RemovedIPs
1511694994,10519,209
1511717361,244,10520
1511739755,10327,262
1511761964,233,10329
1511784060,10884,183
1511805962,585,10847
1511827986,10987,530
1511850043,423,11005
1511871909,10977,446
1511893972,726,10928
1511916022,10608,745
1511937874,286,10689
1511959802,10983,272
1511981793,672,10936
1512003884,10769,657
1512025967,597,10756
1512048036,10963,606
1512070113,701,10943
1512091968,10768,676
1512113827,742,10798
1512136313,10924,744
1512158217,335,11006
1512180285,10624,348
1512202373,297,10627
1512224459,10739,310
1512246345,404,10732
1512268391,10554,393
1512290678,185,10581
1512312764,11018,186
1512334728,585,10928
1512356911,10663,569
1512378754,622,10697
1512400826,10975,592
1512422934,650,10986
1512444797,10764,643
1512466810,479,10779
1512488670,11045,476
1512510522,373,11075
1512532381,10398,417
1512554454,206,10423
1512576524,10879,201
1512602940,290,751
1512625244,221,10435
1512647582,10692,212
1512669665,345,10674
1512691704,10516,336
1512713547,365,10487
1512735437,10606,394
1512757489,283,10614
1512779342,10463,288
1512801402,256,10472
1512823487,10587,250
1512845329,422,10559
1512867229,10655,394
1512889289,536,10641
1512911569,10969,525
1512933436,521,10958
1512955469,10647,527
1512977573,628,10654
1512999643,11075,580
1513021717,546,11097
1513043561,5116,549
1513065430,6132,5118
1513087288,208,6204
1513186390,13182,134
1513208538,348,7661
1513230550,5287,5911
1513252858,1427,5270
1513274708,530,1406
1513297317,10809,510
1513319329,593,10815
1513341649,11199,577
1513363966,583,11174
1513386274,10526,673
1513408372,522,10515
1513430452,10942,515
1513452948,490,10937
1513475080,10663,484
1513497184,518,10674
1513519305,10927,517
1513541292,614,10928
1513563164,10831,576
1513585016,553,10846
1513606973,10957,547
1513629167,419,10983
1513651245,10761,411
1513673565,535,10760
1513695973,11006,531
1513718207,447,11012
1513740119,10635,458
1513762079,573,10623
1513783979,11147,542
1513806021,489,11174
1513827883,10595,515
1513849973,583,10596
1513872310,11174,528
1513894162,560,11168
1513916201,10732,600
1513938227,515,10734
1513960124,11041,509
1513982206,301,11099
1514004262,10477,335
1514026112,281,10469
1514048033,10736,280
1514070204,302,604
1514092107,336,10424
1514114046,10639,338
1514136261,296,10650
1514159255,10443,279
1514181402,268,10443
1514203843,10726,285
1514225791,289,10709
1514247862,10454,288
1514269970,225,10472
1514292027,10682,215
1514314136,305,10678
1514336217,10400,310
1514358283,249,10406
1514380132,10602,255
1514402222,220,10614
1514424274,10369,220
1514446192,740,10339
1514468463,10868,668
1514490514,570,10890
1514512391,10709,542
1514534235,461,10740
1514556280,10637,464
1514578260,507,10637
1514600140,10727,488
1514622055,431,10737
1514644536,10932,426
1514666438,489,10937
1514688519,10724,487
1514710766,532,10735
1514732676,10907,528
1514754538,545,10895
1514776770,10718,539
1514798695,378,10739
1514820768,10871,385
1514843918,385,10865
1514865894,10617,392
1514887974,360,10634
1514909946,10922,363
1514931868,641,10853
1514953715,10737,631
1514975816,585,10781
1514997861,10806,586
1515020116,555,10807
1515042056,625,541
1515064115,11045,583
1515086501,604,11050
1515109020,10786,594
1515131063,547,10825
1515153216,10935,565
1515175313,565,10925
1515197157,10667,558
1515219511,230,10739
1515241707,10966,217
1515263570,477,10930
1515285720,10666,459
1515308147,374,10701
1515330063,10997,378
1515352146,503,10949
1515374206,10613,526
1515396493,562,10600
1515418754,10974,553
1515440671,234,11036
1515463105,10557,249
1515485065,349,10549
1515507195,10778,342
1515529076,322,10802
1515551078,10631,316
1515573178,336,10619
1515595240,10774,337
1515617291,260,10797
1515639187,10485,260
1515661289,281,10489
1515683314,10538,261
1515705447,229,10560
1515727726,10499,224
1515749818,279,10499
1515771886,10782,264
1515793959,276,10786
1515816147,10460,293
1515838395,296,10448
1515860460,10817,270
1515882824,209,10850
1515904973,10713,200
1515927168,532,10649
1515949333,548,556
1515971656,10794,512
1515994028,457,10818
1516015993,11199,438
1516038031,696,11158
1516059902,10527,744
1516081977,167,10607
1516103827,10846,176
1516125687,337,10827
1516147716,10571,333
1516169613,351,10561
1516191890,10821,365
1516214115,297,10820
1516236339,10493,284
1516258310,277,10522
1516280180,10924,274
1516302290,284,10910
1516324573,10469,295
1516346693,268,10463
1516369015,10881,256
1516391030,304,10882
1516412930,10472,303
1516434986,243,10495
1516456914,10773,215
1516479194,237,10790
1516501251,10386,236
1516523113,237,10390
1516545151,10832,246
1516567016,220,10825
1516589057,10351,233
1516610933,174,10348
1516632991,10897,163
1516654882,218,10897
1516677361,10418,237
1516699249,213,10400
1516721558,10734,208
1516743935,283,10717
1516765983,10424,290
1516788041,294,10446
1516809914,10822,265
1516832259,264,10837
1516854252,10490,260
1516876125,246,10505
1516898178,10954,231
1516920269,403,10936
1516942152,10509,408
1516964206,255,10533
1516986108,406,253
1517008050,10457,379
1517029952,333,10479
1517052036,10732,306
1517073887,314,10755
1517095951,10469,328
1517118046,301,10461
1517140114,10799,298
1517162199,506,10781
1517184179,10535,472
1517206167,352,10582
1517228205,10803,337
1517250050,297,10803
1517272103,10576,300
1517293983,378,10568
1517316034,10526,356
1517338142,587,10532
1517360202,10850,508
1517382084,596,10855
1517404354,10770,605
1517426209,609,10777
1517448268,10837,603
1517470368,419,10870
1517492808,10533,462
1517515014,318,10538
1517537075,10271,375
1517559178,103,10291
1517581245,10949,81
1517603308,498,10838
1517625410,10820,499
1517647459,477,10826
1517669320,10503,514
1517691184,174,10563
1517713694,10329,183
1517735814,91,10352
1517758131,10533,86
1517780204,173,10494
1517802276,10258,197
1517824388,86,10276
1517846493,10253,84
1517868512,107,10257
1517890374,10252,105
1517912442,301,10248
1517934532,10395,268
1517956917,225,10403
1517978917,10447,228
1518000983,290,10442
1518022852,252,290
1518044716,10494,245
1518066776,325,10487
1518088839,10574,317
1518110681,347,10567
1518132929,10776,315
1518155114,605,10738
1518177153,10471,636
1518199088,464,10502
1518221102,10514,462
1518243141,540,10519
1518265490,10439,536
1518287855,335,10474
1518309904,10747,309
1518331983,457,10724
1518354089,10715,456
1518376117,355,10705
1518398210,10394,399
1518420271,228,10370
1518442113,10531,256
1518464194,232,10526
1518486752,10670,223
1518508891,108,10718
1518531173,10268,111
1518553377,112,10271
1518575373,10232,111
1518597396,101,10247
1518619487,10341,90
1518641545,218,10332
1518663686,10457,208
1518685729,152,10457
1518707830,10238,161
1518729858,438,10231
1518751758,10462,396
1518774048,84,10513
1518796439,10353,94
1518818770,200,10270
1518840787,10595,259
1518862825,91,10608
1518884672,10308,107
1518906759,108,10314
1518929006,10234,99
1518951151,105,10246
1518973007,10306,89
1518995842,331,170
1519017877,292,10437
1519039970,10491,284
1519061827,602,10456
1519083885,10747,543
1519105790,559,10739
1519127784,10655,601
1519149746,255,10704
1519171731,10410,277
1519193676,269,10413
1519216212,10493,270
1519238197,252,10503
1519260249,10311,256
1519282353,260,10316
1519304208,10538,223
1519326112,549,10505
1519349043,10563,534
1519371144,404,10587
1519393057,10569,417
1519415068,237,10593
1519437259,10374,255
1519459288,178,10379
1519481332,10574,177
1519503628,293,10549
