DateTime,Entries,UniqueIPs
1458159155,52873,52873
1458246291,51343,51343
1458333411,49567,49567
1458420505,48764,48764
1458507644,48177,48177
1458594794,48984,48984
1458681879,49735,49735
1458769017,49838,49838
1458856161,50255,50255
1458943245,50391,50391
1459030380,50588,50588
1459117493,50808,50808
1459204600,50899,50899
1459291725,51008,51008
1459378849,51101,51101
1459465997,51763,51763
1459553093,51924,51924
1459640472,51769,51769
1459727575,51845,51845
1459814712,51999,51999
1459901821,52210,52210
1459988950,51302,51302
1460076050,51110,51110
1460163294,51246,51246
1460250560,51346,51346
1460337677,51410,51410
1460424777,51378,51378
1460511878,51712,51712
1460599044,52123,52123
1460686132,52359,52359
1460773287,52101,52101
1460860381,51773,51773
1460947496,51469,51469
1461034604,51696,51696
1461121845,51927,51927
1461209138,51814,51814
1461296294,51929,51929
1461383392,52025,52025
1461470517,52195,52195
1461557638,52306,52306
1461644739,52366,52366
1461731880,52534,52534
1461819000,52628,52628
1461906169,52742,52742
1461993510,52893,52893
1462080881,53059,53059
1462168205,53231,53231
1462255330,54395,54395
1462342574,54654,54654
1462429695,54839,54839
1462516923,55052,55052
1462604050,55243,55243
1462691172,55476,55476
1462778298,55627,55627
1462865423,55775,55775
1462952570,55214,55214
1463039900,54869,54869
1463127088,55064,55064
1463214219,55293,55293
1463301516,55443,55443
1463388869,55636,55636
1463476251,53412,53412
1463563584,53784,53784
1463650701,53733,53733
1463737833,54439,54439
1463824956,54331,54331
1463912071,54153,54153
1463999420,54036,54036
1464086573,54431,54431
1464173898,54276,54276
1464261017,54429,54429
1464348169,54340,54340
1464435296,54595,54595
1464522626,54644,54644
1464609752,54810,54810
1464696865,55205,55205
1464784389,54892,54892
1464871608,54082,54082
1464958974,53624,53624
1465046309,53604,53604
1465133686,53605,53605
1465221019,53680,53680
1465308188,53669,53669
1465395560,53710,53710
1465482880,53703,53703
1465570220,53729,53729
1465657396,53783,53783
1465744733,53860,53860
1465831862,53853,53853
1465919168,53758,53758
1466006384,53768,53768
1466093657,53870,53870
1466181018,54109,54109
1466268175,54164,54164
1466355345,54175,54175
1466442641,54198,54198
1466529792,54195,54195
1466617104,54205,54205
1466704507,54279,54279
1466791830,54196,54196
1466878971,54222,54222
1466966306,54196,54196
1467053662,54182,54182
1467141027,54163,54163
1467228156,54381,54381
1467315514,54472,54472
1467402644,54522,54522
1467489989,54580,54580
1467577117,54641,54641
1467664368,54789,54789
1467751588,54757,54757
1467839114,56085,56085
1467926317,55884,55884
1468013689,55291,55291
1468101039,54868,54868
1468188181,54784,54784
1468275522,54776,54776
1468362916,55007,55007
1468450223,55161,55161
1468537374,55287,55287
1468624715,55540,55540
1468711844,55551,55551
1468799184,55655,55655
1468886317,56109,56109
1468973693,55228,55228
1469060863,54981,54981
1469148150,53434,53434
1469235510,52750,52750
1469322638,52455,52455
1469409981,52296,52296
1469497099,51913,51913
1469584222,51719,51719
1469671361,51578,51578
1469758711,51481,51481
1469845832,51409,51409
1469933167,51317,51317
1470020321,51647,51647
1470107653,51862,51862
1470194768,51901,51901
1470281904,51700,51700
1470369275,51575,51575
1470456632,51486,51486
1470543975,51276,51276
1470631102,51266,51266
1470718234,51199,51199
1470805349,51056,51056
1470892461,50994,50994
1470979815,51136,51136
1471066968,51207,51207
1471154297,51258,51258
1471241410,51420,51420
1471328573,51627,51627
1471415904,51940,51940
1471503023,51764,51764
1471590222,52067,52067
1471677529,52274,52274
1471764857,52368,52368
