DateTime,AddedIPs,RemovedIPs
1521936504,29,0
1521938418,21,9
1521940341,20,12
1521942249,19,21
1521944174,21,11
1521946087,14,22
1521948259,24,12
1521950167,18,22
1521952098,18,21
1521954012,5,25
1521956184,23,0
1521958092,20,29
1521960012,6,20
1521961936,19,26
1521963855,19,0
1521965774,8,27
1521967704,10,0
1521969634,2,11
1521971535,3,18
1521975372,9,5
1521977290,36,9
1521979217,12,3
1521985221,29,44
1521990984,24,34
1521998654,23,76
1522000822,17,0
1522004656,12,30
1522008747,16,39
1522012578,18,18
1522018570,16,41
1522020750,23,48
1522024574,23,33
1522028421,12,39
1522030343,22,19
1522032265,27,22
1522036092,15,51
1522038020,24,21
1522039935,23,21
1522046023,27,61
1522051695,27,59
1522053612,12,9
1522055553,9,15
1522057458,7,6
1522059396,4,6
1522061319,5,0
1522073062,28,89
1522074976,29,0
1522082662,17,26
1522088409,9,42
1522090343,21,0
1522092256,25,13
1522094176,10,0
1522098036,11,20
1522100181,9,18
1522102342,18,0
1522104503,22,0
1522108340,17,38
1522110494,33,0
1522112665,11,26
1522114586,12,0
1522116738,19,17
1522118659,21,30
1522120575,23,26
1522122496,26,17
1522124414,16,0
1522126342,14,49
1522128252,27,0
1522130180,17,0
1522132091,21,0
1522134016,24,22
1522135932,21,0
1522137860,21,0
1522139769,18,22
1522141697,14,13
1522143860,3,15
1522145782,8,0
1522148460,7,8
1522154415,20,0
1522156342,25,0
1522160185,23,21
1522162105,28,26
1522165942,13,0
1522171938,16,20
1522177700,21,18
1522179614,8,21
1522181546,19,8
1522183456,25,0
1522185384,15,8
1522187299,18,9
1522189628,20,15
1522199539,26,67
1522201696,18,8
1522203611,24,19
1522207695,24,40
1522213962,20,51
1522220181,21,64
1522222107,29,24
1522224037,21,26
1522230257,7,57
1522234119,6,13
1522238458,10,4
1522240342,12,0
1522242512,20,18
1522244664,25,26
1522246584,16,0
1522248743,8,61
1522250654,15,0
1522252577,6,15
1522254747,20,0
1522256659,6,0
1522258579,17,17
1522262418,11,0
1522264338,26,21
1522266263,24,7
1522268183,16,18
1522270102,27,25
1522272020,28,17
1522273940,8,23
1522276458,10,23
1522278839,34,0
1522280652,26,0
1522282818,33,0
1522284740,14,0
1522288579,22,46
1522290500,17,27
1522292421,19,0
1522294341,22,27
1522296265,7,0
1522298186,17,0
1522302018,16,21
1522303941,25,0
1522305869,26,0
1522307774,25,19
1522309709,22,18
1522311612,16,22
1522313537,29,0
1522315458,8,0
1522317375,14,9
1522319292,8,0
1522321223,5,5
1522323138,18,0
1522325322,20,6
1522327211,15,8
1522329148,22,22
1522331057,25,0
1522332994,19,37
1522334897,21,0
1522337067,24,20
1522338971,15,0
1522340906,22,4
1522344743,22,28
1522346666,6,13
